ml;pH;sec;°C
0.000;8.642;0.0;21.4
0.000;8.607;0.4;21.4
0.000;8.594;0.8;21.4
0.007;9.009;1.9;21.4
0.015;8.624;3.0;21.4
0.022;9.391;4.2;21.4
0.030;8.254;5.3;21.4
0.038;7.937;6.5;21.4
0.045;8.182;7.6;21.4
0.053;8.686;8.7;21.4
0.060;8.213;9.9;21.4
0.068;8.285;11.0;21.4
0.076;8.236;12.2;21.4
0.083;8.118;13.3;21.4
0.091;8.016;14.5;21.4
0.098;8.064;15.6;21.4
0.106;8.081;16.7;21.4
0.114;8.055;17.9;21.4
0.121;8.021;19.0;21.4
0.129;7.937;20.2;21.4
0.137;7.825;21.3;21.4
0.144;7.731;22.4;21.4
0.152;7.699;23.6;21.4
0.159;7.789;24.7;21.4
0.167;7.704;25.9;21.4
0.175;7.625;27.0;21.4
0.182;7.469;28.2;21.4
0.190;7.371;29.3;21.4
0.197;7.371;30.4;21.4
0.205;7.407;31.6;21.4
0.213;7.405;32.7;21.4
0.220;7.359;33.9;21.4
0.228;7.289;35.0;21.4
0.236;7.180;36.1;21.4
0.243;7.139;37.3;21.4
0.251;7.138;38.4;21.4
0.258;7.164;39.6;21.4
0.266;7.153;40.7;21.4
0.274;7.095;41.9;21.4
0.281;6.990;43.0;21.4
0.289;6.955;44.1;21.4
0.296;6.967;45.3;21.4
0.304;7.026;46.4;21.4
0.312;7.034;47.6;21.4
0.319;7.001;48.7;21.4
0.327;6.934;49.8;21.4
0.335;6.888;51.0;21.4
0.342;6.775;52.1;21.4
0.350;6.778;53.3;21.4
0.357;6.770;54.4;21.4
0.365;6.834;55.5;21.4
0.373;6.885;56.7;21.4
0.380;6.890;57.8;21.4
0.388;6.835;59.0;21.4
0.395;6.770;60.1;21.4
0.403;6.658;61.2;21.4
0.411;6.607;62.4;21.4
0.418;6.589;63.5;21.4
0.426;6.696;64.7;21.4
0.433;6.746;65.8;21.4
0.441;6.728;67.0;21.4
0.449;6.646;68.1;21.4
0.456;6.561;69.2;21.4
0.464;6.486;70.4;21.4
0.472;6.446;71.5;21.4
0.479;6.437;72.7;21.4
0.487;6.495;73.8;21.4
0.494;6.534;74.9;21.4
0.502;6.560;76.1;21.4
0.510;6.556;77.2;21.4
0.517;6.507;78.4;21.4
0.525;6.441;79.5;21.4
0.532;6.381;80.6;21.4
0.540;6.331;81.8;21.4
0.548;6.312;82.9;21.4
0.555;6.312;84.1;21.4
0.563;6.400;85.2;21.4
0.570;6.449;86.3;21.4
0.578;6.279;87.5;21.4
0.586;6.259;88.6;21.4
0.593;6.173;89.8;21.4
0.601;6.261;90.9;21.4
0.609;6.377;92.1;21.4
0.616;6.362;93.2;21.4
0.624;6.292;94.3;21.4
0.631;6.168;95.5;21.4
0.639;6.125;96.6;21.4
0.647;6.167;97.8;21.4
0.654;6.222;98.9;21.4
0.662;6.185;100.0;21.4
0.669;6.181;101.2;21.4
0.677;6.128;102.3;21.4
0.685;6.043;103.5;21.4
0.692;6.009;104.6;21.4
0.700;5.969;105.7;21.4
0.708;6.032;106.9;21.4
0.715;6.091;108.0;21.4
0.723;6.145;109.2;21.4
0.730;6.076;110.3;21.4
0.738;5.984;111.5;21.4
0.746;5.855;112.6;21.4
0.753;5.837;113.7;21.4
0.761;5.875;114.9;21.4
0.768;5.955;116.0;21.4
0.776;5.980;117.2;21.4
0.784;5.960;118.3;21.4
0.791;5.897;119.4;21.4
0.799;5.790;120.6;21.4
0.807;5.854;121.7;21.4
0.814;5.925;122.9;21.4
0.822;5.949;124.0;21.4
0.829;5.882;125.2;21.4
0.837;5.787;126.3;21.4
0.845;5.732;127.4;21.4
0.852;5.715;128.6;21.4
0.860;5.710;129.7;21.4
0.867;5.765;130.9;21.4
0.875;5.818;132.0;21.4
0.883;5.836;133.1;21.4
0.890;5.767;134.3;21.4
0.898;5.645;135.4;21.4
0.905;5.587;136.6;21.4
0.913;5.589;137.7;21.4
0.921;5.627;138.8;21.4
0.928;5.699;140.0;21.4
0.936;5.716;141.1;21.4
0.944;5.700;142.3;21.4
0.951;5.569;143.4;21.4
0.959;5.497;144.5;21.4
0.966;5.393;145.7;21.4
0.974;5.420;146.8;21.4
0.982;5.511;148.0;21.4
0.989;5.558;149.1;21.4
