ml;pH;sec;°C
0.000;8.240;0.0;21.9
0.000;8.289;0.4;21.9
0.000;8.320;0.8;21.9
0.007;8.324;1.9;21.9
0.015;8.246;3.0;21.9
0.022;8.152;4.2;21.9
0.030;8.182;5.3;21.9
0.037;8.043;6.5;21.9
0.045;8.046;7.6;21.9
0.053;8.128;8.8;21.9
0.060;8.149;9.9;21.9
0.068;8.148;11.0;21.9
0.076;8.096;12.2;21.9
0.083;8.059;13.3;21.9
0.091;7.970;14.5;21.9
0.098;7.908;15.6;21.9
0.106;7.763;16.7;21.9
0.114;7.676;17.9;21.9
0.121;7.656;19.0;21.9
0.129;7.624;20.2;21.9
0.136;7.646;21.3;21.9
0.144;7.686;22.4;21.9
0.152;7.687;23.6;21.9
0.159;7.636;24.7;21.9
0.167;7.558;25.9;21.9
0.175;7.509;27.0;21.9
0.182;7.350;28.1;21.9
0.190;7.242;29.3;21.9
0.197;7.194;30.4;21.9
0.205;7.178;31.6;21.9
0.213;7.291;32.7;21.9
0.220;7.250;33.9;21.9
0.228;7.170;35.0;21.9
0.235;7.067;36.1;21.9
0.243;7.003;37.3;21.9
0.251;6.988;38.4;21.9
0.258;6.969;39.6;21.9
0.266;6.957;40.7;21.9
0.274;6.997;41.8;21.9
0.281;7.048;43.0;21.9
0.289;7.032;44.1;21.9
0.296;7.013;45.3;21.9
0.304;6.988;46.4;21.9
0.312;6.878;47.5;21.9
0.319;6.778;48.7;21.9
0.327;6.755;49.8;21.9
0.334;6.799;51.0;21.9
0.342;6.852;52.1;21.9
0.350;6.906;53.3;21.9
0.357;6.864;54.4;21.9
0.365;6.765;55.5;21.9
0.372;6.713;56.7;21.9
0.380;6.623;57.8;21.9
0.388;6.601;59.0;21.9
0.395;6.567;60.1;21.9
0.403;6.596;61.2;21.9
0.411;6.656;62.4;21.9
0.418;6.667;63.5;21.9
0.426;6.677;64.7;21.9
0.433;6.585;65.8;21.9
0.441;6.513;66.9;21.9
0.449;6.435;68.1;21.9
0.456;6.393;69.2;21.9
0.464;6.390;70.4;21.9
0.471;6.512;71.5;21.9
0.479;6.544;72.7;21.9
0.487;6.504;73.8;21.9
0.494;6.367;74.9;21.9
0.502;6.313;76.1;21.9
0.510;6.283;77.2;21.9
0.517;6.307;78.4;21.9
0.525;6.375;79.5;21.9
0.532;6.415;80.6;21.9
0.540;6.460;81.8;21.9
0.548;6.242;82.9;21.9
0.555;6.171;84.1;21.9
0.563;6.193;85.2;21.9
0.570;6.281;86.4;21.9
0.578;6.341;87.5;21.9
0.586;6.316;88.6;21.9
0.593;6.278;89.8;21.9
0.601;6.105;90.9;21.9
0.609;6.083;92.1;21.9
0.616;6.080;93.2;21.9
0.624;6.111;94.3;21.9
0.631;6.205;95.5;21.9
0.639;6.215;96.6;21.9
0.647;6.149;97.8;21.9
0.654;6.096;98.9;21.9
0.662;6.035;100.0;21.9
0.669;5.992;101.2;21.9
0.677;6.028;102.3;21.9
0.685;6.075;103.5;21.9
0.692;6.172;104.6;21.9
0.700;6.106;105.7;21.9
0.707;6.093;106.9;21.9
0.715;5.987;108.0;21.9
0.723;5.971;109.2;21.9
0.730;5.914;110.3;21.9
0.738;5.875;111.5;21.9
0.746;5.956;112.6;21.9
0.753;5.956;113.7;21.9
0.761;5.997;114.9;21.9
0.768;5.995;116.0;21.9
0.776;5.953;117.2;21.9
0.784;5.883;118.3;21.9
0.791;5.524;119.4;21.9
0.799;5.632;120.6;21.9
0.806;5.717;121.7;21.9
0.814;5.826;122.9;21.9
0.822;5.864;124.0;21.9
0.829;5.863;125.1;21.9
0.837;5.780;126.3;21.9
0.845;5.726;127.4;21.9
0.852;5.696;128.6;21.9
0.860;5.664;129.7;21.9
0.867;5.659;130.9;21.9
0.875;5.748;132.0;21.9
0.883;5.788;133.1;21.9
0.890;5.775;134.3;21.9
0.898;5.714;135.4;21.9
0.905;5.606;136.6;21.9
0.913;5.578;137.7;21.9
0.921;5.579;138.8;21.9
0.928;5.648;140.0;21.9
0.936;5.664;141.1;21.9
0.944;5.647;142.3;21.9
0.951;5.536;143.4;21.9
0.959;5.460;144.6;21.9
0.966;5.467;145.7;21.9
0.974;5.493;146.8;21.9
0.982;5.531;148.0;21.9
0.989;5.510;149.1;21.9
0.997;5.408;150.3;21.9
1.004;5.366;151.4;21.9
1.012;5.306;152.5;21.9
1.020;5.242;153.7;21.9
1.027;5.332;154.8;21.9
1.035;5.356;156.0;21.9
1.043;5.346;157.1;21.9
1.050;5.281;158.2;21.9
1.058;5.218;159.4;21.9
1.065;5.132;160.5;21.9
1.073;5.128;161.7;21.9
1.081;5.165;162.8;21.9
1.088;5.195;163.9;21.9
1.096;5.186;165.1;21.9
1.103;5.125;166.2;21.9
1.111;5.002;167.4;21.9
1.120;5.054;168.7;21.9
1.120;5.054;168.7;21.9
1.122;5.049;169.1;21.9
1.124;5.043;169.5;21.9
1.126;5.019;169.8;21.9
1.126;5.019;169.8;21.9
1.128;4.997;170.2;21.9
1.130;4.981;170.6;21.9
1.132;4.921;171.0;21.9
1.142;4.751;192.7;22.2
1.152;4.770;204.3;22.2
1.162;4.562;215.8;22.3
1.172;4.624;227.4;22.3
1.182;4.430;239.0;22.3
1.192;4.434;250.6;22.3
1.202;4.240;262.2;22.3
1.212;4.230;273.8;22.3
1.222;4.134;285.4;22.3
1.232;4.002;297.0;22.3
1.242;3.929;308.6;22.3
1.252;3.965;320.2;22.3
1.262;3.821;331.8;22.3
1.272;3.775;343.4;22.3
1.282;3.832;355.0;22.3
1.292;3.777;366.6;22.3
1.302;3.643;378.2;22.3
1.312;3.650;389.8;22.3
1.322;3.604;401.4;22.3
1.332;3.541;413.0;22.3
1.342;3.595;424.6;22.3
1.352;3.578;436.2;22.3
1.362;3.415;447.8;22.3
1.362;3.570;448.0;22.3
1.372;3.444;459.6;22.3
1.372;3.500;460.3;22.3
1.382;3.387;471.9;22.3
1.382;3.497;475.0;22.3
1.392;3.358;486.6;22.3
1.392;3.499;490.0;22.3
1.402;3.330;501.6;22.3
1.402;3.445;511.7;22.3
