ml;pH;sec;°C
0.000;8.052;0.0;21.6
0.000;8.077;0.4;21.6
0.000;8.090;0.8;21.6
0.007;8.073;1.9;21.6
0.015;8.125;3.0;21.6
0.022;8.246;4.2;21.6
0.030;8.213;5.3;21.6
0.038;8.240;6.5;21.6
0.045;8.224;7.6;21.6
0.053;8.118;8.7;21.6
0.060;8.060;9.9;21.6
0.068;8.004;11.0;21.6
0.076;7.822;12.2;21.6
0.083;7.827;13.3;21.6
0.091;7.827;14.5;21.6
0.098;7.902;15.6;21.6
0.106;7.885;16.7;21.6
0.114;7.865;17.9;21.6
0.121;7.781;19.0;21.6
0.129;7.669;20.2;21.6
0.137;7.500;21.3;21.6
0.144;7.455;22.4;21.6
0.152;7.452;23.6;21.6
0.159;7.447;24.7;21.6
0.167;7.502;25.9;21.6
0.175;7.457;27.0;21.6
0.182;7.355;28.1;21.6
0.190;7.240;29.3;21.6
0.197;7.130;30.4;21.6
0.205;7.093;31.6;21.6
0.213;7.073;32.7;21.6
0.220;7.111;33.9;21.6
0.228;7.152;35.0;21.6
0.235;7.177;36.1;21.6
0.243;7.162;37.3;21.6
0.251;7.046;38.4;21.6
0.258;6.945;39.6;21.6
0.266;6.874;40.7;21.6
0.274;6.869;41.8;21.6
0.281;6.891;43.0;21.6
0.289;6.919;44.1;21.6
0.296;6.964;45.3;21.6
0.304;6.981;46.4;21.6
0.312;6.956;47.5;21.6
0.319;6.908;48.7;21.6
0.327;6.843;49.8;21.6
0.334;6.761;51.0;21.6
0.342;6.670;52.1;21.6
0.350;6.620;53.2;21.6
0.357;6.583;54.4;21.6
0.365;6.599;55.5;21.6
0.372;6.677;56.7;21.6
0.380;6.693;57.8;21.6
0.388;6.715;59.0;21.6
0.395;6.653;60.1;21.6
0.403;6.586;61.2;21.6
0.411;6.527;62.4;21.6
0.418;6.486;63.5;21.6
0.426;6.444;64.7;21.6
0.433;6.401;65.8;21.6
0.441;6.404;66.9;21.6
0.449;6.430;68.1;21.6
0.456;6.481;69.2;21.6
0.464;6.517;70.4;21.6
0.471;6.514;71.5;21.6
0.479;6.425;72.6;21.6
0.487;6.397;73.8;21.6
0.494;6.328;74.9;21.6
0.502;6.288;76.1;21.6
0.510;6.266;77.2;21.6
0.517;6.274;78.3;21.6
0.525;6.365;79.5;21.6
0.532;6.379;80.6;21.6
0.540;6.359;81.8;21.6
0.548;6.326;82.9;21.6
0.555;6.247;84.1;21.6
0.563;6.195;85.2;21.6
0.570;6.146;86.3;21.6
0.578;6.132;87.5;21.6
0.586;6.181;88.6;21.6
0.593;6.188;89.8;21.6
0.601;6.213;90.9;21.6
0.608;6.226;92.0;21.6
0.616;6.198;93.2;21.6
0.624;6.152;94.3;21.6
0.631;6.022;95.5;21.6
0.639;5.974;96.6;21.6
0.647;5.974;97.7;21.6
0.654;5.978;98.9;21.6
0.662;6.005;100.0;21.6
0.669;6.037;101.2;21.6
0.677;6.031;102.3;21.6
0.685;6.058;103.5;21.6
0.692;6.051;104.6;21.6
0.700;6.023;105.7;21.6
0.707;5.965;106.9;21.6
0.715;5.901;108.0;21.6
0.723;5.910;109.2;21.6
0.730;5.828;110.3;21.6
0.738;5.807;111.4;21.6
0.746;5.836;112.6;21.6
0.753;5.864;113.7;21.6
0.761;5.872;114.9;21.6
0.768;5.880;116.0;21.6
0.776;5.840;117.1;21.6
0.784;5.736;118.3;21.6
0.791;5.679;119.4;21.6
0.799;5.624;120.6;21.6
0.806;5.629;121.7;21.6
0.814;5.654;122.8;21.6
0.822;5.626;124.0;21.6
0.829;5.736;125.1;21.6
0.837;5.729;126.3;21.6
0.844;5.585;127.4;21.6
0.852;5.574;128.6;21.6
0.860;5.507;129.7;21.6
0.867;5.298;130.8;21.6
0.875;5.351;132.0;21.6
0.883;5.462;133.1;21.6
0.890;5.524;134.3;21.6
0.898;5.455;135.4;21.6
0.905;5.405;136.5;21.6
0.913;5.364;137.7;21.6
0.921;5.310;138.8;21.6
0.928;5.302;140.0;21.6
0.936;5.326;141.1;21.6
0.943;5.361;142.3;21.6
0.951;5.372;143.4;21.6
0.959;5.361;144.5;21.6
0.966;5.328;145.7;21.6
0.974;5.228;146.8;21.6
0.982;5.198;148.0;21.6
0.989;5.115;149.1;21.6
0.997;5.048;150.2;21.6
1.004;5.028;151.4;21.6
1.012;5.019;152.5;21.6
1.020;5.018;153.7;21.6
1.024;5.036;154.4;21.6
1.026;5.029;154.8;21.6
1.026;5.029;154.8;21.6
1.028;5.018;155.2;21.6
1.030;4.999;155.6;21.6
1.032;4.982;155.9;21.6
1.032;4.982;155.9;21.6
1.034;4.959;156.3;21.6
1.036;4.940;156.7;21.6
1.046;4.766;178.4;22.0
1.056;4.682;190.0;22.0
1.066;4.621;201.6;22.1
1.076;4.467;213.2;22.1
1.086;4.397;224.8;22.1
1.096;4.299;236.4;22.1
1.106;4.237;248.0;22.1
1.116;4.072;259.6;22.1
1.126;4.071;271.2;22.1
1.136;4.002;282.8;22.1
1.146;3.888;294.4;22.1
1.156;3.897;306.0;22.1
1.166;3.766;317.6;22.1
1.176;3.726;329.1;22.1
1.186;3.748;340.8;22.1
1.196;3.625;352.3;22.1
1.206;3.667;363.9;22.1
1.216;3.628;375.5;22.1
1.226;3.613;387.1;22.1
1.236;3.492;398.7;22.2
1.236;3.582;398.9;22.2
1.246;3.457;410.5;22.2
1.246;3.563;410.7;22.2
1.256;3.419;422.3;22.2
1.256;3.556;422.5;22.2
1.266;3.415;434.1;22.2
1.266;3.508;434.3;22.2
1.276;3.413;445.9;22.2
1.276;3.505;450.1;22.2
1.286;3.461;461.7;22.1
1.286;3.424;471.7;22.1
