ml;pH;sec;°C
0.000;8.205;0.0;22.5
0.000;8.201;0.4;22.5
0.000;8.180;0.8;22.5
0.007;8.138;1.9;22.5
0.015;8.068;3.0;22.5
0.022;8.044;4.2;22.5
0.030;8.049;5.3;22.5
0.038;8.125;6.5;22.5
0.045;8.174;7.6;22.5
0.053;8.187;8.7;22.5
0.060;8.143;9.9;22.5
0.068;8.082;11.0;22.5
0.076;7.974;12.2;22.5
0.083;7.870;13.3;22.5
0.091;7.849;14.5;22.5
0.098;7.918;15.6;22.5
0.106;7.957;16.7;22.5
0.114;7.928;17.9;22.5
0.121;7.840;19.0;22.5
0.129;7.735;20.2;22.5
0.137;7.605;21.3;22.5
0.144;7.526;22.4;22.5
0.152;7.609;23.6;22.5
0.159;7.602;24.7;22.5
0.167;7.515;25.9;22.5
0.175;7.373;27.0;22.5
0.182;7.296;28.2;22.5
0.190;7.238;29.3;22.5
0.197;7.240;30.4;22.5
0.205;7.321;31.6;22.5
0.213;7.321;32.7;22.5
0.220;7.226;33.9;22.5
0.228;7.144;35.0;22.5
0.236;6.986;36.1;22.5
0.243;6.980;37.3;22.5
0.251;6.740;38.4;22.5
0.258;7.028;39.6;22.5
0.266;7.163;40.7;22.5
0.274;7.075;41.9;22.5
0.281;7.063;43.0;22.5
0.289;7.016;44.1;22.5
0.296;6.930;45.3;22.5
0.304;6.822;46.4;22.5
0.312;6.873;47.6;22.5
0.319;6.946;48.7;22.5
0.327;6.957;49.8;22.5
0.335;6.928;51.0;22.5
0.342;6.879;52.1;22.5
0.350;6.755;53.3;22.5
0.357;6.697;54.4;22.5
0.365;6.773;55.5;22.5
0.373;6.844;56.7;22.5
0.380;6.784;57.8;22.5
0.388;6.630;59.0;22.5
0.395;6.559;60.1;22.5
0.403;6.528;61.3;22.5
0.411;6.555;62.4;22.5
0.418;6.591;63.5;22.5
0.426;6.668;64.7;22.5
0.434;6.679;65.8;22.5
0.441;6.669;67.0;22.5
0.449;6.620;68.1;22.5
0.456;6.503;69.2;22.5
0.464;6.452;70.4;22.5
0.472;6.427;71.5;22.5
0.479;6.412;72.7;22.5
0.487;6.449;73.8;22.5
0.494;6.526;74.9;22.5
0.502;6.549;76.1;22.5
0.510;6.472;77.2;22.5
0.517;6.418;78.4;22.5
0.525;6.309;79.5;22.5
