ml;pH;sec;°C
0.000;8.426;0.0;21.4
0.000;8.408;0.4;21.4
0.000;8.389;0.8;21.4
0.007;8.298;1.9;21.4
0.015;8.251;3.0;21.4
0.022;8.220;4.2;21.4
0.030;8.226;5.3;21.4
0.037;8.252;6.5;21.4
0.045;8.287;7.6;21.4
0.053;8.310;8.7;21.4
0.060;8.296;9.9;21.4
0.068;8.275;11.0;21.4
0.076;8.242;12.2;21.4
0.083;8.215;13.3;21.4
0.091;8.116;14.4;21.4
0.098;8.043;15.6;21.4
0.106;7.952;16.7;21.4
0.114;7.872;17.9;21.4
0.121;7.825;19.0;21.4
0.129;7.780;20.2;21.4
0.136;7.848;21.3;21.4
0.144;7.863;22.4;21.4
0.152;7.845;23.6;21.4
0.159;7.738;24.7;21.4
0.167;7.648;25.9;21.4
0.175;7.519;27.0;21.4
0.182;7.437;28.1;21.4
0.190;7.383;29.3;21.4
0.197;7.365;30.4;21.4
0.205;7.347;31.6;21.4
0.213;7.318;32.7;21.4
0.220;7.379;33.8;21.4
0.228;7.364;35.0;21.4
0.235;7.337;36.1;21.4
0.243;7.318;37.3;21.4
0.251;7.290;38.4;21.4
0.258;7.217;39.6;21.4
0.266;7.151;40.7;21.4
0.273;7.074;41.8;21.4
0.281;7.032;43.0;21.4
0.289;6.968;44.1;21.4
0.296;6.993;45.3;21.4
0.304;7.084;46.4;21.4
0.312;7.093;47.5;21.4
0.319;7.063;48.7;21.4
0.327;7.012;49.8;21.4
0.334;6.933;51.0;21.4
0.342;6.863;52.1;21.4
0.350;6.807;53.2;21.4
0.357;6.792;54.4;21.4
0.365;6.793;55.5;21.4
0.372;6.832;56.7;21.4
0.380;6.868;57.8;21.4
0.388;6.883;58.9;21.4
0.395;6.857;60.1;21.4
0.403;6.786;61.2;21.4
0.410;6.702;62.4;21.4
0.418;6.653;63.5;21.4
0.426;6.618;64.7;21.4
0.433;6.650;65.8;21.4
0.441;6.707;66.9;21.4
0.449;6.730;68.1;21.4
0.456;6.710;69.2;21.4
0.464;6.672;70.4;21.4
0.471;6.608;71.5;21.4
0.479;6.536;72.6;21.4
0.487;6.502;73.8;21.4
0.494;6.472;74.9;21.4
0.502;6.448;76.1;21.4
0.509;6.430;77.2;21.4
0.517;6.465;78.3;21.4
0.525;6.474;79.5;21.4
0.532;6.463;80.6;21.4
0.540;6.533;81.8;21.4
0.547;6.512;82.9;21.4
0.555;6.459;84.0;21.4
0.563;6.434;85.2;21.4
0.570;6.355;86.3;21.4
0.578;6.302;87.5;21.4
0.586;6.267;88.6;21.4
0.593;6.264;89.8;21.4
0.601;6.288;90.9;21.4
0.608;6.314;92.0;21.4
0.616;6.351;93.2;21.4
0.624;6.352;94.3;21.4
0.631;6.284;95.5;21.4
0.639;6.194;96.6;21.4
0.646;6.149;97.7;21.4
0.654;6.145;98.9;21.4
0.662;6.157;100.0;21.4
0.669;6.244;101.2;21.4
0.677;6.243;102.3;21.4
0.685;6.222;103.5;21.4
0.692;6.195;104.6;21.4
0.700;6.112;105.7;21.4
0.707;6.065;106.9;21.4
0.715;6.041;108.0;21.4
0.723;6.036;109.2;21.4
0.730;6.027;110.3;21.4
0.738;6.065;111.4;21.4
0.745;6.067;112.6;21.4
0.753;6.089;113.7;21.4
0.761;6.082;114.9;21.4
0.768;6.023;116.0;21.4
0.776;5.969;117.1;21.4
0.784;5.935;118.3;21.4
0.791;5.866;119.4;21.4
0.799;5.883;120.6;21.4
0.806;5.944;121.7;21.4
0.814;5.972;122.9;21.4
0.822;5.949;124.0;21.4
0.829;5.892;125.1;21.4
0.837;5.859;126.3;21.4
0.844;5.816;127.4;21.4
0.852;5.760;128.6;21.4
0.860;5.779;129.7;21.4
0.867;5.776;130.8;21.4
0.875;5.831;132.0;21.4
0.883;5.839;133.1;21.4
0.890;5.820;134.3;21.4
0.898;5.776;135.4;21.4
0.905;5.725;136.5;21.4
0.913;5.650;137.7;21.4
0.921;5.622;138.8;21.4
0.928;5.607;140.0;21.4
0.936;5.610;141.1;21.4
0.943;5.638;142.3;21.4
0.951;5.658;143.4;21.4
0.959;5.656;144.5;21.4
0.966;5.587;145.7;21.4
0.974;5.514;146.8;21.4
0.982;5.465;148.0;21.4
0.989;5.474;149.1;21.4
0.997;5.489;150.2;21.4
1.004;5.499;151.4;21.4
1.012;5.498;152.5;21.4
1.020;5.487;153.7;21.4
1.027;5.448;154.8;21.4
1.035;5.349;156.0;21.4
1.042;5.305;157.1;21.4
1.050;5.265;158.2;21.4
1.058;5.251;159.4;21.4
1.065;5.265;160.5;21.4
1.073;5.261;161.7;21.4
1.081;5.276;162.8;21.4
1.088;5.228;163.9;21.4
1.096;5.174;165.1;21.4
1.103;5.122;166.2;21.4
1.111;5.048;167.4;21.4
1.119;4.976;168.5;21.4
1.126;4.947;169.6;21.4
1.130;5.005;170.2;21.4
1.132;4.989;170.6;21.4
1.134;4.978;171.0;21.4
1.134;4.978;171.0;21.4
1.136;4.951;171.4;21.4
1.138;4.934;171.7;21.4
1.148;4.717;193.4;21.6
1.158;4.612;205.0;21.7
1.168;4.612;216.6;21.7
1.178;4.465;228.2;21.7
1.188;4.397;239.8;21.7
1.198;4.357;251.4;21.7
1.208;4.168;263.0;21.7
1.218;4.082;274.6;21.7
1.228;4.114;286.2;21.7
1.238;3.943;297.8;21.7
1.248;3.996;309.4;21.7
1.258;3.860;321.0;21.7
1.268;3.786;332.6;21.7
1.278;3.805;344.2;21.7
1.288;3.790;355.8;21.7
1.298;3.698;367.4;21.7
1.308;3.631;379.0;21.7
1.318;3.631;390.6;21.7
1.328;3.640;402.2;21.7
1.338;3.498;413.8;21.7
1.348;3.532;425.4;21.7
1.358;3.552;437.0;21.7
1.368;3.442;448.6;21.7
1.368;3.513;451.2;21.7
1.378;3.384;462.8;21.7
1.378;3.502;463.0;21.7
