ml;pH;sec;°C
0.000;8.235;0.0;21.1
0.000;8.222;0.4;21.1
0.000;8.172;0.8;21.1
0.007;8.070;1.9;21.1
0.015;7.997;3.0;21.1
0.022;8.010;4.2;21.1
0.030;8.079;5.3;21.1
0.038;8.168;6.5;21.1
0.045;8.234;7.6;21.1
0.053;8.152;8.8;21.1
0.060;8.010;9.9;21.1
0.068;7.928;11.0;21.1
0.076;7.974;12.2;21.1
0.083;7.970;13.3;21.1
0.091;8.030;14.5;21.1
0.098;8.065;15.6;21.1
0.106;8.013;16.7;21.1
0.114;7.876;17.9;21.1
0.121;7.728;19.0;21.1
0.129;7.739;20.2;21.1
0.137;7.748;21.3;21.1
0.144;7.712;22.4;21.1
0.152;7.705;23.6;21.1
0.159;7.653;24.7;21.1
0.167;7.497;25.9;21.1
0.175;7.363;27.0;21.1
0.182;7.359;28.2;21.1
0.190;7.385;29.3;21.1
0.197;7.403;30.4;21.1
0.205;7.412;31.6;21.1
0.213;7.382;32.7;21.1
0.220;7.235;33.9;21.1
0.228;7.079;35.0;21.1
0.235;7.075;36.1;21.1
0.243;7.178;37.3;21.1
0.251;7.215;38.4;21.1
0.258;7.136;39.6;21.1
0.266;6.980;40.7;21.1
0.274;6.904;41.8;21.1
0.281;6.896;43.0;21.1
0.289;6.946;44.1;21.1
0.296;6.979;45.3;21.1
0.304;7.017;46.4;21.1
0.312;7.017;47.5;21.1
0.319;6.974;48.7;21.1
0.327;6.834;49.8;21.1
0.334;6.720;51.0;21.1
0.342;6.717;52.1;21.1
0.350;6.762;53.3;21.1
0.357;6.849;54.4;21.1
0.365;6.870;55.5;21.1
0.373;6.832;56.7;21.1
0.380;6.772;57.8;21.1
0.388;6.660;59.0;21.1
0.395;6.567;60.1;21.1
0.403;6.588;61.2;21.1
0.411;6.610;62.4;21.1
0.418;6.724;63.5;21.1
0.426;6.670;64.7;21.1
0.433;6.609;65.8;21.1
0.441;6.529;67.0;21.1
0.449;6.425;68.1;21.1
0.456;6.438;69.2;21.1
0.464;6.476;70.4;21.1
0.472;6.542;71.5;21.1
0.479;6.559;72.7;21.1
0.487;6.537;73.8;21.1
0.494;6.460;74.9;21.1
0.502;6.346;76.1;21.1
0.510;6.307;77.2;21.1
0.517;6.283;78.4;21.1
0.525;6.314;79.5;21.1
0.532;6.433;80.6;21.1
0.540;6.441;81.8;21.1
0.548;6.401;82.9;21.1
0.555;6.318;84.1;21.1
0.563;6.249;85.2;21.1
0.571;6.205;86.4;21.1
0.578;6.156;87.5;21.1
0.586;6.140;88.6;21.1
0.593;6.155;89.8;21.1
0.601;6.208;90.9;21.1
0.609;6.256;92.1;21.1
0.616;6.269;93.2;21.1
0.624;6.248;94.3;21.1
0.631;6.190;95.5;21.1
0.639;6.135;96.6;21.1
0.647;6.087;97.8;21.1
0.654;6.014;98.9;21.1
0.662;5.983;100.0;21.1
0.669;5.969;101.2;21.1
0.677;5.992;102.3;21.1
0.685;6.052;103.5;21.1
0.692;6.105;104.6;21.1
0.700;6.088;105.7;21.1
0.707;6.011;106.9;21.1
0.715;5.899;108.0;21.1
0.723;5.859;109.2;21.1
0.730;5.888;110.3;21.1
0.738;5.966;111.5;21.1
0.746;5.975;112.6;21.1
0.753;5.970;113.7;21.1
0.761;5.916;114.9;21.1
0.768;5.877;116.0;21.1
0.776;5.794;117.2;21.1
0.784;5.748;118.3;21.1
0.791;5.688;119.4;21.1
0.799;5.706;120.6;21.1
0.806;5.748;121.7;21.1
0.814;5.826;122.9;21.1
0.822;5.778;124.0;21.1
0.829;5.659;125.1;21.1
0.837;5.597;126.3;21.1
0.845;5.567;127.4;21.1
0.852;5.610;128.6;21.1
0.860;5.686;129.7;21.1
0.867;5.683;130.9;21.1
0.875;5.663;132.0;21.1
0.883;5.631;133.1;21.1
0.890;5.556;134.3;21.1
0.898;5.471;135.4;21.1
0.905;5.395;136.6;21.1
0.913;5.407;137.7;21.1
0.921;5.453;138.8;21.1
0.928;5.490;140.0;21.1
0.936;5.464;141.1;21.1
0.944;5.449;142.3;21.1
0.951;5.383;143.4;21.1
0.959;5.315;144.5;21.1
0.966;5.262;145.7;21.1
0.974;5.192;146.8;21.1
0.982;5.121;148.0;21.1
0.989;5.117;149.1;21.1
0.997;5.154;150.3;21.1
1.004;5.172;151.4;21.1
1.012;5.146;152.5;21.1
1.017;5.100;153.3;21.1
1.019;5.081;153.7;21.1
1.019;5.081;153.7;21.1
1.021;5.041;154.1;21.1
1.026;4.988;154.8;21.1
1.032;4.981;155.8;21.1
1.034;5.011;156.1;21.1
1.034;5.011;156.1;21.1
1.036;4.984;156.5;21.1
1.038;5.027;156.9;21.1
1.040;4.992;157.3;21.1
1.040;4.992;157.3;21.1
1.042;4.927;157.7;21.1
1.052;4.756;179.3;21.3
1.062;4.580;190.9;21.3
1.072;4.436;202.5;21.3
1.082;4.489;214.1;21.3
1.092;4.370;225.7;21.3
1.102;4.190;237.3;21.3
1.112;4.238;248.9;21.3
1.122;4.015;260.5;21.3
1.132;4.087;272.1;21.3
1.142;3.926;283.7;21.3
1.152;3.810;295.3;21.4
1.162;3.896;306.9;21.3
1.172;3.784;318.5;21.4
1.182;3.669;330.1;21.4
1.192;3.767;341.7;21.4
1.202;3.581;353.3;21.3
1.212;3.660;364.9;21.3
1.222;3.580;376.5;21.3
1.232;3.520;388.1;21.3
1.242;3.566;399.7;21.3
1.252;3.561;411.3;21.3
1.262;3.419;422.9;21.3
1.262;3.505;423.1;21.3
1.272;3.407;434.7;21.2
1.272;3.500;437.7;21.2
1.282;3.422;449.3;21.2
1.282;3.495;451.2;21.2
1.292;3.425;462.8;21.2
1.292;3.331;472.9;21.2
