ml;pH;sec;°C
0.000;8.273;0.0;22.1
0.000;8.282;0.4;22.1
0.000;8.288;0.8;22.1
0.007;8.302;1.9;22.1
0.015;8.288;3.0;22.1
0.022;8.198;4.2;22.1
0.030;8.152;5.3;22.1
0.038;8.100;6.5;22.1
0.045;8.021;7.6;22.1
0.053;7.987;8.7;22.1
0.060;8.029;9.9;22.1
0.068;7.994;11.0;22.1
0.076;8.062;12.2;22.1
0.083;8.053;13.3;22.1
0.091;8.054;14.5;22.1
0.098;7.965;15.6;22.1
0.106;7.898;16.7;22.1
0.114;7.811;17.9;22.1
0.121;7.742;19.0;22.1
0.129;7.644;20.2;22.1
0.136;7.583;21.3;22.1
0.144;7.538;22.4;22.1
0.152;7.541;23.6;22.1
0.159;7.580;24.7;22.1
0.167;7.579;25.9;22.1
0.175;7.517;27.0;22.1
0.182;7.441;28.1;22.1
0.190;7.264;29.3;22.1
0.197;7.194;30.4;22.1
0.205;7.155;31.6;22.1
0.213;7.149;32.7;22.1
0.220;7.137;33.9;22.1
0.228;7.171;35.0;22.1
0.235;7.171;36.1;22.1
0.243;7.192;37.3;22.1
0.251;7.178;38.4;22.1
0.258;7.150;39.6;22.1
0.266;7.107;40.7;22.1
0.274;7.064;41.8;22.1
0.281;7.020;43.0;22.1
0.289;6.967;44.1;22.1
0.296;6.871;45.3;22.1
0.304;6.839;46.4;22.1
0.312;6.885;47.5;22.1
0.319;6.920;48.7;22.1
0.327;6.950;49.8;22.1
0.334;6.959;51.0;22.1
0.342;6.923;52.1;22.1
0.350;6.869;53.2;22.1
0.357;6.814;54.4;22.1
0.365;6.694;55.5;22.1
0.372;6.690;56.7;22.1
0.380;6.764;57.8;22.1
0.388;6.817;59.0;22.1
0.395;6.796;60.1;22.1
0.403;6.663;61.2;22.1
0.411;6.623;62.4;22.1
0.418;6.565;63.5;22.1
0.426;6.570;64.7;22.1
0.433;6.632;65.8;22.1
0.441;6.638;66.9;22.1
0.449;6.684;68.1;22.1
0.456;6.655;69.2;22.1
0.464;6.533;70.4;22.1
0.472;6.483;71.5;22.1
0.479;6.438;72.7;22.1
0.487;6.430;73.8;22.1
0.494;6.485;74.9;22.1
0.502;6.518;76.1;22.1
0.510;6.521;77.2;22.1
0.517;6.540;78.4;22.1
0.525;6.500;79.5;22.1
0.532;6.448;80.6;22.1
0.540;6.390;81.8;22.1
0.548;6.304;82.9;22.1
0.555;6.275;84.1;22.1
0.563;6.272;85.2;22.1
0.570;6.310;86.3;22.1
0.578;6.344;87.5;22.1
0.586;6.368;88.6;22.1
0.593;6.368;89.8;22.1
0.601;6.353;90.9;22.1
0.609;6.311;92.1;22.1
0.616;6.238;93.2;22.1
0.624;6.138;94.3;22.1
0.631;6.195;95.5;22.1
0.639;6.227;96.6;22.1
0.647;6.270;97.8;22.1
0.654;6.257;98.9;22.1
0.662;6.231;100.0;22.1
0.669;6.171;101.2;22.1
0.677;6.104;102.3;22.1
0.685;6.078;103.5;22.1
0.692;6.048;104.6;22.1
0.700;6.070;105.8;22.1
0.708;6.066;106.9;22.1
0.715;6.096;108.0;22.1
0.723;6.137;109.2;22.1
0.730;6.097;110.3;22.1
0.738;6.034;111.5;22.1
0.746;5.993;112.6;22.1
0.753;5.941;113.7;22.1
0.761;5.913;114.9;22.1
0.768;5.882;116.0;22.1
0.776;5.879;117.2;22.1
0.784;5.879;118.3;22.1
0.791;5.910;119.4;22.1
0.799;5.946;120.6;22.1
0.807;5.963;121.7;22.1
0.814;5.948;122.9;22.1
0.822;5.932;124.0;22.1
0.829;5.878;125.1;22.1
0.837;5.819;126.3;22.1
0.845;5.765;127.4;22.1
0.852;5.788;128.6;22.1
0.860;5.712;129.7;22.1
0.867;5.706;130.9;22.1
0.875;5.761;132.0;22.1
0.883;5.736;133.1;22.1
0.890;5.772;134.3;22.1
0.898;5.797;135.4;22.1
0.905;5.768;136.6;22.1
0.913;5.741;137.7;22.1
0.921;5.700;138.8;22.1
0.928;5.595;140.0;22.1
0.936;5.558;141.1;22.1
0.944;5.499;142.3;22.1
0.951;5.592;143.4;22.1
0.959;5.547;144.5;22.1
0.966;5.552;145.7;22.1
0.974;5.571;146.8;22.1
0.982;5.582;148.0;22.1
0.989;5.557;149.1;22.1
0.997;5.526;150.2;22.1
1.004;5.462;151.4;22.1
1.012;5.400;152.5;22.1
1.020;5.340;153.7;22.1
1.027;5.312;154.8;22.1
1.035;5.325;156.0;22.1
1.042;5.314;157.1;22.1
1.050;5.338;158.2;22.1
1.058;5.341;159.4;22.1
1.065;5.313;160.5;22.1
1.073;5.261;161.7;22.1
1.081;5.227;162.8;22.1
1.088;5.155;163.9;22.1
1.096;5.106;165.1;22.1
1.103;5.026;166.2;22.1
1.111;4.985;167.4;22.1
1.119;5.011;168.5;22.1
1.126;4.949;169.6;22.1
1.130;4.937;170.2;22.1
1.140;4.794;191.9;22.2
1.150;4.753;203.5;22.2
1.160;4.550;215.1;22.2
1.170;4.488;226.7;22.2
1.180;4.504;238.3;22.2
1.190;4.405;249.9;22.2
1.200;4.223;261.5;22.3
1.210;4.258;273.1;22.2
1.220;4.124;284.7;22.3
1.230;3.976;296.3;22.2
1.240;4.039;307.9;22.2
1.250;3.852;319.5;22.3
1.260;3.906;331.1;22.3
1.270;3.837;342.7;22.2
1.280;3.786;354.2;22.3
1.290;3.697;365.8;22.2
1.300;3.670;377.4;22.3
1.310;3.581;389.0;22.2
1.320;3.679;400.6;22.2
1.330;3.627;412.2;22.2
1.340;3.491;423.8;22.3
1.340;3.606;424.0;22.3
1.350;3.513;435.6;22.2
1.360;3.453;447.2;22.3
1.360;3.533;447.4;22.3
1.370;3.492;459.0;22.2
1.370;3.501;459.4;22.2
1.380;3.458;471.0;22.2
1.380;3.503;473.1;22.2
1.390;3.359;484.7;22.3
1.390;3.400;494.8;22.3
