ml;pH;sec;°C
0.000;8.164;0.0;21.6
0.000;8.178;0.4;21.6
0.000;8.180;0.8;21.6
0.007;8.247;1.9;21.6
0.015;8.315;3.0;21.6
0.022;8.316;4.2;21.6
0.030;8.276;5.3;21.6
0.037;8.206;6.5;21.6
0.045;8.121;7.6;21.6
0.053;8.031;8.7;21.6
0.060;7.991;9.9;21.6
0.068;8.019;11.0;21.6
0.076;8.104;12.2;21.6
0.083;8.124;13.3;21.6
0.091;8.064;14.5;21.6
0.098;7.999;15.6;21.6
0.106;7.896;16.7;21.6
0.114;7.840;17.9;21.6
0.121;7.858;19.0;21.6
0.129;7.865;20.2;21.6
0.136;7.899;21.3;21.6
0.144;7.810;22.4;21.6
0.152;7.699;23.6;21.6
0.159;7.622;24.7;21.6
0.167;7.577;25.9;21.6
0.175;7.584;27.0;21.6
0.182;7.602;28.1;21.6
0.190;7.603;29.3;21.6
0.197;7.348;30.4;21.6
0.205;7.284;31.6;21.6
0.213;7.167;32.7;21.6
0.220;7.145;33.9;21.6
0.228;7.182;35.0;21.6
0.235;7.228;36.1;21.6
0.243;7.221;37.3;21.6
0.251;7.140;38.4;21.6
0.258;7.041;39.6;21.6
0.266;6.952;40.7;21.6
0.274;6.942;41.8;21.6
0.281;6.962;43.0;21.6
0.289;6.986;44.1;21.6
0.296;7.008;45.3;21.6
0.304;6.986;46.4;21.6
0.312;6.945;47.5;21.6
0.319;6.829;48.7;21.6
0.327;6.751;49.8;21.6
0.334;6.760;51.0;21.6
0.342;6.803;52.1;21.6
0.350;6.857;53.3;21.6
0.357;6.849;54.4;21.6
0.365;6.761;55.5;21.6
0.372;6.716;56.7;21.6
0.380;6.683;57.8;21.6
0.388;6.696;59.0;21.6
0.395;6.754;60.1;21.6
0.403;6.786;61.2;21.6
0.411;6.755;62.4;21.6
0.418;6.666;63.5;21.6
0.426;6.597;64.7;21.6
0.433;6.611;65.8;21.6
0.441;6.654;66.9;21.6
0.449;6.682;68.1;21.6
0.456;6.651;69.2;21.6
0.464;6.592;70.4;21.6
0.471;6.538;71.5;21.6
0.479;6.518;72.6;21.6
0.487;6.510;73.8;21.6
0.494;6.517;74.9;21.6
0.502;6.549;76.1;21.6
0.509;6.539;77.2;21.6
0.517;6.434;78.4;21.6
0.525;6.407;79.5;21.6
0.532;6.307;80.6;21.6
0.540;6.342;81.8;21.6
0.548;6.412;82.9;21.6
0.555;6.421;84.1;21.6
0.563;6.381;85.2;21.6
0.570;6.353;86.3;21.6
0.578;6.291;87.5;21.6
0.586;6.307;88.6;21.6
0.593;6.319;89.8;21.6
0.601;6.353;90.9;21.6
0.608;6.350;92.0;21.6
0.616;6.288;93.2;21.6
0.624;6.233;94.3;21.6
0.631;6.195;95.5;21.6
0.639;6.184;96.6;21.6
0.647;6.203;97.8;21.6
0.654;6.242;98.9;21.6
0.662;6.278;100.0;21.6
0.669;6.277;101.2;21.6
0.677;6.309;102.3;21.6
0.685;6.245;103.5;21.6
0.692;6.186;104.6;21.6
0.700;6.150;105.7;21.6
0.707;6.088;106.9;21.6
0.715;6.131;108.0;21.6
0.723;6.184;109.2;21.6
0.730;6.198;110.3;21.6
0.738;6.157;111.4;21.6
0.746;6.113;112.6;21.6
0.753;6.072;113.7;21.6
0.761;6.066;114.9;21.6
0.768;6.093;116.0;21.6
0.776;6.154;117.2;21.6
0.784;6.155;118.3;21.6
0.791;6.123;119.4;21.6
0.799;5.984;120.6;21.6
0.806;5.948;121.7;21.6
0.814;5.901;122.9;21.6
0.822;5.900;124.0;21.6
0.829;5.932;125.1;21.6
0.837;5.971;126.3;21.6
0.844;5.946;127.4;21.6
0.852;5.891;128.6;21.6
