ml;pH;sec;°C
0.000;8.191;0.0;21.9
0.000;8.182;0.4;21.9
0.000;8.157;0.8;21.9
0.007;8.098;1.9;21.9
0.015;8.049;3.0;21.9
0.022;8.071;4.2;21.9
0.030;8.104;5.3;21.9
0.038;8.155;6.5;21.9
0.045;8.151;7.6;21.9
0.053;8.132;8.7;21.9
0.060;8.068;9.9;21.9
0.068;7.982;11.0;21.9
0.076;7.916;12.2;21.9
0.083;7.908;13.3;21.9
0.091;7.978;14.5;21.9
0.098;7.989;15.6;21.9
0.106;7.935;16.7;21.9
0.114;7.852;17.9;21.9
0.121;7.773;19.0;21.9
0.129;7.724;20.2;21.9
0.137;7.707;21.3;21.9
0.144;7.744;22.4;21.9
0.152;7.756;23.6;21.9
0.159;7.704;24.7;21.9
0.167;7.608;25.9;21.9
0.175;7.485;27.0;21.9
0.182;7.454;28.2;21.9
0.190;7.518;29.3;21.9
0.197;7.479;30.4;21.9
0.205;7.389;31.6;21.9
0.213;7.327;32.7;21.9
0.220;7.241;33.9;21.9
0.228;7.228;35.0;21.9
0.236;7.162;36.1;21.9
0.243;7.250;37.3;21.9
0.251;7.240;38.4;21.9
0.258;7.192;39.6;21.9
0.266;7.088;40.7;21.9
0.274;7.021;41.8;21.9
0.281;7.023;43.0;21.9
0.289;7.048;44.1;21.9
0.296;7.069;45.3;21.9
0.304;7.043;46.4;21.9
0.312;6.942;47.6;21.9
0.319;6.922;48.7;21.9
0.327;6.921;49.8;21.9
0.335;6.928;51.0;21.9
0.342;6.961;52.1;21.9
0.350;6.938;53.3;21.9
0.357;6.852;54.4;21.9
0.365;6.808;55.5;21.9
0.373;6.783;56.7;21.9
0.380;6.785;57.8;21.9
0.388;6.801;59.0;21.9
0.395;6.826;60.1;21.9
0.403;6.820;61.3;21.9
0.411;6.741;62.4;21.9
0.418;6.698;63.5;21.9
0.426;6.666;64.7;21.9
0.434;6.655;65.8;21.9
0.441;6.682;67.0;21.9
0.449;6.708;68.1;21.9
0.456;6.726;69.2;21.9
0.464;6.709;70.4;21.9
0.472;6.681;71.5;21.9
0.479;6.621;72.7;21.9
0.487;6.578;73.8;21.9
0.494;6.554;74.9;21.9
0.502;6.538;76.1;21.9
0.510;6.553;77.2;21.9
0.517;6.591;78.4;21.9
0.525;6.604;79.5;21.9
0.532;6.587;80.7;21.9
0.540;6.536;81.8;21.9
0.548;6.490;82.9;21.9
0.555;6.451;84.1;21.9
0.563;6.434;85.2;21.9
0.571;6.456;86.4;21.9
0.578;6.481;87.5;21.9
0.586;6.490;88.6;21.9
0.593;6.459;89.8;21.9
0.601;6.400;90.9;21.9
0.609;6.364;92.1;21.9
0.616;6.347;93.2;21.9
0.624;6.377;94.3;21.9
0.631;6.410;95.5;21.9
0.639;6.413;96.6;21.9
0.647;6.384;97.8;21.9
0.654;6.330;98.9;21.9
0.662;6.275;100.1;21.9
0.670;6.264;101.2;21.9
0.677;6.279;102.3;21.9
0.685;6.301;103.5;21.9
0.692;6.327;104.6;21.9
0.700;6.315;105.8;21.9
0.708;6.267;106.9;21.9
0.715;6.197;108.0;21.9
0.723;6.186;109.2;21.9
0.730;6.187;110.3;21.9
0.738;6.224;111.5;21.9
0.746;6.242;112.6;21.9
0.753;6.213;113.8;21.9
0.761;6.152;114.9;21.9
0.769;6.121;116.0;21.9
0.776;6.106;117.2;21.9
0.784;6.140;118.3;21.9
0.791;6.174;119.5;21.9
0.799;6.161;120.6;21.9
0.807;6.149;121.7;21.9
0.814;6.106;122.9;21.9
0.822;6.072;124.0;21.9
0.829;6.018;125.2;21.9
0.837;6.038;126.3;21.9
0.845;6.050;127.4;21.9
0.852;6.079;128.6;21.9
0.860;6.067;129.7;21.9
0.868;6.061;130.9;21.9
0.875;6.009;132.0;21.9
0.883;5.963;133.2;21.9
0.890;5.946;134.3;21.9
0.898;5.965;135.4;21.9
0.906;6.011;136.6;21.9
0.913;5.954;137.7;21.9
0.921;5.923;138.9;21.9
0.928;5.896;140.0;21.9
0.936;5.886;141.1;21.9
0.944;5.877;142.3;21.9
0.951;5.877;143.4;21.9
0.959;5.898;144.6;21.9
0.967;5.919;145.7;21.9
0.974;5.890;146.8;21.9
0.982;5.845;148.0;21.9
0.989;5.800;149.1;21.9
0.997;5.792;150.3;21.9
1.005;5.784;151.4;21.9
1.012;5.790;152.6;21.9
1.020;5.818;153.7;21.9
1.027;5.820;154.8;21.9
1.035;5.806;156.0;21.9
1.043;5.752;157.1;21.9
1.050;5.718;158.3;21.9
1.058;5.692;159.4;21.9
