ml;pH;sec;°C
0.000;8.133;0.0;22.9
0.000;8.094;0.4;22.9
0.000;8.076;0.8;22.9
0.007;8.042;1.9;22.9
0.015;8.068;3.0;22.9
0.022;8.124;4.2;22.9
0.030;8.153;5.3;22.9
0.038;8.146;6.5;22.9
0.045;8.058;7.6;22.9
0.053;7.965;8.8;22.9
0.060;7.945;9.9;22.9
0.068;8.020;11.0;22.9
0.076;8.048;12.2;22.9
0.083;8.039;13.3;22.9
0.091;7.978;14.5;22.9
0.098;7.903;15.6;22.9
0.106;7.812;16.7;22.9
0.114;7.778;17.9;22.9
0.121;7.811;19.0;22.9
0.129;7.852;20.2;22.9
0.137;7.783;21.3;22.9
0.144;7.624;22.5;22.9
0.152;7.586;23.6;22.9
0.159;7.607;24.7;22.9
0.167;7.600;25.9;22.9
0.175;7.604;27.0;22.9
0.182;7.540;28.2;22.9
0.190;7.459;29.3;22.9
0.197;7.377;30.4;22.9
0.205;7.280;31.6;22.9
0.213;7.253;32.7;22.9
0.220;7.260;33.9;22.9
0.228;7.271;35.0;22.9
0.236;7.281;36.1;22.9
0.243;7.229;37.3;22.9
0.251;7.177;38.4;22.9
0.258;7.086;39.6;22.9
0.266;7.025;40.7;22.9
0.274;7.009;41.8;22.9
0.281;7.055;43.0;22.9
0.289;7.084;44.1;22.9
0.296;7.066;45.3;22.9
0.304;7.019;46.4;22.9
0.312;6.948;47.6;22.9
0.319;6.884;48.7;22.9
0.327;6.888;49.8;22.9
0.334;6.943;51.0;22.9
0.342;6.970;52.1;22.9
0.350;6.889;53.3;22.9
0.357;6.887;54.4;22.9
0.365;6.779;55.5;22.9
0.373;6.821;56.7;22.9
0.380;6.883;57.8;22.9
0.388;6.859;59.0;22.9
0.395;6.789;60.1;22.9
0.403;6.726;61.3;22.9
0.411;6.675;62.4;22.9
0.418;6.668;63.5;22.9
0.426;6.678;64.7;22.9
0.433;6.710;65.8;22.9
0.441;6.739;67.0;22.9
0.449;6.745;68.1;22.9
0.456;6.677;69.2;22.9
0.464;6.537;70.4;22.9
0.472;6.527;71.5;22.9
0.479;6.540;72.7;22.9
0.487;6.582;73.8;22.9
0.494;6.591;74.9;22.9
0.502;6.618;76.1;22.9
0.510;6.595;77.2;22.9
0.517;6.568;78.4;22.9
0.525;6.538;79.5;22.9
0.532;6.508;80.6;22.9
0.540;6.445;81.8;22.9
0.548;6.430;82.9;22.9
0.555;6.412;84.1;22.9
0.563;6.441;85.2;22.9
0.571;6.442;86.4;22.9
0.578;6.467;87.5;22.9
0.586;6.486;88.6;22.9
0.593;6.420;89.8;22.9
0.601;6.387;90.9;22.9
0.609;6.323;92.1;22.9
0.616;6.315;93.2;22.9
0.624;6.306;94.3;22.9
0.631;6.393;95.5;22.9
0.639;6.388;96.6;22.9
0.647;6.367;97.8;22.9
0.654;6.326;98.9;22.9
0.662;6.261;100.1;22.9
0.670;6.228;101.2;22.9
0.677;6.214;102.3;22.9
0.685;6.178;103.5;22.9
0.692;6.231;104.6;22.9
0.700;6.269;105.8;22.9
0.708;6.260;106.9;22.9
0.715;6.268;108.0;22.9
0.723;6.185;109.2;22.9
0.730;6.161;110.3;22.9
0.738;6.129;111.5;22.9
0.746;6.109;112.6;22.9
0.753;6.092;113.7;22.9
0.761;6.092;114.9;22.9
0.769;6.098;116.0;22.9
0.776;6.079;117.2;22.9
0.784;6.086;118.3;22.9
0.791;6.129;119.5;22.9
0.799;6.139;120.6;22.9
0.807;6.128;121.7;22.9
0.814;6.117;122.9;22.9
0.822;6.093;124.0;22.9
0.829;6.072;125.2;22.9
0.837;5.986;126.3;22.9
0.845;5.971;127.4;22.9
0.852;5.978;128.6;22.9
0.860;5.997;129.7;22.9
0.867;6.006;130.9;22.9
0.875;6.011;132.0;22.9
0.883;6.033;133.1;22.9
0.890;6.024;134.3;22.9
0.898;5.974;135.4;22.9
0.906;5.912;136.6;22.9
0.913;5.878;137.7;22.9
0.921;5.876;138.8;22.9
0.928;5.889;140.0;22.9
0.936;5.894;141.1;22.9
0.944;5.929;142.3;22.9
0.951;5.923;143.4;22.9
0.959;5.904;144.6;22.9
0.966;5.822;145.7;22.9
0.974;5.791;146.8;22.9
0.982;5.803;148.0;22.9
0.989;5.819;149.1;22.9
0.997;5.840;150.3;22.9
1.005;5.838;151.4;22.9
1.012;5.795;152.5;22.9
1.020;5.730;153.7;22.9
1.027;5.712;154.8;22.9
1.035;5.700;156.0;22.9
1.043;5.694;157.1;22.9
1.050;5.698;158.3;22.9
1.058;5.740;159.4;22.9
1.065;5.734;160.5;22.9
1.073;5.719;161.7;22.9
1.081;5.700;162.8;22.9
1.088;5.671;164.0;22.9
1.096;5.633;165.1;22.9
1.104;5.578;166.2;22.9
1.111;5.560;167.4;22.9
1.119;5.553;168.5;22.9
1.126;5.564;169.7;22.9
1.134;5.593;170.8;22.9
1.142;5.580;171.9;22.9
1.149;5.613;173.1;22.9
1.157;5.440;174.2;22.9
1.164;5.439;175.4;22.9
1.172;5.440;176.5;22.9
1.180;5.437;177.7;22.9
1.187;5.360;178.8;22.9
1.195;5.369;179.9;22.9
1.203;5.358;181.1;22.9
1.210;5.402;182.2;22.9
1.218;5.428;183.4;22.9
1.225;5.435;184.5;22.9
1.233;5.394;185.6;22.9
1.241;5.349;186.8;22.9
1.248;5.306;187.9;22.9
1.256;5.280;189.1;22.9
1.263;5.203;190.2;22.9
1.271;5.171;191.3;22.9
1.279;5.178;192.5;22.9
1.286;5.192;193.6;22.9
1.294;5.224;194.8;22.9
1.302;5.232;195.9;22.9
1.309;5.198;197.1;22.9
1.317;5.174;198.2;22.9
1.324;5.105;199.3;22.9
1.332;5.061;200.5;22.9
1.340;5.013;201.6;22.9
1.347;4.972;202.8;22.9
1.356;4.979;204.1;22.9
1.356;4.979;204.1;22.9
1.358;4.965;204.5;22.9
1.360;4.958;204.9;22.9
1.362;4.951;205.2;22.9
1.362;4.951;205.2;22.9
1.364;4.939;205.6;22.9
1.374;4.762;227.3;23.1
1.384;4.717;238.9;23.1
1.394;4.696;250.5;23.1
1.404;4.575;262.1;23.0
1.414;4.546;273.7;23.0
1.424;4.478;285.3;23.0
1.434;4.350;296.9;23.0
1.444;4.317;308.5;23.0
1.454;4.199;320.1;23.0
1.464;4.136;331.7;23.0
1.474;4.131;343.3;23.0
1.484;4.040;354.9;23.0
1.494;4.010;366.5;23.0
1.504;3.845;378.1;23.0
1.514;3.927;389.7;23.0
1.524;3.771;401.3;23.0
1.534;3.703;412.9;23.0
