ml;pH;sec;°C
0.000;8.220;0.0;21.8
0.000;8.207;0.4;21.8
0.000;8.190;0.8;21.8
0.007;8.146;1.9;21.8
0.015;8.081;3.0;21.8
0.022;8.078;4.2;21.8
0.030;8.151;5.3;21.8
0.038;8.169;6.5;21.8
0.045;8.170;7.6;21.8
0.053;8.110;8.7;21.8
0.060;8.035;9.9;21.8
0.068;8.130;11.0;21.8
0.076;8.025;12.2;21.8
0.083;8.068;13.3;21.8
0.091;8.030;14.5;21.8
0.098;7.951;15.6;21.8
0.106;7.853;16.7;21.8
0.114;7.812;17.9;21.8
0.121;7.783;19.0;21.8
0.129;7.774;20.2;21.8
0.137;7.803;21.3;21.8
0.144;7.796;22.4;21.8
0.152;7.756;23.6;21.8
0.159;7.643;24.7;21.8
0.167;7.597;25.9;21.8
0.175;7.499;27.0;21.8
0.182;7.446;28.1;21.8
0.190;7.434;29.3;21.8
0.197;7.477;30.4;21.8
0.205;7.456;31.6;21.8
0.213;7.364;32.7;21.8
0.220;7.240;33.9;21.8
0.228;7.190;35.0;21.8
0.235;7.179;36.1;21.8
0.243;7.203;37.3;21.8
0.251;7.221;38.4;21.8
0.258;7.194;39.6;21.8
0.266;7.116;40.7;21.8
0.274;7.046;41.8;21.8
0.281;6.998;43.0;21.8
0.289;6.974;44.1;21.8
0.296;6.990;45.3;21.8
0.304;7.055;46.4;21.8
0.312;7.034;47.5;21.8
0.319;6.949;48.7;21.8
0.327;6.908;49.8;21.8
0.334;6.871;51.0;21.8
0.342;6.892;52.1;21.8
0.350;6.920;53.3;21.8
0.357;6.936;54.4;21.8
0.365;6.890;55.5;21.8
0.373;6.821;56.7;21.8
0.380;6.751;57.8;21.8
0.388;6.763;59.0;21.8
0.395;6.801;60.1;21.8
0.403;6.828;61.2;21.8
0.411;6.812;62.4;21.8
0.418;6.760;63.5;21.8
0.426;6.672;64.7;21.8
0.433;6.636;65.8;21.8
0.441;6.656;66.9;21.8
0.449;6.697;68.1;21.8
0.456;6.729;69.2;21.8
0.464;6.689;70.4;21.8
0.471;6.628;71.5;21.8
0.479;6.571;72.7;21.8
0.487;6.552;73.8;21.8
0.494;6.568;74.9;21.8
0.502;6.600;76.1;21.8
0.510;6.629;77.2;21.8
0.517;6.594;78.4;21.8
0.525;6.519;79.5;21.8
0.532;6.487;80.6;21.8
0.540;6.462;81.8;21.8
0.548;6.506;82.9;21.8
0.555;6.550;84.1;21.8
0.563;6.496;85.2;21.8
0.570;6.430;86.3;21.8
0.578;6.392;87.5;21.8
0.586;6.428;88.6;21.8
0.593;6.477;89.8;21.8
0.601;6.463;90.9;21.8
0.609;6.388;92.1;21.8
0.616;6.333;93.2;21.8
0.624;6.354;94.3;21.8
0.631;6.373;95.5;21.8
0.639;6.393;96.6;21.8
0.647;6.398;97.8;21.8
0.654;6.348;98.9;21.8
0.662;6.301;100.0;21.8
0.669;6.251;101.2;21.8
0.677;6.260;102.3;21.8
0.685;6.283;103.5;21.8
0.692;6.310;104.6;21.8
0.700;6.316;105.7;21.8
0.708;6.299;106.9;21.8
0.715;6.252;108.0;21.8
0.723;6.195;109.2;21.8
0.730;6.171;110.3;21.8
0.738;6.181;111.4;21.8
0.746;6.199;112.6;21.8
0.753;6.223;113.7;21.8
0.761;6.224;114.9;21.8
0.768;6.164;116.0;21.8
0.776;6.107;117.2;21.8
0.784;6.087;118.3;21.8
0.791;6.123;119.4;21.8
0.799;6.141;120.6;21.8
0.806;6.147;121.7;21.8
0.814;6.128;122.9;21.8
0.822;6.078;124.0;21.8
0.829;6.044;125.1;21.8
0.837;6.004;126.3;21.8
0.845;6.022;127.4;21.8
0.852;6.044;128.6;21.8
0.860;6.072;129.7;21.8
0.867;6.040;130.8;21.8
0.875;5.987;132.0;21.8
0.883;5.956;133.1;21.8
0.890;5.943;134.3;21.8
0.898;5.959;135.4;21.8
0.905;5.987;136.5;21.8
0.913;5.996;137.7;21.8
0.921;5.951;138.8;21.8
0.928;5.907;140.0;21.8
0.936;5.878;141.1;21.8
0.943;5.890;142.3;21.8
0.951;5.902;143.4;21.8
0.959;5.928;144.5;21.8
0.966;5.902;145.7;21.8
0.974;5.860;146.8;21.8
0.982;5.805;148.0;21.8
0.989;5.802;149.1;21.8
0.997;5.815;150.2;21.8
1.004;5.842;151.4;21.8
1.012;5.829;152.5;21.8
1.020;5.821;153.7;21.8
1.027;5.786;154.8;21.8
1.035;5.721;155.9;21.8
1.042;5.707;157.1;21.8
1.050;5.757;158.2;21.8
1.058;5.751;159.4;21.8
1.065;5.748;160.5;21.8
1.073;5.696;161.7;21.8
1.081;5.666;162.8;21.8
1.088;5.640;163.9;21.8
1.096;5.644;165.1;21.8
1.103;5.660;166.2;21.8
1.111;5.672;167.4;21.8
1.119;5.652;168.5;21.8
1.126;5.604;169.6;21.8
1.134;5.552;170.8;21.8
1.141;5.538;171.9;21.8
1.149;5.531;173.1;21.8
1.157;5.539;174.2;21.8
1.164;5.562;175.3;21.8
1.172;5.543;176.5;21.8
1.180;5.462;177.6;21.8
1.187;5.434;178.8;21.8
1.195;5.449;179.9;21.8
1.202;5.471;181.1;21.8
1.210;5.462;182.2;21.8
1.218;5.391;183.3;21.8
1.225;5.363;184.5;21.8
1.233;5.364;185.6;21.8
1.240;5.325;186.8;21.8
1.248;5.333;187.9;21.8
1.256;5.340;189.0;21.8
1.263;5.293;190.2;21.8
1.271;5.248;191.3;21.8
1.279;5.194;192.5;21.8
1.286;5.203;193.6;21.8
1.294;5.208;194.8;21.8
1.301;5.201;195.9;21.8
1.309;5.166;197.0;21.8
1.317;5.114;198.2;21.8
1.324;5.053;199.3;21.8
1.332;5.045;200.5;21.8
1.339;5.027;201.6;21.8
1.347;5.034;202.7;21.8
1.349;5.017;203.1;21.8
1.351;5.009;203.5;21.8
1.353;5.007;203.9;21.8
1.353;5.007;203.9;21.8
1.355;4.950;204.3;21.8
1.357;4.930;204.6;21.8
1.367;4.798;226.3;22.1
1.377;4.676;237.9;22.1
1.387;4.640;249.5;22.1
1.397;4.563;261.1;22.1
1.407;4.509;272.7;22.1
1.417;4.425;284.3;22.1
1.427;4.354;295.9;22.1
1.437;4.263;307.5;22.1
1.447;4.261;319.1;22.1
1.457;4.194;330.7;22.1
1.467;4.132;342.3;22.0
1.477;4.056;353.9;22.1
1.487;3.986;365.5;22.1
1.497;3.847;377.1;22.1
1.507;3.802;388.7;22.1
1.517;3.835;400.3;22.0
1.527;3.817;411.9;22.0
1.537;3.776;423.5;22.0
1.547;3.668;435.1;22.1
1.557;3.669;446.7;22.0
1.567;3.580;458.3;22.1
1.577;3.549;469.9;22.1
1.587;3.556;481.5;22.0
1.597;3.462;493.1;22.1
1.597;3.595;493.3;22.1
1.607;3.578;504.9;22.0
1.617;3.419;516.5;22.1
1.617;3.542;516.7;22.1
1.627;3.419;528.3;22.0
1.627;3.513;528.5;22.0
1.637;3.494;540.1;22.0
1.637;3.500;540.4;22.0
1.647;3.484;552.0;22.0
1.647;3.498;557.2;22.0
1.657;3.397;568.8;22.0
1.657;3.467;578.8;22.0
