ml;pH;sec;°C
0.000;8.128;0.0;21.2
0.000;8.136;0.4;21.2
0.000;8.253;0.8;21.2
0.007;8.258;1.9;21.2
0.015;8.152;3.0;21.2
0.022;8.064;4.2;21.2
0.030;8.043;5.3;21.2
0.038;8.021;6.5;21.2
0.045;7.991;7.6;21.2
0.053;7.974;8.8;21.2
0.060;7.946;9.9;21.2
0.068;7.922;11.0;21.2
0.076;7.913;12.2;21.2
0.083;7.897;13.3;21.2
0.091;7.875;14.5;21.2
0.098;7.856;15.6;21.2
0.106;7.770;16.7;21.2
0.114;7.710;17.9;21.2
0.121;7.626;19.0;21.2
0.129;7.579;20.2;21.2
0.136;7.541;21.3;21.2
0.144;7.520;22.4;21.2
0.152;7.476;23.6;21.2
0.159;7.421;24.7;21.2
0.167;7.341;25.9;21.2
0.175;7.286;27.0;21.2
0.182;7.191;28.1;21.2
0.190;7.110;29.3;21.2
0.197;7.003;30.4;21.2
0.205;7.006;31.6;21.2
0.213;6.993;32.7;21.2
0.220;6.929;33.9;21.2
0.228;6.867;35.0;21.2
0.235;6.821;36.1;21.2
0.243;6.805;37.3;21.2
0.251;6.789;38.4;21.2
0.258;6.771;39.6;21.2
0.266;6.754;40.7;21.2
0.274;6.747;41.8;21.2
0.281;6.698;43.0;21.2
0.289;6.648;44.1;21.2
0.296;6.597;45.3;21.2
0.304;6.583;46.4;21.2
0.312;6.559;47.6;21.2
0.319;6.570;48.7;21.2
0.327;6.567;49.8;21.2
0.334;6.468;51.0;21.2
0.342;6.432;52.1;21.2
0.350;6.400;53.3;21.2
0.357;6.363;54.4;21.2
0.365;6.350;55.5;21.2
0.373;6.340;56.7;21.2
0.380;6.347;57.8;21.2
0.388;6.362;59.0;21.2
0.395;6.377;60.1;21.2
0.403;6.158;61.3;21.2
0.411;6.163;62.4;21.2
0.418;6.078;63.5;21.2
0.426;6.095;64.7;21.2
0.433;6.064;65.8;21.2
0.441;6.082;67.0;21.2
0.449;6.102;68.1;21.2
0.456;6.121;69.2;21.2
0.464;6.154;70.4;21.2
0.472;6.145;71.5;21.2
0.479;6.105;72.7;21.2
0.487;6.042;73.8;21.2
0.494;6.002;74.9;21.2
0.502;6.022;76.1;21.2
0.510;6.055;77.2;21.2
0.517;6.081;78.4;21.2
0.525;6.065;79.5;21.2
0.533;6.051;80.7;21.2
0.540;5.978;81.8;21.2
0.548;5.966;82.9;21.2
