ml;pH;sec;°C
0.000;8.249;0.0;21.2
0.000;8.217;0.4;21.2
0.000;8.199;0.8;21.2
0.007;8.196;1.9;21.2
0.015;8.173;3.0;21.2
0.022;8.165;4.2;21.2
0.030;8.215;5.3;21.2
0.037;8.244;6.5;21.2
0.045;8.229;7.6;21.2
0.053;8.154;8.7;21.2
0.060;8.048;9.9;21.2
0.068;7.995;11.0;21.2
0.076;7.986;12.2;21.2
0.083;8.031;13.3;21.2
0.091;8.016;14.5;21.2
0.098;8.003;15.6;21.2
0.106;7.944;16.7;21.2
0.114;7.851;17.9;21.2
0.121;7.748;19.0;21.2
0.129;7.695;20.2;21.2
0.136;7.699;21.3;21.2
0.144;7.712;22.4;21.2
0.152;7.697;23.6;21.2
0.159;7.637;24.7;21.2
0.167;7.489;25.9;21.2
0.175;7.405;27.0;21.2
0.182;7.332;28.1;21.2
0.190;7.372;29.3;21.2
0.197;7.403;30.4;21.2
0.205;7.373;31.6;21.2
0.213;7.266;32.7;21.2
0.220;7.173;33.9;21.2
0.228;7.127;35.0;21.2
0.235;7.107;36.1;21.2
0.243;7.145;37.3;21.2
0.251;7.178;38.4;21.2
0.258;7.172;39.6;21.2
0.266;7.128;40.7;21.2
0.274;7.052;41.8;21.2
0.281;6.988;43.0;21.2
0.289;6.945;44.1;21.2
0.296;6.908;45.3;21.2
0.304;6.912;46.4;21.2
0.312;6.980;47.5;21.2
0.319;6.964;48.7;21.2
0.327;6.980;49.8;21.2
0.334;6.935;51.0;21.2
0.342;6.941;52.1;21.2
0.350;6.792;53.3;21.2
0.357;6.795;54.4;21.2
0.365;6.778;55.5;21.2
0.372;6.804;56.7;21.2
0.380;6.841;57.8;21.2
0.388;6.811;59.0;21.2
0.395;6.737;60.1;21.2
0.403;6.687;61.2;21.2
0.411;6.662;62.4;21.2
0.418;6.673;63.5;21.2
0.426;6.728;64.7;21.2
0.433;6.740;65.8;21.2
0.441;6.718;67.0;21.2
0.449;6.671;68.1;21.2
0.456;6.632;69.2;21.2
0.464;6.578;70.4;21.2
0.472;6.557;71.5;21.2
0.479;6.579;72.7;21.2
0.487;6.622;73.8;21.2
0.494;6.624;74.9;21.2
0.502;6.593;76.1;21.2
0.510;6.547;77.2;21.2
0.517;6.479;78.4;21.2
0.525;6.461;79.5;21.2
0.532;6.469;80.7;21.2
0.540;6.534;81.8;21.2
0.548;6.520;82.9;21.2
0.555;6.501;84.1;21.2
0.563;6.481;85.2;21.2
0.571;6.420;86.4;21.2
0.578;6.388;87.5;21.2
0.586;6.349;88.6;21.2
0.593;6.350;89.8;21.2
0.601;6.360;90.9;21.2
0.609;6.366;92.1;21.2
0.616;6.383;93.2;21.2
0.624;6.400;94.3;21.2
0.631;6.368;95.5;21.2
0.639;6.327;96.6;21.2
0.647;6.288;97.8;21.2
0.654;6.252;98.9;21.2
