ml;pH;sec;°C
0.000;8.026;0.0;24.0
0.000;8.022;0.4;24.0
0.000;8.011;0.8;24.0
0.007;8.066;1.9;24.0
0.015;8.165;3.0;24.0
0.022;8.220;4.2;24.0
0.030;8.209;5.3;24.0
0.038;8.096;6.5;24.0
0.045;8.015;7.6;24.0
0.053;7.963;8.8;24.0
0.060;8.033;9.9;24.0
0.068;8.073;11.0;24.0
0.076;8.116;12.2;24.0
0.083;8.084;13.3;24.0
0.091;7.974;14.5;24.0
0.098;7.830;15.6;24.0
0.106;7.817;16.7;24.0
0.114;7.836;17.9;24.0
0.121;7.882;19.0;24.0
0.129;7.935;20.2;24.0
0.137;7.885;21.3;24.0
0.144;7.775;22.4;24.0
0.152;7.665;23.6;24.0
0.159;7.605;24.7;24.0
0.167;7.598;25.9;24.0
0.175;7.604;27.0;24.0
0.182;7.669;28.1;24.0
0.190;7.641;29.3;24.0
0.197;7.520;30.4;24.0
0.205;7.362;31.6;24.0
0.213;7.429;32.7;24.0
0.220;7.450;33.9;24.0
0.228;7.427;35.0;24.0
0.236;7.322;36.1;24.0
0.243;7.177;37.3;24.0
0.251;7.172;38.4;24.0
0.258;7.236;39.6;24.0
0.266;7.277;40.7;24.0
0.274;7.276;41.9;24.0
0.281;7.207;43.0;24.0
0.289;7.057;44.1;24.0
0.296;7.009;45.3;24.0
0.304;6.986;46.4;24.0
0.312;7.024;47.6;24.0
0.319;7.109;48.7;24.0
0.327;7.128;49.8;24.0
0.335;7.096;51.0;24.0
0.342;7.009;52.1;24.0
0.350;6.937;53.3;24.0
0.357;6.909;54.4;24.0
0.365;6.780;55.5;24.0
0.373;6.880;56.7;24.0
0.380;6.973;57.8;24.0
0.388;6.999;59.0;24.0
0.395;6.973;60.1;24.0
0.403;6.852;61.2;24.0
0.411;6.756;62.4;24.0
0.418;6.744;63.5;24.0
0.426;6.754;64.7;24.0
0.434;6.889;65.8;24.0
0.441;6.894;67.0;24.0
0.449;6.757;68.1;24.0
0.456;6.676;69.2;24.0
0.464;6.665;70.4;24.0
0.472;6.743;71.5;24.0
0.479;6.806;72.7;24.0
0.487;6.812;73.8;24.0
0.494;6.719;75.0;24.0
0.502;6.604;76.1;24.0
0.510;6.590;77.2;24.0
0.517;6.624;78.4;24.0
0.525;6.712;79.5;24.0
0.533;6.748;80.7;24.0
0.540;6.680;81.8;24.0
0.548;6.644;82.9;24.0
0.555;6.567;84.1;24.0
0.563;6.509;85.2;24.0
0.571;6.480;86.4;24.0
0.578;6.462;87.5;24.0
0.586;6.481;88.6;24.0
0.593;6.570;89.8;24.0
0.601;6.608;90.9;24.0
0.609;6.625;92.1;24.0
0.616;6.597;93.2;24.0
0.624;6.559;94.4;24.0
0.632;6.489;95.5;24.0
0.639;6.433;96.6;24.0
0.647;6.405;97.8;24.0
0.654;6.349;98.9;24.0
0.662;6.346;100.1;24.0
0.670;6.387;101.2;24.0
0.677;6.446;102.3;24.0
0.685;6.520;103.5;24.0
0.692;6.514;104.6;24.0
0.700;6.479;105.8;24.0
0.708;6.381;106.9;24.0
0.715;6.275;108.0;24.0
0.723;6.282;109.2;24.0
0.730;6.327;110.3;24.0
0.738;6.394;111.5;24.0
0.746;6.426;112.6;24.0
0.753;6.417;113.7;24.0
0.761;6.380;114.9;24.0
0.769;6.330;116.0;24.0
0.776;6.239;117.2;24.0
0.784;6.182;118.3;24.0
0.791;6.192;119.5;24.0
0.799;6.240;120.6;24.0
0.807;6.279;121.7;24.0
0.814;6.355;122.9;24.0
0.822;6.294;124.0;24.0
0.829;6.183;125.2;24.0
0.837;6.122;126.3;24.0
0.845;6.106;127.4;24.0
0.852;6.127;128.6;24.0
0.860;6.221;129.7;24.0
0.868;6.281;130.9;24.0
0.875;6.241;132.0;24.0
0.883;6.171;133.1;24.0
0.890;6.083;134.3;24.0
0.898;6.053;135.4;24.0
0.906;6.030;136.6;24.0
0.913;6.033;137.7;24.0
0.921;6.147;138.9;24.0
0.928;6.194;140.0;24.0
0.936;6.193;141.1;24.0
0.944;6.151;142.3;24.0
0.951;6.054;143.4;24.0
0.959;5.972;144.6;24.0
0.966;5.943;145.7;24.0
0.974;5.989;146.8;24.0
0.982;6.066;148.0;24.0
0.989;6.071;149.1;24.0
0.997;6.053;150.3;24.0
1.005;6.066;151.4;24.0
1.012;6.046;152.5;24.0
1.020;5.943;153.7;24.0
1.027;5.914;154.8;24.0
1.035;5.868;156.0;24.0
1.043;5.910;157.1;24.0
1.050;5.955;158.2;24.0
1.058;6.033;159.4;24.0
1.065;5.991;160.5;24.0
1.073;5.880;161.7;24.0
1.081;5.833;162.8;24.0
1.088;5.819;164.0;24.0
1.096;5.846;165.1;24.0
1.104;5.896;166.2;24.0
1.111;5.951;167.4;24.0
1.119;5.969;168.5;24.0
1.126;5.907;169.7;24.0
1.134;5.848;170.8;24.0
1.142;5.803;171.9;24.0
1.149;5.729;173.1;24.0
1.157;5.834;174.2;24.0
1.164;5.898;175.4;24.0
1.172;5.762;176.5;24.0
1.180;5.708;177.7;24.0
1.187;5.671;178.8;24.0
