ml;pH;sec;°C
0.000;8.107;0.0;22.2
0.000;8.121;0.4;22.2
0.000;8.135;0.8;22.2
0.007;8.225;1.9;22.2
0.015;8.265;3.0;22.2
0.022;8.293;4.2;22.2
0.030;8.269;5.3;22.2
0.038;8.238;6.5;22.2
0.045;8.148;7.6;22.2
0.053;8.080;8.7;22.2
0.060;8.074;9.9;22.2
0.068;8.123;11.0;22.2
0.076;8.205;12.2;22.2
0.083;8.184;13.3;22.2
0.091;8.115;14.5;22.2
0.098;8.011;15.6;22.2
0.106;7.969;16.7;22.2
0.114;7.935;17.9;22.2
0.121;7.975;19.0;22.2
0.129;7.988;20.2;22.2
0.136;8.014;21.3;22.2
0.144;7.962;22.4;22.2
0.152;7.886;23.6;22.2
0.159;7.786;24.7;22.2
0.167;7.727;25.9;22.2
0.175;7.726;27.0;22.2
0.182;7.790;28.1;22.2
0.190;7.796;29.3;22.2
0.197;7.776;30.4;22.2
0.205;7.703;31.6;22.2
0.213;7.572;32.7;22.2
0.220;7.486;33.9;22.2
0.228;7.470;35.0;22.2
0.235;7.470;36.1;22.2
0.243;7.516;37.3;22.2
0.251;7.456;38.4;22.2
0.258;7.361;39.6;22.2
0.266;7.239;40.7;22.2
0.274;7.220;41.8;22.2
0.281;7.231;43.0;22.2
0.289;7.288;44.1;22.2
0.296;7.249;45.3;22.2
0.304;7.177;46.4;22.2
0.312;7.110;47.5;22.2
0.319;7.044;48.7;22.2
0.327;7.018;49.8;22.2
0.334;7.038;51.0;22.2
0.342;7.074;52.1;22.2
0.350;7.112;53.2;22.2
0.357;7.099;54.4;22.2
0.365;7.042;55.5;22.2
0.372;6.984;56.7;22.2
0.380;6.897;57.8;22.2
0.388;6.873;59.0;22.2
0.395;6.896;60.1;22.2
0.403;6.932;61.2;22.2
0.411;6.949;62.4;22.2
0.418;6.957;63.5;22.2
0.426;6.915;64.7;22.2
0.433;6.824;65.8;22.2
0.441;6.796;66.9;22.2
0.449;6.770;68.1;22.2
0.456;6.771;69.2;22.2
0.464;6.791;70.4;22.2
0.471;6.832;71.5;22.2
0.479;6.823;72.6;22.2
0.487;6.764;73.8;22.2
0.494;6.722;74.9;22.2
0.502;6.696;76.1;22.2
0.509;6.680;77.2;22.2
0.517;6.672;78.3;22.2
0.525;6.695;79.5;22.2
0.532;6.714;80.6;22.2
0.540;6.722;81.8;22.2
0.548;6.712;82.9;22.2
0.555;6.668;84.0;22.2
0.563;6.592;85.2;22.2
0.570;6.581;86.3;22.2
0.578;6.578;87.5;22.2
0.586;6.619;88.6;22.2
0.593;6.622;89.8;22.2
0.601;6.605;90.9;22.2
0.608;6.566;92.0;22.2
0.616;6.534;93.2;22.2
0.624;6.495;94.3;22.2
0.631;6.498;95.5;22.2
0.639;6.512;96.6;22.2
0.646;6.542;97.7;22.2
0.654;6.545;98.9;22.2
0.662;6.512;100.0;22.2
0.669;6.440;101.2;22.2
0.677;6.435;102.3;22.2
0.685;6.473;103.4;22.2
0.692;6.491;104.6;22.2
0.700;6.473;105.7;22.2
0.707;6.396;106.9;22.2
0.715;6.366;108.0;22.2
0.723;6.397;109.2;22.2
0.730;6.423;110.3;22.2
0.738;6.425;111.4;22.2
0.746;6.413;112.6;22.2
0.753;6.370;113.7;22.2
0.761;6.331;114.9;22.2
0.768;6.294;116.0;22.2
0.776;6.279;117.1;22.2
0.784;6.335;118.3;22.2
0.791;6.353;119.4;22.2
0.799;6.336;120.6;22.2
0.806;6.288;121.7;22.2
0.814;6.246;122.8;22.2
0.822;6.235;124.0;22.2
0.829;6.239;125.1;22.2
0.837;6.262;126.3;22.2
0.844;6.274;127.4;22.2
0.852;6.260;128.6;22.2
0.860;6.218;129.7;22.2
0.867;6.188;130.8;22.2
0.875;6.170;132.0;22.2
0.883;6.165;133.1;22.2
0.890;6.188;134.3;22.2
0.898;6.205;135.4;22.2
0.905;6.210;136.5;22.2
