ml;pH;sec;°C
0.000;8.241;0.0;22.4
0.000;8.234;0.4;22.4
0.000;8.222;0.8;22.4
0.007;8.175;1.9;22.4
0.015;8.119;3.0;22.4
0.022;8.077;4.2;22.4
0.030;8.097;5.3;22.4
0.038;8.118;6.5;22.4
0.045;8.163;7.6;22.4
0.053;8.188;8.7;22.4
0.060;8.173;9.9;22.4
0.068;8.121;11.0;22.4
0.076;8.086;12.2;22.4
0.083;8.026;13.3;22.4
0.091;7.981;14.4;22.4
0.098;7.970;15.6;22.4
0.106;7.994;16.7;22.4
0.114;8.011;17.9;22.4
0.121;8.027;19.0;22.4
0.129;8.000;20.2;22.4
0.136;7.957;21.3;22.4
0.144;7.892;22.4;22.4
0.152;7.820;23.6;22.4
0.159;7.770;24.7;22.4
0.167;7.762;25.9;22.4
0.175;7.748;27.0;22.4
0.182;7.767;28.1;22.4
0.190;7.745;29.3;22.4
0.197;7.706;30.4;22.4
0.205;7.649;31.6;22.4
0.213;7.587;32.7;22.4
0.220;7.481;33.8;22.4
0.228;7.419;35.0;22.4
0.235;7.392;36.1;22.4
0.243;7.369;37.3;22.4
0.251;7.345;38.4;22.4
0.258;7.350;39.5;22.4
0.266;7.327;40.7;22.4
0.273;7.319;41.8;22.4
0.281;7.296;43.0;22.4
0.289;7.260;44.1;22.4
0.296;7.209;45.3;22.4
0.304;7.161;46.4;22.4
0.312;7.095;47.5;22.4
0.319;7.044;48.7;22.4
0.327;7.029;49.8;22.4
0.334;7.035;51.0;22.4
0.342;7.063;52.1;22.4
0.350;7.059;53.2;22.4
0.357;7.052;54.4;22.4
0.365;7.035;55.5;22.4
0.372;7.019;56.7;22.4
0.380;6.955;57.8;22.4
0.388;6.934;58.9;22.4
0.395;6.855;60.1;22.4
0.403;6.840;61.2;22.4
0.410;6.846;62.4;22.4
0.418;6.867;63.5;22.4
0.426;6.874;64.6;22.4
0.433;6.877;65.8;22.4
0.441;6.883;66.9;22.4
0.449;6.855;68.1;22.4
0.456;6.795;69.2;22.4
0.464;6.736;70.3;22.4
0.471;6.708;71.5;22.4
0.479;6.696;72.6;22.4
0.487;6.698;73.8;22.4
0.494;6.750;74.9;22.4
0.502;6.807;76.1;22.4
0.509;6.758;77.2;22.4
0.517;6.725;78.3;22.4
0.525;6.680;79.5;22.4
0.532;6.626;80.6;22.4
0.540;6.605;81.8;22.4
0.547;6.599;82.9;22.4
0.555;6.632;84.0;22.4
0.563;6.646;85.2;22.4
0.570;6.661;86.3;22.4
0.578;6.645;87.5;22.4
0.586;6.604;88.6;22.4
0.593;6.569;89.7;22.4
0.601;6.525;90.9;22.4
0.608;6.509;92.0;22.4
0.616;6.505;93.2;22.4
0.624;6.522;94.3;22.4
0.631;6.559;95.4;22.4
0.639;6.553;96.6;22.4
0.646;6.530;97.7;22.4
0.654;6.480;98.9;22.4
0.662;6.428;100.0;22.4
0.669;6.419;101.2;22.4
0.677;6.426;102.3;22.4
0.684;6.430;103.4;22.4
0.692;6.426;104.6;22.4
0.700;6.424;105.7;22.4
0.707;6.454;106.9;22.4
0.715;6.454;108.0;22.4
0.723;6.437;109.1;22.4
0.730;6.405;110.3;22.4
0.738;6.359;111.4;22.4
0.745;6.314;112.6;22.4
0.753;6.309;113.7;22.4
0.761;6.321;114.8;22.4
0.768;6.340;116.0;22.4
0.776;6.350;117.1;22.4
0.783;6.337;118.3;22.4
0.791;6.323;119.4;22.4
0.799;6.284;120.5;22.4
0.806;6.258;121.7;22.4
0.814;6.221;122.8;22.4
0.821;6.213;124.0;22.4
0.829;6.242;125.1;22.4
0.837;6.269;126.3;22.4
0.844;6.275;127.4;22.4
0.852;6.265;128.5;22.4
0.860;6.249;129.7;22.4
0.867;6.217;130.8;22.4
0.875;6.191;132.0;22.4
0.882;6.163;133.1;22.4
0.890;6.136;134.2;22.4
0.898;6.119;135.4;22.4
0.905;6.147;136.5;22.4
0.913;6.175;137.7;22.4
0.920;6.189;138.8;22.4
0.928;6.176;139.9;22.4
0.936;6.149;141.1;22.4
0.943;6.105;142.2;22.4
0.951;6.081;143.4;22.4
0.958;6.058;144.5;22.4
0.966;6.057;145.6;22.4
0.974;6.058;146.8;22.4
0.981;6.069;147.9;22.4
0.989;6.097;149.1;22.4
0.997;6.093;150.2;22.4
1.004;6.058;151.3;22.4
1.012;6.016;152.5;22.4
1.019;5.972;153.6;22.4
1.027;5.970;154.8;22.4
1.035;5.985;155.9;22.4
1.042;5.996;157.1;22.4
1.050;6.000;158.2;22.4
1.057;5.993;159.3;22.4
1.065;5.970;160.5;22.4
1.073;5.950;161.6;22.4
1.080;5.909;162.8;22.4
1.088;5.892;163.9;22.4
1.095;5.884;165.0;22.4
1.103;5.901;166.2;22.4
1.111;5.920;167.3;22.4
1.118;5.933;168.5;22.4
1.126;5.926;169.6;22.4
1.134;5.900;170.7;22.4
1.141;5.863;171.9;22.4
1.149;5.818;173.0;22.4
1.156;5.794;174.2;22.4
1.164;5.811;175.3;22.4
1.172;5.823;176.4;22.4
1.179;5.838;177.6;22.4
1.187;5.833;178.7;22.4
1.194;5.810;179.9;22.4
1.202;5.804;181.0;22.4
1.210;5.766;182.1;22.4
1.217;5.727;183.3;22.4
1.225;5.698;184.4;22.4
1.232;5.682;185.6;22.4
1.240;5.702;186.7;22.4
1.248;5.703;187.9;22.4
1.255;5.713;189.0;22.4
1.263;5.719;190.1;22.4
1.271;5.713;191.3;22.4
1.278;5.692;192.4;22.4
1.286;5.614;193.6;22.4
1.293;5.599;194.7;22.4
1.301;5.580;195.8;22.4
1.309;5.579;197.0;22.4
1.316;5.579;198.1;22.4
1.324;5.579;199.3;22.4
1.331;5.592;200.4;22.4
1.339;5.558;201.5;22.4
1.347;5.568;202.7;22.4
1.354;5.552;203.8;22.4
1.362;5.529;205.0;22.4
