ml;pH;sec;°C
0.000;8.227;0.0;22.4
0.000;8.239;0.4;22.4
0.000;8.266;0.8;22.4
0.007;8.261;1.9;22.4
0.015;8.238;3.0;22.4
0.022;8.207;4.2;22.4
0.030;8.182;5.3;22.4
0.038;8.114;6.5;22.4
0.045;8.084;7.6;22.4
0.053;8.072;8.7;22.4
0.060;8.083;9.9;22.4
0.068;8.104;11.0;22.4
0.076;8.108;12.2;22.4
0.083;8.129;13.3;22.4
0.091;8.108;14.4;22.4
0.098;8.102;15.6;22.4
0.106;8.058;16.7;22.4
0.114;7.960;17.9;22.4
0.121;7.904;19.0;22.4
0.129;7.882;20.2;22.4
0.136;7.904;21.3;22.4
0.144;7.939;22.4;22.4
0.152;7.927;23.6;22.4
0.159;7.863;24.7;22.4
0.167;7.799;25.9;22.4
0.175;7.751;27.0;22.4
0.182;7.705;28.1;22.4
0.190;7.643;29.3;22.4
0.197;7.589;30.4;22.4
0.205;7.558;31.6;22.4
0.213;7.569;32.7;22.4
0.220;7.557;33.8;22.4
0.228;7.547;35.0;22.4
0.235;7.518;36.1;22.4
0.243;7.473;37.3;22.4
0.251;7.386;38.4;22.4
0.258;7.277;39.6;22.4
0.266;7.229;40.7;22.4
0.274;7.231;41.8;22.4
0.281;7.236;43.0;22.4
0.289;7.232;44.1;22.4
0.296;7.230;45.3;22.4
0.304;7.210;46.4;22.4
0.312;7.165;47.5;22.4
0.319;7.065;48.7;22.4
0.327;7.024;49.8;22.4
0.334;7.012;51.0;22.4
0.342;7.060;52.1;22.4
0.350;7.090;53.2;22.4
0.357;7.055;54.4;22.4
0.365;7.011;55.5;22.4
0.372;6.933;56.7;22.4
0.380;6.907;57.8;22.4
0.388;6.878;59.0;22.4
0.395;6.871;60.1;22.4
0.403;6.901;61.2;22.4
0.411;6.913;62.4;22.4
0.418;6.914;63.5;22.4
0.426;6.910;64.7;22.4
0.433;6.888;65.8;22.4
0.441;6.821;66.9;22.4
0.449;6.756;68.1;22.4
0.456;6.750;69.2;22.4
0.464;6.756;70.4;22.4
0.471;6.813;71.5;22.4
