ml;pH;sec;°C
0.000;8.234;0.0;22.4
0.000;8.259;0.4;22.4
0.000;8.232;0.8;22.4
0.007;8.218;1.9;22.4
0.015;8.118;3.0;22.4
0.022;8.113;4.2;22.4
0.030;8.168;5.3;22.4
0.038;8.176;6.5;22.4
0.045;8.205;7.6;22.4
0.053;8.203;8.7;22.4
0.060;8.171;9.9;22.4
0.068;8.093;11.0;22.4
0.076;8.031;12.2;22.4
0.083;7.995;13.3;22.4
0.091;8.023;14.4;22.4
0.098;8.035;15.6;22.4
0.106;8.056;16.7;22.4
0.114;8.042;17.9;22.4
0.121;8.011;19.0;22.4
0.129;7.947;20.2;22.4
0.136;7.895;21.3;22.4
0.144;7.833;22.4;22.4
0.152;7.784;23.6;22.4
0.159;7.763;24.7;22.4
0.167;7.773;25.9;22.4
0.175;7.766;27.0;22.4
0.182;7.712;28.1;22.4
0.190;7.699;29.3;22.4
0.197;7.667;30.4;22.4
0.205;7.613;31.6;22.4
0.213;7.496;32.7;22.4
0.220;7.426;33.8;22.4
0.228;7.429;35.0;22.4
0.235;7.483;36.1;22.4
0.243;7.445;37.3;22.4
0.251;7.393;38.4;22.4
0.258;7.342;39.5;22.4
0.266;7.224;40.7;22.4
0.273;7.153;41.8;22.4
0.281;7.125;43.0;22.4
0.289;7.143;44.1;22.4
0.296;7.149;45.3;22.4
0.304;7.164;46.4;22.4
0.312;7.170;47.5;22.4
0.319;7.206;48.7;22.4
0.327;7.160;49.8;22.4
0.334;7.062;51.0;22.4
0.342;7.022;52.1;22.4
0.350;6.988;53.2;22.4
0.357;6.942;54.4;22.4
0.365;6.918;55.5;22.4
0.372;6.913;56.7;22.4
0.380;6.920;57.8;22.4
0.388;6.968;58.9;22.4
0.395;6.965;60.1;22.4
0.403;6.951;61.2;22.4
0.410;6.946;62.4;22.4
0.418;6.912;63.5;22.4
0.426;6.848;64.6;22.4
0.433;6.807;65.8;22.4
0.441;6.763;66.9;22.4
0.449;6.764;68.1;22.4
0.456;6.760;69.2;22.4
0.464;6.763;70.3;22.4
0.471;6.777;71.5;22.4
0.479;6.788;72.6;22.4
0.487;6.793;73.8;22.4
0.494;6.792;74.9;22.4
0.502;6.768;76.1;22.4
0.509;6.737;77.2;22.4
0.517;6.709;78.3;22.4
0.525;6.664;79.5;22.4
0.532;6.601;80.6;22.4
0.540;6.586;81.8;22.4
0.547;6.572;82.9;22.4
0.555;6.613;84.0;22.4
0.563;6.633;85.2;22.4
0.570;6.634;86.3;22.4
0.578;6.626;87.5;22.4
0.586;6.626;88.6;22.4
0.593;6.631;89.7;22.4
0.601;6.594;90.9;22.4
0.608;6.570;92.0;22.4
0.616;6.520;93.2;22.4
0.624;6.489;94.3;22.4
0.631;6.477;95.4;22.4
0.639;6.454;96.6;22.4
0.646;6.439;97.7;22.4
0.654;6.431;98.9;22.4
0.662;6.444;100.0;22.4
0.669;6.460;101.1;22.4
0.677;6.466;102.3;22.4
0.684;6.484;103.4;22.4
0.692;6.471;104.6;22.4
0.700;6.472;105.7;22.4
0.707;6.429;106.9;22.4
0.715;6.399;108.0;22.4
0.722;6.358;109.1;22.4
0.730;6.337;110.3;22.4
0.738;6.290;111.4;22.4
