ml;pH;sec;°C
0.000;8.169;0.0;22.4
0.000;8.176;0.4;22.4
0.000;8.179;0.8;22.4
0.007;8.207;1.9;22.4
0.014;8.220;3.0;22.4
0.022;8.189;4.2;22.4
0.030;8.151;5.3;22.4
0.037;8.119;6.5;22.4
0.045;8.076;7.6;22.4
0.053;8.018;8.7;22.4
0.060;8.012;9.9;22.4
0.068;8.003;11.0;22.4
0.075;8.011;12.2;22.4
0.083;8.012;13.3;22.4
0.091;8.039;14.4;22.4
0.098;8.067;15.6;22.4
0.106;8.054;16.7;22.4
0.113;8.020;17.9;22.4
0.121;7.967;19.0;22.4
0.129;7.905;20.2;22.4
0.136;7.855;21.3;22.4
0.144;7.785;22.4;22.4
0.151;7.742;23.6;22.4
0.159;7.709;24.7;22.4
0.167;7.699;25.9;22.4
0.174;7.725;27.0;22.4
0.182;7.714;28.1;22.4
0.190;7.700;29.3;22.4
0.197;7.669;30.4;22.4
0.205;7.616;31.6;22.4
0.212;7.550;32.7;22.4
0.220;7.477;33.8;22.4
0.228;7.400;35.0;22.4
0.235;7.314;36.1;22.4
0.243;7.285;37.3;22.4
0.250;7.268;38.4;22.4
0.258;7.254;39.5;22.4
0.266;7.270;40.7;22.4
0.273;7.292;41.8;22.4
0.281;7.280;43.0;22.4
0.288;7.252;44.1;22.4
0.296;7.222;45.2;22.4
0.304;7.132;46.4;22.4
0.311;7.055;47.5;22.4
0.319;7.028;48.7;22.4
0.327;6.997;49.8;22.4
0.334;6.996;51.0;22.4
0.342;6.996;52.1;22.4
0.349;7.011;53.2;22.4
0.357;7.007;54.4;22.4
0.365;7.016;55.5;22.4
0.372;7.014;56.7;22.4
0.380;6.997;57.8;22.4
0.387;6.951;58.9;22.4
0.395;6.909;60.1;22.4
0.403;6.845;61.2;22.4
0.410;6.821;62.4;22.4
0.418;6.796;63.5;22.4
0.425;6.805;64.6;22.4
0.433;6.806;65.8;22.4
0.441;6.828;66.9;22.4
0.448;6.855;68.1;22.4
0.456;6.858;69.2;22.4
0.463;6.832;70.3;22.4
0.471;6.776;71.5;22.4
0.479;6.727;72.6;22.4
0.486;6.690;73.8;22.4
0.494;6.663;74.9;22.4
0.502;6.657;76.0;22.4
0.509;6.695;77.2;22.4
0.517;6.745;78.3;22.4
0.524;6.733;79.5;22.4
0.532;6.704;80.6;22.4
0.540;6.635;81.7;22.4
0.547;6.604;82.9;22.4
0.555;6.561;84.0;22.4
0.562;6.566;85.2;22.4
0.570;6.581;86.3;22.4
0.578;6.621;87.5;22.4
0.585;6.647;88.6;22.4
0.593;6.624;89.7;22.4
0.600;6.580;90.9;22.4
0.608;6.531;92.0;22.4
0.616;6.478;93.2;22.4
0.623;6.461;94.3;22.4
0.631;6.458;95.4;22.4
0.639;6.463;96.6;22.4
0.646;6.498;97.7;22.4
0.654;6.532;98.9;22.4
0.661;6.530;100.0;22.4
0.669;6.499;101.1;22.4
0.677;6.459;102.3;22.4
0.684;6.423;103.4;22.4
0.692;6.379;104.6;22.4
0.699;6.357;105.7;22.4
0.707;6.366;106.8;22.4
0.715;6.384;108.0;22.4
0.722;6.409;109.1;22.4
0.730;6.418;110.3;22.4
0.737;6.428;111.4;22.4
0.745;6.401;112.5;22.4
0.753;6.364;113.7;22.4
0.760;6.329;114.8;22.4
0.768;6.299;116.0;22.4
0.776;6.260;117.1;22.4
0.783;6.246;118.2;22.4
0.791;6.268;119.4;22.4
0.798;6.299;120.5;22.4
0.806;6.309;121.7;22.4
0.814;6.314;122.8;22.4
0.821;6.303;124.0;22.4
0.829;6.270;125.1;22.4
0.836;6.211;126.2;22.4
0.844;6.178;127.4;22.4
0.852;6.160;128.5;22.4
0.859;6.163;129.7;22.4
0.867;6.184;130.8;22.4
0.874;6.217;131.9;22.4
0.882;6.223;133.1;22.4
0.890;6.217;134.2;22.4
0.897;6.211;135.4;22.4
0.905;6.185;136.5;22.4
0.912;6.151;137.6;22.4
0.920;6.116;138.8;22.4
0.928;6.073;139.9;22.4
0.935;6.070;141.1;22.4
0.943;6.063;142.2;22.4
0.951;6.072;143.3;22.4
0.958;6.072;144.5;22.4
0.966;6.080;145.6;22.4
0.973;6.075;146.8;22.4
0.981;6.093;147.9;22.4
0.989;6.090;149.0;22.4
0.996;6.065;150.2;22.4
1.004;6.018;151.3;22.4
1.011;6.003;152.5;22.4
1.019;6.007;153.6;22.4
1.027;5.966;154.7;22.4
1.034;5.943;155.9;22.4
1.042;5.941;157.0;22.4
1.049;5.981;158.2;22.4
1.057;5.987;159.3;22.4
1.065;5.984;160.5;22.4
1.072;5.980;161.6;22.4
1.080;5.988;162.7;22.4
1.088;5.948;163.9;22.4
1.095;5.898;165.0;22.4
1.103;5.851;166.2;22.4
1.110;5.844;167.3;22.4
1.118;5.840;168.4;22.4
1.126;5.839;169.6;22.4
1.133;5.833;170.7;22.4
1.141;5.860;171.9;22.4
1.148;5.864;173.0;22.4
1.156;5.871;174.1;22.4
1.164;5.843;175.3;22.4
1.171;5.820;176.4;22.4
1.179;5.804;177.6;22.4
1.186;5.760;178.7;22.4
1.194;5.736;179.8;22.4
1.202;5.722;181.0;22.4
1.209;5.739;182.1;22.4
1.217;5.760;183.3;22.4
1.224;5.774;184.4;22.4
1.232;5.763;185.5;22.4
1.240;5.719;186.7;22.4
1.247;5.705;187.8;22.4
1.255;5.661;189.0;22.4
1.263;5.637;190.1;22.4
1.270;5.616;191.2;22.4
1.278;5.634;192.4;22.4
1.285;5.670;193.5;22.4
1.293;5.675;194.7;22.4
1.301;5.663;195.8;22.4
1.308;5.638;196.9;22.4
1.316;5.603;198.1;22.4
1.323;5.555;199.2;22.4
1.331;5.529;200.4;22.4
1.339;5.510;201.5;22.4
1.346;5.508;202.7;22.4
1.354;5.493;203.8;22.4
1.361;5.533;204.9;22.4
1.369;5.537;206.1;22.4
1.377;5.515;207.2;22.4
1.384;5.477;208.4;22.4
1.392;5.444;209.5;22.4
1.400;5.406;210.6;22.4
1.407;5.373;211.8;22.4
1.415;5.354;212.9;22.4
1.422;5.367;214.1;22.4
1.430;5.375;215.2;22.4
1.438;5.400;216.3;22.4
1.445;5.377;217.5;22.4
1.453;5.329;218.6;22.4
1.460;5.312;219.8;22.4
1.468;5.275;220.9;22.4
1.476;5.223;222.0;22.4
1.483;5.188;223.2;22.4
1.491;5.179;224.3;22.4
1.498;5.194;225.5;22.4
1.506;5.180;226.6;22.4
1.514;5.181;227.7;22.4
1.521;5.185;228.9;22.4
1.529;5.179;230.0;22.4
1.536;5.129;231.2;22.4
1.544;5.101;232.3;22.4
1.552;5.019;233.4;22.4
1.559;4.959;234.6;22.4
1.563;4.984;235.2;22.4
1.565;4.967;235.5;22.4
1.567;4.966;235.9;22.4
1.567;4.966;235.9;22.4
1.569;4.961;236.3;22.4
1.571;4.965;236.7;22.4
1.572;4.960;237.1;22.4
1.572;4.960;237.1;22.4
1.574;4.967;237.4;22.4
1.576;4.967;237.8;22.4
1.578;4.960;238.2;22.4
1.578;4.960;238.2;22.4
1.580;4.946;238.6;22.4
1.582;4.940;239.0;22.4
1.592;4.618;260.6;22.8
1.602;4.553;272.2;22.8
1.612;4.526;283.8;22.8
1.622;4.561;295.4;22.8
1.632;4.485;307.0;22.8
1.642;4.279;318.6;22.8
1.652;4.279;330.2;22.8
1.662;4.288;341.8;22.8
1.672;4.145;353.4;22.9
1.682;4.050;365.0;22.9
1.692;4.104;376.6;22.8
1.702;3.922;388.2;22.8
1.712;3.880;399.7;22.9
1.722;3.927;411.3;22.9
1.732;3.878;422.9;22.9
1.742;3.869;434.5;22.8
1.752;3.771;446.1;22.8
1.762;3.633;457.7;22.9
1.772;3.767;469.3;22.8
1.782;3.674;480.9;22.8
1.792;3.541;492.5;22.9
1.802;3.640;504.1;22.9
1.812;3.486;515.7;22.9
1.812;3.659;515.9;22.9
1.822;3.569;527.5;22.8
1.832;3.443;539.1;22.9
1.832;3.610;539.3;22.9
1.842;3.423;550.8;22.9
1.842;3.578;551.0;22.9
1.852;3.442;562.6;22.9
1.852;3.535;562.8;22.9
1.862;3.520;574.4;22.9
1.872;3.445;586.0;22.9
1.872;3.501;588.1;22.9
1.882;3.484;599.7;22.9
1.882;3.500;605.6;22.9
1.892;3.463;617.2;22.9
1.892;3.471;627.3;22.9
