ml;pH;sec;°C
0.000;8.166;0.0;22.9
0.000;8.162;0.4;22.9
0.000;8.154;0.8;22.9
0.007;8.098;1.9;22.9
0.015;8.068;3.0;22.9
0.022;8.126;4.2;22.9
0.030;8.173;5.3;22.9
0.038;8.206;6.5;22.9
0.045;8.192;7.6;22.9
0.053;8.053;8.8;22.9
0.060;8.024;9.9;22.9
0.068;8.015;11.0;22.9
0.076;7.997;12.2;22.9
0.083;8.086;13.3;22.9
0.091;8.152;14.5;22.9
0.098;8.105;15.6;22.9
0.106;8.115;16.7;22.9
0.114;7.985;17.9;22.9
0.121;7.923;19.0;22.9
0.129;7.852;20.2;22.9
0.137;7.785;21.3;22.9
0.144;7.814;22.4;22.9
0.152;7.839;23.6;22.9
0.159;7.852;24.7;22.9
0.167;7.828;25.9;22.9
0.175;7.783;27.0;22.9
0.182;7.719;28.1;22.9
0.190;7.645;29.3;22.9
0.197;7.552;30.4;22.9
0.205;7.495;31.6;22.9
0.213;7.445;32.7;22.9
0.220;7.449;33.9;22.9
0.228;7.481;35.0;22.9
0.235;7.485;36.1;22.9
0.243;7.448;37.3;22.9
0.251;7.364;38.4;22.9
0.258;7.268;39.6;22.9
0.266;7.219;40.7;22.9
0.274;7.171;41.8;22.9
0.281;7.115;43.0;22.9
0.289;7.132;44.1;22.9
0.296;7.201;45.3;22.9
0.304;7.200;46.4;22.9
0.312;7.145;47.5;22.9
0.319;7.080;48.7;22.9
0.327;7.029;49.8;22.9
0.334;6.969;51.0;22.9
0.342;6.942;52.1;22.9
0.350;6.954;53.2;22.9
0.357;6.977;54.4;22.9
0.365;7.023;55.5;22.9
0.373;7.018;56.7;22.9
0.380;7.010;57.8;22.9
0.388;6.975;59.0;22.9
0.395;6.926;60.1;22.9
0.403;6.855;61.2;22.9
0.411;6.832;62.4;22.9
0.418;6.785;63.5;22.9
0.426;6.774;64.7;22.9
0.433;6.790;65.8;22.9
0.441;6.826;66.9;22.9
0.449;6.870;68.1;22.9
0.456;6.863;69.2;22.9
0.464;6.832;70.4;22.9
0.471;6.762;71.5;22.9
0.479;6.728;72.6;22.9
0.487;6.691;73.8;22.9
0.494;6.641;74.9;22.9
0.502;6.635;76.1;22.9
0.510;6.653;77.2;22.9
0.517;6.665;78.3;22.9
0.525;6.666;79.5;22.9
0.532;6.711;80.6;22.9
0.540;6.742;81.8;22.9
0.548;6.700;82.9;22.9
0.555;6.687;84.1;22.9
0.563;6.645;85.2;22.9
0.570;6.604;86.3;22.9
0.578;6.565;87.5;22.9
0.586;6.495;88.6;22.9
0.593;6.497;89.8;22.9
0.601;6.496;90.9;22.9
0.608;6.541;92.0;22.9
0.616;6.611;93.2;22.9
0.624;6.605;94.3;22.9
0.631;6.571;95.5;22.9
0.639;6.554;96.6;22.9
0.647;6.486;97.7;22.9
0.654;6.419;98.9;22.9
0.662;6.376;100.0;22.9
0.669;6.371;101.2;22.9
0.677;6.377;102.3;22.9
0.685;6.384;103.4;22.9
0.692;6.477;104.6;22.9
0.700;6.478;105.7;22.9
0.707;6.471;106.9;22.9
0.715;6.401;108.0;22.9
0.723;6.341;109.2;22.9
0.730;6.293;110.3;22.9
0.738;6.287;111.4;22.9
0.745;6.328;112.6;22.9
0.753;6.316;113.7;22.9
0.761;6.322;114.9;22.9
0.768;6.369;116.0;22.9
0.776;6.381;117.1;22.9
0.784;6.339;118.3;22.9
0.791;6.296;119.4;22.9
0.799;6.219;120.6;22.9
0.806;6.196;121.7;22.9
0.814;6.185;122.8;22.9
0.822;6.198;124.0;22.9
0.829;6.237;125.1;22.9
0.837;6.258;126.3;22.9
0.844;6.288;127.4;22.9
0.852;6.275;128.6;22.9
0.860;6.251;129.7;22.9
0.867;6.155;130.8;22.9
0.875;6.123;132.0;22.9
0.883;6.107;133.1;22.9
0.890;6.200;134.3;22.9
0.898;6.234;135.4;22.9
0.905;6.215;136.5;22.9
0.913;6.145;137.7;22.9
0.921;6.052;138.8;22.9
0.928;6.048;140.0;22.9
0.936;6.105;141.1;22.9
0.943;6.133;142.2;22.9
0.951;6.158;143.4;22.9
0.959;6.057;144.5;22.9
0.966;6.021;145.7;22.9
0.974;5.992;146.8;22.9
0.982;6.021;148.0;22.9
0.989;6.061;149.1;22.9
0.997;6.087;150.2;22.9
1.004;6.029;151.4;22.9
1.012;5.964;152.5;22.9
1.020;5.921;153.7;22.9
1.027;5.941;154.8;22.9
1.035;5.958;155.9;22.9
1.042;6.008;157.1;22.9
1.050;6.038;158.2;22.9
1.058;6.017;159.4;22.9
1.065;5.969;160.5;22.9
1.073;5.873;161.7;22.9
1.081;5.832;162.8;22.9
1.088;5.849;163.9;22.9
1.096;5.927;165.1;22.9
1.103;5.965;166.2;22.9
1.111;5.960;167.4;22.9
1.119;5.942;168.5;22.9
1.126;5.873;169.6;22.9
1.134;5.776;170.8;22.9
1.141;5.775;171.9;22.9
1.149;5.764;173.1;22.9
1.157;6.035;174.2;22.9
1.164;5.895;175.3;22.9
1.172;5.834;176.5;22.9
1.180;5.781;177.6;22.9
1.187;5.709;178.8;22.9
1.195;5.694;179.9;22.9
1.202;5.759;181.1;22.9
1.210;5.892;182.2;22.9
1.218;5.836;183.3;22.9
1.225;5.793;184.5;22.9
1.233;5.737;185.6;22.9
1.240;5.658;186.8;22.9
1.248;5.623;187.9;22.9
1.256;5.604;189.0;22.9
1.263;5.667;190.2;22.9
1.271;5.729;191.3;22.9
1.278;5.725;192.5;22.9
1.286;5.672;193.6;22.9
1.294;5.574;194.7;22.9
1.301;5.548;195.9;22.9
1.309;5.531;197.0;22.9
1.317;5.555;198.2;22.9
1.324;5.640;199.3;22.9
1.332;5.636;200.5;22.9
1.339;5.598;201.6;22.9
1.347;5.497;202.7;22.9
1.355;5.466;203.9;22.9
1.362;5.434;205.0;22.9
1.370;5.504;206.2;22.9
1.377;5.546;207.3;22.9
1.385;5.523;208.4;22.9
1.393;5.435;209.6;22.9
1.400;5.354;210.7;22.9
1.408;5.322;211.9;22.9
1.416;5.350;213.0;22.9
1.423;5.372;214.1;22.9
1.431;5.383;215.3;22.9
1.438;5.411;216.4;22.9
1.446;5.362;217.6;22.9
1.454;5.286;218.7;22.9
1.461;5.207;219.9;22.9
1.469;5.179;221.0;22.9
1.476;5.165;222.1;22.9
1.484;5.206;223.3;22.9
1.492;5.234;224.4;22.9
1.499;5.252;225.6;22.9
1.507;5.152;226.7;22.9
1.515;5.103;227.8;22.9
1.522;5.045;229.0;22.9
1.530;4.988;230.1;22.9
1.537;4.973;231.3;22.9
1.546;4.988;232.6;22.9
1.546;4.988;232.6;22.9
1.548;4.977;233.0;22.9
1.551;4.972;233.5;22.9
1.553;4.977;233.9;22.9
1.553;4.977;233.9;22.9
1.555;4.980;234.3;22.9
1.557;4.990;234.7;22.9
1.559;4.983;235.1;22.9
1.559;4.983;235.1;22.9
1.561;4.982;235.4;22.9
1.563;4.975;235.8;22.9
1.565;4.955;236.2;22.9
1.565;4.955;236.2;22.9
1.567;4.949;236.6;22.9
1.569;4.926;237.0;22.9
1.579;4.787;258.6;23.3
1.589;4.560;270.2;23.3
1.599;4.657;281.8;23.3
1.609;4.541;293.4;23.3
1.619;4.505;305.0;23.3
1.629;4.298;316.6;23.3
1.639;4.366;328.2;23.3
1.649;4.206;339.8;23.3
1.659;4.215;351.4;23.3
1.669;4.090;363.0;23.2
1.679;4.137;374.6;23.3
1.689;4.062;386.2;23.3
1.699;3.887;397.8;23.3
1.709;3.937;409.4;23.2
1.719;3.804;421.0;23.3
1.729;3.773;432.6;23.3
1.739;3.857;444.2;23.3
1.749;3.660;455.8;23.3
1.759;3.777;467.4;23.3
1.769;3.632;479.0;23.3
1.779;3.647;490.6;23.2
1.789;3.536;502.2;23.3
1.799;3.640;513.8;23.2
1.809;3.624;525.4;23.3
1.819;3.455;537.0;23.3
1.819;3.632;537.2;23.3
1.829;3.440;548.8;23.3
1.829;3.590;549.0;23.3
1.839;3.412;560.5;23.3
1.839;3.583;560.7;23.3
1.849;3.552;572.3;23.2
1.859;3.378;583.9;23.3
1.859;3.540;584.1;23.3
1.869;3.348;595.7;23.3
1.869;3.511;595.9;23.3
1.879;3.452;607.5;23.2
1.879;3.498;610.0;23.2
1.889;3.474;621.6;23.2
1.889;3.466;631.7;23.2
