ml;pH;sec;°C
0.000;8.117;0.0;22.5
0.000;8.098;0.4;22.5
0.000;8.092;0.8;22.5
0.007;8.064;1.9;22.5
0.015;8.102;3.0;22.5
0.022;8.123;4.2;22.5
0.030;8.198;5.3;22.5
0.038;8.199;6.5;22.5
0.045;8.164;7.6;22.5
0.053;8.087;8.8;22.5
0.060;8.034;9.9;22.5
0.068;7.997;11.0;22.5
0.076;7.989;12.2;22.5
0.083;7.997;13.3;22.5
0.091;8.036;14.5;22.5
0.098;8.039;15.6;22.5
0.106;8.036;16.7;22.5
0.114;7.991;17.9;22.5
0.121;7.941;19.0;22.5
0.129;7.874;20.2;22.5
0.137;7.827;21.3;22.5
0.144;7.778;22.4;22.5
0.152;7.735;23.6;22.5
0.159;7.699;24.7;22.5
0.167;7.683;25.9;22.5
0.175;7.670;27.0;22.5
0.182;7.691;28.1;22.5
0.190;7.672;29.3;22.5
0.197;7.640;30.4;22.5
0.205;7.591;31.6;22.5
0.213;7.546;32.7;22.5
0.220;7.397;33.9;22.5
0.228;7.342;35.0;22.5
0.235;7.304;36.1;22.5
0.243;7.281;37.3;22.5
0.251;7.281;38.4;22.5
0.258;7.287;39.6;22.5
0.266;7.326;40.7;22.5
0.274;7.275;41.8;22.5
0.281;7.217;43.0;22.5
0.289;7.107;44.1;22.5
0.296;7.082;45.3;22.5
0.304;7.089;46.4;22.5
0.312;7.087;47.5;22.5
0.319;7.117;48.7;22.5
0.327;7.109;49.8;22.5
0.334;7.100;51.0;22.5
0.342;7.070;52.1;22.5
0.350;7.019;53.3;22.5
0.357;6.935;54.4;22.5
0.365;6.900;55.5;22.5
0.373;6.891;56.7;22.5
0.380;6.924;57.8;22.5
0.388;6.941;59.0;22.5
0.395;6.935;60.1;22.5
0.403;6.951;61.2;22.5
0.411;6.936;62.4;22.5
0.418;6.913;63.5;22.5
0.426;6.865;64.7;22.5
0.433;6.835;65.8;22.5
0.441;6.791;66.9;22.5
0.449;6.748;68.1;22.5
0.456;6.727;69.2;22.5
0.464;6.707;70.4;22.5
0.471;6.724;71.5;22.5
0.479;6.749;72.6;22.5
0.487;6.796;73.8;22.5
0.494;6.782;74.9;22.5
0.502;6.733;76.1;22.5
0.510;6.650;77.2;22.5
0.517;6.620;78.4;22.5
0.525;6.626;79.5;22.5
0.532;6.646;80.6;22.5
0.540;6.676;81.8;22.5
0.548;6.666;82.9;22.5
0.555;6.677;84.1;22.5
0.563;6.665;85.2;22.5
0.570;6.628;86.3;22.5
0.578;6.550;87.5;22.5
0.586;6.513;88.6;22.5
0.593;6.550;89.8;22.5
0.601;6.580;90.9;22.5
0.609;6.590;92.0;22.5
0.616;6.545;93.2;22.5
0.624;6.494;94.3;22.5
0.631;6.453;95.5;22.5
0.639;6.443;96.6;22.5
0.647;6.427;97.8;22.5
0.654;6.412;98.9;22.5
0.662;6.405;100.0;22.5
0.669;6.439;101.2;22.5
0.677;6.458;102.3;22.5
0.685;6.472;103.5;22.5
0.692;6.464;104.6;22.5
0.700;6.392;105.7;22.5
0.708;6.364;106.9;22.5
0.715;6.349;108.0;22.5
0.723;6.355;109.2;22.5
0.730;6.384;110.3;22.5
0.738;6.396;111.5;22.5
0.746;6.410;112.6;22.5
0.753;6.370;113.7;22.5
0.761;6.319;114.9;22.5
0.768;6.285;116.0;22.5
0.776;6.258;117.2;22.5
0.784;6.281;118.3;22.5
0.791;6.288;119.4;22.5
0.799;6.308;120.6;22.5
0.807;6.327;121.7;22.5
0.814;6.311;122.9;22.5
0.822;6.234;124.0;22.5
0.829;6.194;125.2;22.5
0.837;6.186;126.3;22.5
0.845;6.195;127.4;22.5
0.852;6.212;128.6;22.5
0.860;6.211;129.7;22.5
0.867;6.236;130.9;22.5
0.875;6.237;132.0;22.5
0.883;6.223;133.1;22.5
0.890;6.176;134.3;22.5
0.898;6.164;135.4;22.5
0.906;6.132;136.6;22.5
0.913;6.101;137.7;22.5
0.921;6.105;138.8;22.5
0.928;6.105;140.0;22.5
0.936;6.137;141.1;22.5
0.944;6.136;142.3;22.5
0.951;6.138;143.4;22.5
0.959;6.120;144.5;22.5
0.966;6.101;145.7;22.5
0.974;6.052;146.8;22.5
0.982;6.005;148.0;22.5
0.989;6.019;149.1;22.5
0.997;6.033;150.3;22.5
1.004;6.037;151.4;22.5
1.012;6.051;152.5;22.5
1.020;6.035;153.7;22.5
1.027;6.024;154.8;22.5
1.035;5.984;156.0;22.5
1.043;5.951;157.1;22.5
1.050;5.932;158.2;22.5
1.058;5.943;159.4;22.5
1.065;5.991;160.5;22.5
1.073;5.990;161.7;22.5
1.081;5.957;162.8;22.5
1.088;5.943;163.9;22.5
1.096;5.899;165.1;22.5
1.103;5.869;166.2;22.5
1.111;5.855;167.4;22.5
1.119;5.850;168.5;22.5
1.126;5.877;169.7;22.5
1.134;5.896;170.8;22.5
1.142;5.899;171.9;22.5
1.149;5.837;173.1;22.5
1.157;5.799;174.2;22.5
1.164;5.773;175.4;22.5
1.172;5.783;176.5;22.5
1.180;5.815;177.7;22.5
1.187;5.811;178.8;22.5
1.195;5.798;179.9;22.5
1.202;5.812;181.1;22.5
1.210;5.794;182.2;22.5
1.218;5.749;183.4;22.5
1.225;5.700;184.5;22.5
1.233;5.685;185.6;22.5
1.241;5.695;186.8;22.5
1.248;5.735;187.9;22.5
1.256;5.727;189.1;22.5
1.263;5.693;190.2;22.5
1.271;5.658;191.3;22.5
1.279;5.618;192.5;22.5
1.286;5.619;193.6;22.5
1.294;5.623;194.8;22.5
1.301;5.634;195.9;22.5
1.309;5.644;197.1;22.5
1.317;5.635;198.2;22.5
1.324;5.596;199.3;22.5
1.332;5.558;200.5;22.5
1.340;5.526;201.6;22.5
1.347;5.501;202.8;22.5
1.355;5.488;203.9;22.5
1.362;5.507;205.0;22.5
1.370;5.517;206.2;22.5
1.378;5.514;207.3;22.5
1.385;5.494;208.5;22.5
1.393;5.485;209.6;22.5
1.400;5.431;210.7;22.5
1.408;5.407;211.9;22.5
1.416;5.346;213.0;22.5
1.423;5.324;214.2;22.5
1.431;5.344;215.3;22.5
1.439;5.344;216.5;22.5
1.446;5.334;217.6;22.5
1.454;5.338;218.7;22.5
1.461;5.308;219.9;22.5
1.469;5.279;221.0;22.5
1.477;5.238;222.2;22.5
1.484;5.200;223.3;22.5
1.492;5.175;224.4;22.5
1.499;5.145;225.6;22.5
1.507;5.202;226.7;22.5
1.515;5.220;227.9;22.5
1.522;5.131;229.0;22.5
1.530;5.037;230.2;22.5
1.538;5.006;231.3;22.5
1.545;4.969;232.4;22.5
1.553;4.997;233.6;22.5
1.558;5.004;234.3;22.5
1.560;5.023;234.7;22.5
