ml;pH;sec;°C
0.000;8.192;0.0;22.8
0.000;8.192;0.4;22.8
0.000;8.146;0.8;22.8
0.007;8.156;1.9;22.8
0.015;8.083;3.0;22.8
0.022;8.073;4.2;22.8
0.030;8.077;5.3;22.8
0.038;8.116;6.5;22.8
0.045;8.123;7.6;22.8
0.053;8.188;8.8;22.8
0.060;8.191;9.9;22.8
0.068;8.163;11.0;22.8
0.076;8.128;12.2;22.8
0.083;8.015;13.3;22.8
0.091;7.974;14.5;22.8
0.098;7.924;15.6;22.8
0.106;7.895;16.7;22.8
0.114;7.870;17.9;22.8
0.121;7.878;19.0;22.8
0.129;7.852;20.2;22.8
0.137;7.839;21.3;22.8
0.144;7.871;22.4;22.8
0.152;7.852;23.6;22.8
0.159;7.845;24.7;22.8
0.167;7.828;25.9;22.8
0.175;7.810;27.0;22.8
0.182;7.739;28.1;22.8
0.190;7.654;29.3;22.8
0.197;7.620;30.4;22.8
0.205;7.504;31.6;22.8
0.213;7.420;32.7;22.8
0.220;7.398;33.9;22.8
0.228;7.355;35.0;22.8
0.235;7.317;36.1;22.8
0.243;7.343;37.3;22.8
0.251;7.387;38.4;22.8
0.258;7.348;39.6;22.8
0.266;7.343;40.7;22.8
0.274;7.299;41.8;22.8
0.281;7.240;43.0;22.8
0.289;7.190;44.1;22.8
0.296;7.132;45.3;22.8
0.304;7.046;46.4;22.8
0.312;7.015;47.5;22.8
0.319;6.978;48.7;22.8
0.327;6.970;49.8;22.8
0.334;7.006;51.0;22.8
0.342;7.034;52.1;22.8
0.350;7.075;53.2;22.8
0.357;7.077;54.4;22.8
0.365;7.060;55.5;22.8
0.372;7.016;56.7;22.8
0.380;6.933;57.8;22.8
0.388;6.890;59.0;22.8
0.395;6.824;60.1;22.8
0.403;6.865;61.2;22.8
0.411;6.777;62.4;22.8
0.418;6.778;63.5;22.8
0.426;6.868;64.7;22.8
0.433;6.878;65.8;22.8
0.441;6.874;66.9;22.8
0.449;6.870;68.1;22.8
0.456;6.871;69.2;22.8
0.464;6.822;70.4;22.8
0.471;6.811;71.5;22.8
0.479;6.736;72.6;22.8
0.487;6.661;73.8;22.8
0.494;6.647;74.9;22.8
0.502;6.627;76.1;22.8
0.510;6.614;77.2;22.8
0.517;6.611;78.4;22.8
0.525;6.636;79.5;22.8
0.532;6.646;80.6;22.8
0.540;6.676;81.8;22.8
0.548;6.701;82.9;22.8
0.555;6.682;84.1;22.8
0.563;6.645;85.2;22.8
0.570;6.595;86.3;22.8
0.578;6.504;87.5;22.8
0.586;6.511;88.6;22.8
0.593;6.546;89.8;22.8
0.601;6.574;90.9;22.8
0.609;6.561;92.0;22.8
0.616;6.598;93.2;22.8
0.624;6.601;94.3;22.8
0.631;6.575;95.5;22.8
0.639;6.537;96.6;22.8
0.647;6.460;97.8;22.8
0.654;6.407;98.9;22.8
0.662;6.366;100.0;22.8
0.669;6.373;101.2;22.8
0.677;6.366;102.3;22.8
0.685;6.375;103.5;22.8
0.692;6.400;104.6;22.8
0.700;6.462;105.7;22.8
0.707;6.476;106.9;22.8
0.715;6.462;108.0;22.8
0.723;6.459;109.2;22.8
0.730;6.423;110.3;22.8
0.738;6.350;111.4;22.8
0.746;6.294;112.6;22.8
0.753;6.251;113.7;22.8
0.761;6.243;114.9;22.8
0.768;6.306;116.0;22.8
0.776;6.361;117.2;22.8
0.784;6.366;118.3;22.8
0.791;6.365;119.4;22.8
0.799;6.296;120.6;22.8
0.806;6.237;121.7;22.8
0.814;6.180;122.9;22.8
0.822;6.212;124.0;22.8
0.829;6.226;125.1;22.8
0.837;6.284;126.3;22.8
0.845;6.289;127.4;22.8
0.852;6.295;128.6;22.8
0.860;6.254;129.7;22.8
0.867;6.180;130.9;22.8
0.875;6.109;132.0;22.8
0.883;6.095;133.1;22.8
0.890;6.081;134.3;22.8
0.898;6.070;135.4;22.8
0.906;6.102;136.6;22.8
0.913;6.132;137.7;22.8
0.921;6.188;138.8;22.8
0.928;6.191;140.0;22.8
0.936;6.184;141.1;22.8
0.944;6.158;142.3;22.8
0.951;6.134;143.4;22.8
0.959;6.092;144.6;22.8
0.966;5.995;145.7;22.8
0.974;5.980;146.8;22.8
0.982;5.969;148.0;22.8
0.989;5.957;149.1;22.8
0.997;5.966;150.3;22.8
1.004;5.977;151.4;22.8
1.012;5.977;152.5;22.8
1.020;6.029;153.7;22.8
1.027;6.035;154.8;22.8
1.035;6.024;156.0;22.8
1.043;6.050;157.1;22.8
1.050;6.027;158.2;22.8
1.058;5.994;159.4;22.8
1.065;5.935;160.5;22.8
1.073;5.888;161.7;22.8
1.081;5.842;162.8;22.8
1.088;5.847;164.0;22.8
1.096;5.885;165.1;22.8
1.103;5.908;166.2;22.8
1.111;5.929;167.4;22.8
1.119;5.958;168.5;22.8
1.126;5.951;169.7;22.8
1.134;5.903;170.8;22.8
1.142;5.904;171.9;22.8
1.149;5.818;173.1;22.8
1.157;5.761;174.2;22.8
1.164;5.743;175.4;22.8
1.172;5.725;176.5;22.8
1.180;5.705;177.6;22.8
1.187;5.750;178.8;22.8
1.195;5.785;179.9;22.8
1.202;5.826;181.1;22.8
1.210;5.835;182.2;22.8
1.218;5.809;183.4;22.8
1.225;5.738;184.5;22.8
1.233;5.627;185.6;22.8
1.241;5.594;186.8;22.8
1.248;5.578;187.9;22.8
1.256;5.622;189.1;22.8
1.263;5.602;190.2;22.8
1.271;5.651;191.3;22.8
1.279;5.719;192.5;22.8
1.286;5.699;193.6;22.8
1.294;5.702;194.8;22.8
1.301;5.630;195.9;22.8
1.309;5.570;197.0;22.8
1.317;5.499;198.2;22.8
1.324;5.479;199.3;22.8
1.332;5.453;200.5;22.8
1.339;5.441;201.6;22.8
1.347;5.474;202.8;22.8
1.355;5.474;203.9;22.8
1.362;5.493;205.0;22.8
1.370;5.504;206.2;22.8
1.378;5.510;207.3;22.8
1.385;5.532;208.5;22.8
1.393;5.520;209.6;22.8
1.400;5.486;210.7;22.8
1.408;5.409;211.9;22.8
1.416;5.383;213.0;22.8
1.423;5.338;214.2;22.8
1.431;5.245;215.3;22.8
1.438;5.232;216.4;22.8
1.446;5.204;217.6;22.8
1.454;5.179;218.7;22.8
1.461;5.202;219.9;22.8
1.469;5.223;221.0;22.8
