ml;pH;sec;°C
0.000;8.337;0.0;22.6
0.000;8.274;0.4;22.6
0.000;8.332;0.8;22.6
0.007;8.248;1.9;22.6
0.015;8.331;3.0;22.6
0.022;8.315;4.2;22.6
0.030;8.348;5.3;22.6
0.037;8.221;6.5;22.6
0.045;8.181;7.6;22.6
0.053;8.110;8.7;22.6
0.060;8.069;9.9;22.6
0.068;8.032;11.0;22.6
0.075;8.090;12.2;22.6
0.083;8.103;13.3;22.6
0.091;8.087;14.4;22.6
0.098;8.097;15.6;22.6
0.106;8.095;16.7;22.6
0.114;8.058;17.9;22.6
0.121;8.023;19.0;22.6
0.129;7.959;20.2;22.6
0.136;7.880;21.3;22.6
0.144;7.828;22.4;22.6
0.152;7.736;23.6;22.6
0.159;7.684;24.7;22.6
0.167;7.628;25.9;22.6
0.174;7.575;27.0;22.6
0.182;7.544;28.1;22.6
0.190;7.528;29.3;22.6
0.197;7.505;30.4;22.6
0.205;7.498;31.6;22.6
0.212;7.491;32.7;22.6
0.220;7.467;33.8;22.6
0.228;7.445;35.0;22.6
0.235;7.411;36.1;22.6
0.243;7.324;37.3;22.6
0.250;7.253;38.4;22.6
0.258;7.191;39.5;22.6
0.266;7.155;40.7;22.6
0.273;7.107;41.8;22.6
0.281;7.084;43.0;22.6
0.289;7.075;44.1;22.6
0.296;7.071;45.2;22.6
0.304;7.089;46.4;22.6
0.311;7.104;47.5;22.6
0.319;7.084;48.7;22.6
0.327;7.099;49.8;22.6
0.334;7.092;51.0;22.6
0.342;7.074;52.1;22.6
0.349;7.029;53.2;22.6
0.357;6.992;54.4;22.6
0.365;6.945;55.5;22.6
0.372;6.920;56.7;22.6
0.380;6.793;57.8;22.6
0.387;6.793;58.9;22.6
0.395;6.786;60.1;22.6
0.403;6.787;61.2;22.6
0.410;6.818;62.4;22.6
0.418;6.805;63.5;22.6
0.426;6.830;64.6;22.6
0.433;6.832;65.8;22.6
0.441;6.822;66.9;22.6
0.448;6.753;68.1;22.6
0.456;6.724;69.2;22.6
0.464;6.709;70.3;22.6
0.471;6.664;71.5;22.6
0.479;6.617;72.6;22.6
0.486;6.591;73.8;22.6
0.494;6.548;74.9;22.6
0.502;6.552;76.0;22.6
0.509;6.536;77.2;22.6
0.517;6.533;78.3;22.6
0.524;6.530;79.5;22.6
0.532;6.554;80.6;22.6
0.540;6.593;81.7;22.6
0.547;6.594;82.9;22.6
0.555;6.591;84.0;22.6
0.563;6.574;85.2;22.6
0.570;6.564;86.3;22.6
0.578;6.561;87.4;22.6
0.585;6.534;88.6;22.6
0.593;6.491;89.7;22.6
0.601;6.449;90.9;22.6
0.608;6.417;92.0;22.6
0.616;6.387;93.2;22.6
0.623;6.346;94.3;22.6
0.631;6.285;95.4;22.6
0.639;6.263;96.6;22.6
0.646;6.250;97.7;22.6
0.654;6.248;98.9;22.6
0.661;6.253;100.0;22.6
0.669;6.262;101.1;22.6
0.677;6.281;102.3;22.6
0.684;6.295;103.4;22.6
0.692;6.295;104.6;22.6
0.699;6.215;105.7;22.6
0.707;6.216;106.8;22.6
0.715;6.244;108.0;22.6
0.722;6.259;109.1;22.6
0.730;6.189;110.3;22.6
0.738;6.032;111.4;22.6
0.745;5.978;112.5;22.6
0.753;5.990;113.7;22.6
0.760;5.982;114.8;22.6
0.768;5.976;116.0;22.6
0.776;5.977;117.1;22.6
0.783;5.975;118.2;22.6
0.791;5.994;119.4;22.6
0.798;6.001;120.5;22.6
0.806;6.006;121.7;22.6
0.814;6.033;122.8;22.6
0.821;6.036;124.0;22.6
0.829;6.046;125.1;22.6
0.836;5.989;126.2;22.6
0.844;6.008;127.4;22.6
0.852;6.025;128.5;22.6
0.859;6.017;129.7;22.6
0.867;6.032;130.8;22.6
0.875;6.019;131.9;22.6
0.882;5.987;133.1;22.6
0.890;5.929;134.2;22.6
0.897;5.850;135.4;22.6
0.905;5.854;136.5;22.6
0.913;5.841;137.6;22.6
0.920;5.832;138.8;22.6
0.928;5.819;139.9;22.6
0.935;5.855;141.1;22.6
0.943;5.867;142.2;22.6
0.951;5.883;143.3;22.6
0.958;5.880;144.5;22.6
0.966;5.901;145.6;22.6
0.973;5.906;146.8;22.6
0.981;5.902;147.9;22.6
0.989;5.903;149.1;22.6
0.996;5.870;150.2;22.6
1.004;5.847;151.3;22.6
1.012;5.839;152.5;22.6
1.019;5.787;153.6;22.6
1.027;5.714;154.8;22.6
1.034;5.640;155.9;22.6
1.042;5.633;157.0;22.6
1.050;5.641;158.2;22.6
1.057;5.633;159.3;22.6
1.065;5.619;160.5;22.6
1.072;5.559;161.6;22.6
1.080;5.590;162.7;22.6
1.088;5.585;163.9;22.6
1.095;5.607;165.0;22.6
1.103;5.524;166.2;22.6
1.110;5.587;167.3;22.6
1.118;5.583;168.4;22.6
1.126;5.565;169.6;22.6
1.133;5.563;170.7;22.6
1.141;5.561;171.9;22.6
1.149;5.507;173.0;22.6
1.156;5.455;174.1;22.6
1.164;5.407;175.3;22.6
1.171;5.404;176.4;22.6
1.179;5.356;177.6;22.6
1.187;5.243;178.7;22.6
1.194;5.240;179.8;22.6
1.202;5.249;181.0;22.6
1.209;5.221;182.1;22.6
1.217;5.258;183.3;22.6
1.225;5.276;184.4;22.6
1.229;4.915;185.2;22.6
1.229;5.127;195.2;22.7
1.229;5.127;195.2;22.7
1.229;5.346;195.4;22.7
1.236;5.110;196.6;22.7
1.244;5.014;197.7;22.7
1.246;4.812;198.1;22.7
1.246;5.023;208.2;22.7
1.246;5.023;208.2;22.7
1.246;5.133;208.4;22.7
1.253;5.202;209.5;22.7
1.261;5.217;210.6;22.7
1.268;5.078;211.8;22.7
1.276;5.096;212.9;22.7
1.283;5.038;214.1;22.7
1.291;5.003;215.2;22.7
1.299;4.955;216.3;22.7
1.305;5.025;217.3;22.7
1.307;5.009;217.7;22.7
1.307;5.009;217.7;22.7
1.309;4.996;218.1;22.7
1.311;4.981;218.4;22.7
1.313;4.969;218.8;22.7
1.313;4.969;218.8;22.7
1.315;4.953;219.2;22.7
1.317;4.924;219.6;22.7
1.327;4.769;241.2;22.7
1.337;4.921;252.8;22.7
1.347;4.578;264.4;22.7
1.357;4.543;276.0;22.7
1.367;4.462;287.6;22.7
1.377;4.383;299.2;22.7
1.387;4.298;310.8;22.7
1.397;4.521;322.4;22.7
1.407;4.753;334.0;22.7
1.417;4.112;345.6;22.6
1.427;4.043;357.2;22.6
1.437;3.997;368.8;22.6
1.447;3.930;380.4;22.6
1.457;3.910;392.0;22.6
1.467;3.871;403.5;22.6
1.477;3.817;415.1;22.7
1.487;3.755;426.7;22.7
1.497;3.704;438.3;22.7
1.507;3.607;449.9;22.7
1.517;3.546;461.5;22.7
1.527;3.528;473.1;22.7
1.537;3.566;484.7;22.6
1.547;3.547;496.3;22.6
1.557;3.556;507.9;22.6
1.567;3.509;519.5;22.6
