ml;pH;sec;°C
0.000;8.233;0.0;22.6
0.000;8.253;0.4;22.6
0.000;8.256;0.8;22.6
0.007;8.268;1.9;22.6
0.015;8.244;3.0;22.6
0.022;8.231;4.2;22.6
0.030;8.242;5.3;22.6
0.037;8.135;6.5;22.6
0.045;8.139;7.6;22.6
0.053;8.109;8.7;22.6
0.060;8.042;9.9;22.6
0.068;7.988;11.0;22.6
0.075;7.944;12.2;22.6
0.083;7.915;13.3;22.6
0.091;7.891;14.4;22.6
0.098;7.861;15.6;22.6
0.106;7.824;16.7;22.6
0.114;7.799;17.9;22.6
0.121;7.769;19.0;22.6
0.129;7.737;20.1;22.6
0.136;7.710;21.3;22.6
0.144;7.680;22.4;22.6
0.152;7.652;23.6;22.6
0.159;7.593;24.7;22.6
0.167;7.554;25.9;22.6
0.174;7.523;27.0;22.6
0.182;7.503;28.1;22.6
0.190;7.490;29.3;22.6
0.197;7.457;30.4;22.6
0.205;7.454;31.6;22.6
0.212;7.384;32.7;22.6
0.220;7.345;33.8;22.6
0.228;7.300;35.0;22.6
0.235;7.267;36.1;22.6
0.243;7.205;37.3;22.6
0.250;7.146;38.4;22.6
0.258;7.108;39.5;22.6
0.266;7.035;40.7;22.6
0.273;6.965;41.8;22.6
0.281;6.956;43.0;22.6
0.289;6.910;44.1;22.6
0.296;6.908;45.2;22.6
0.304;6.906;46.4;22.6
0.311;6.898;47.5;22.6
0.319;6.910;48.7;22.6
0.327;6.906;49.8;22.6
0.334;6.959;50.9;22.6
0.342;6.938;52.1;22.6
0.349;6.945;53.2;22.6
0.357;6.908;54.4;22.6
0.365;6.829;55.5;22.6
0.372;6.797;56.6;22.6
0.380;6.750;57.8;22.6
0.387;6.726;58.9;22.6
0.395;6.664;60.1;22.6
0.403;6.691;61.2;22.6
0.410;6.592;62.4;22.6
0.418;6.610;63.5;22.6
0.426;6.584;64.6;22.6
0.433;6.547;65.8;22.6
0.441;6.513;66.9;22.6
0.448;6.482;68.1;22.6
0.456;6.489;69.2;22.6
0.464;6.470;70.3;22.6
0.471;6.487;71.5;22.6
0.479;6.519;72.6;22.6
0.486;6.532;73.8;22.6
0.494;6.537;74.9;22.6
0.502;6.477;76.0;22.6
0.509;6.464;77.2;22.6
0.517;6.501;78.3;22.6
0.524;6.495;79.5;22.6
0.532;6.415;80.6;22.6
0.540;6.335;81.7;22.6
0.547;6.334;82.9;22.6
0.555;6.334;84.0;22.6
0.563;6.299;85.2;22.6
0.570;6.295;86.3;22.6
0.578;6.300;87.4;22.6
0.585;6.275;88.6;22.6
0.593;6.266;89.7;22.6
0.601;6.269;90.9;22.6
0.608;6.317;92.0;22.6
0.616;6.336;93.2;22.6
0.623;6.318;94.3;22.6
0.631;6.347;95.4;22.6
0.639;6.357;96.6;22.6
0.646;6.322;97.7;22.6
0.654;6.230;98.9;22.6
0.661;6.226;100.0;22.6
0.669;6.181;101.1;22.6
0.677;6.143;102.3;22.6
0.684;6.134;103.4;22.6
0.692;6.112;104.6;22.6
0.700;6.097;105.7;22.6
0.707;6.091;106.8;22.6
0.715;6.089;108.0;22.6
0.722;6.118;109.1;22.6
0.730;6.120;110.3;22.6
0.738;6.106;111.4;22.6
0.745;6.107;112.5;22.6
0.753;6.131;113.7;22.6
0.760;6.112;114.8;22.6
0.768;6.079;116.0;22.6
0.776;6.065;117.1;22.6
0.783;6.017;118.3;22.6
0.791;6.009;119.4;22.6
0.798;6.026;120.5;22.6
0.806;6.042;121.7;22.6
0.814;6.004;122.8;22.6
0.821;5.965;124.0;22.6
0.829;5.942;125.1;22.6
0.837;5.934;126.2;22.6
0.844;5.891;127.4;22.6
0.852;5.840;128.5;22.6
0.859;5.854;129.7;22.6
0.867;5.865;130.8;22.6
0.875;5.894;131.9;22.6
0.882;5.943;133.1;22.6
0.890;5.965;134.2;22.6
0.897;5.957;135.4;22.6
0.905;5.961;136.5;22.6
0.913;5.920;137.6;22.6
0.920;5.922;138.8;22.6
0.928;5.828;139.9;22.6
0.935;5.836;141.1;22.6
0.943;5.834;142.2;22.6
0.951;5.844;143.3;22.6
0.958;5.843;144.5;22.6
0.966;5.811;145.6;22.6
0.973;5.781;146.8;22.6
0.981;5.746;147.9;22.6
0.989;5.717;149.0;22.6
0.996;5.695;150.2;22.6
1.004;5.504;151.3;22.6
1.012;5.585;152.5;22.6
1.019;5.417;153.6;22.6
1.027;5.472;154.8;22.6
1.034;5.510;155.9;22.6
1.042;5.474;157.0;22.6
1.050;5.554;158.2;22.6
1.057;5.556;159.3;22.6
1.065;5.564;160.5;22.6
1.072;5.613;161.6;22.6
1.080;5.605;162.7;22.6
