ml;pH;sec;°C
0.000;8.286;0.0;21.9
0.000;8.285;0.4;21.9
0.000;8.281;0.8;21.9
0.007;8.222;1.9;21.9
0.015;8.157;3.0;21.9
0.022;8.187;4.2;21.9
0.030;8.261;5.3;21.9
0.037;8.309;6.5;21.9
0.045;8.287;7.6;21.9
0.053;8.306;8.7;21.9
0.060;8.438;9.9;21.9
0.068;8.201;11.0;21.9
0.076;8.085;12.2;21.9
0.083;8.014;13.3;21.9
0.091;7.985;14.5;21.9
0.098;8.052;15.6;21.9
0.106;8.064;16.7;21.9
0.114;8.138;17.9;21.9
0.121;8.067;19.0;21.9
0.129;8.069;20.2;21.9
0.136;7.912;21.3;21.9
0.144;7.828;22.4;21.9
0.152;7.725;23.6;21.9
0.159;7.656;24.7;21.9
0.167;7.606;25.9;21.9
0.174;7.606;27.0;21.9
0.182;7.456;28.1;21.9
0.190;7.473;29.3;21.9
0.197;7.518;30.4;21.9
0.205;7.497;31.6;21.9
0.213;7.428;32.7;21.9
0.220;7.247;33.8;21.9
0.228;7.143;35.0;21.9
0.235;7.106;36.1;21.9
0.243;7.004;37.3;21.9
0.251;6.979;38.4;21.9
0.258;6.951;39.5;21.9
0.266;7.022;40.7;21.9
0.273;7.028;41.8;21.9
0.281;7.077;43.0;21.9
0.289;7.049;44.1;21.9
0.296;6.987;45.3;21.9
0.304;6.915;46.4;21.9
0.311;6.868;47.5;21.9
0.319;6.800;48.7;21.9
0.327;6.759;49.8;21.9
0.334;6.762;51.0;21.9
0.342;6.735;52.1;21.9
0.350;6.716;53.2;21.9
0.357;6.760;54.4;21.9
0.365;6.670;55.5;21.9
0.372;6.692;56.7;21.9
0.380;6.669;57.8;21.9
0.388;6.638;58.9;21.9
0.395;6.535;60.1;21.9
0.403;6.335;61.2;21.9
0.410;6.350;62.4;21.9
0.418;6.397;63.5;21.9
0.426;6.458;64.6;21.9
0.433;6.537;65.8;21.9
0.441;6.588;66.9;21.9
0.448;6.430;68.1;21.9
0.456;6.515;69.2;21.9
0.464;6.535;70.3;21.9
0.471;6.468;71.5;21.9
0.479;6.437;72.6;21.9
0.487;6.387;73.8;21.9
0.494;6.351;74.9;21.9
0.502;6.307;76.0;21.9
0.509;6.351;77.2;21.9
0.517;6.338;78.3;21.9
0.525;6.363;79.5;21.9
0.532;6.406;80.6;21.9
0.540;6.440;81.8;21.9
0.547;6.445;82.9;21.9
0.555;6.430;84.0;21.9
0.563;6.422;85.2;21.9
0.570;6.380;86.3;21.9
0.578;6.273;87.5;21.9
0.585;6.220;88.6;21.9
0.593;6.211;89.7;21.9
0.601;6.182;90.9;21.9
0.608;6.206;92.0;21.9
0.616;6.286;93.2;21.9
0.623;6.240;94.3;21.9
0.631;6.272;95.4;21.9
0.639;6.259;96.6;21.9
0.646;6.244;97.7;21.9
0.654;6.077;98.9;21.9
0.662;6.027;100.0;21.9
0.669;6.008;101.1;21.9
0.677;5.966;102.3;21.9
0.684;6.098;103.4;21.9
0.692;6.180;104.6;21.9
0.700;6.228;105.7;21.9
0.707;6.143;106.8;21.9
0.715;6.062;108.0;21.9
0.722;6.012;109.1;21.9
0.730;5.969;110.3;21.9
0.738;5.935;111.4;21.9
0.745;5.983;112.6;21.9
0.753;6.042;113.7;21.9
0.760;6.098;114.8;21.9
0.768;6.028;116.0;21.9
0.776;5.649;117.1;21.9
0.783;5.772;118.3;21.9
0.791;5.783;119.4;21.9
0.799;5.777;120.5;21.9
0.806;5.766;121.7;21.9
0.814;5.658;122.8;21.9
0.821;5.722;124.0;21.9
0.829;5.742;125.1;21.9
0.837;5.834;126.2;21.9
0.844;5.915;127.4;21.9
0.852;5.903;128.5;21.9
0.859;5.958;129.7;21.9
0.867;5.943;130.8;21.9
0.875;5.896;131.9;21.9
0.882;5.931;133.1;21.9
0.890;5.914;134.2;21.9
0.897;5.839;135.4;21.9
0.905;5.529;136.5;21.9
0.913;5.625;137.6;21.9
0.920;5.656;138.8;21.9
0.928;5.689;139.9;21.9
0.936;5.687;141.1;21.9
0.943;5.736;142.2;21.9
0.951;5.781;143.4;21.9
0.958;5.799;144.5;21.9
0.966;5.793;145.6;21.9
0.974;5.759;146.8;21.9
0.981;5.725;147.9;21.9
0.989;5.658;149.1;21.9
0.996;5.485;150.2;21.9
1.004;5.358;151.3;21.9
1.012;5.449;152.5;21.9
1.019;5.463;153.6;21.9
1.027;5.376;154.8;21.9
1.034;5.349;155.9;21.9
1.042;5.514;157.0;21.9
1.050;5.589;158.2;21.9
1.057;5.685;159.3;21.9
1.065;5.579;160.5;21.9
1.073;5.614;161.6;21.9
1.080;5.567;162.7;21.9
1.088;5.469;163.9;21.9
1.095;5.369;165.0;21.9
1.103;5.238;166.2;21.9
1.111;5.296;167.3;21.9
1.118;5.380;168.5;21.9
1.126;5.463;169.6;21.9
1.133;5.504;170.7;21.9
1.141;5.279;171.9;21.9
1.149;5.359;173.0;21.9
1.156;5.330;174.2;21.9
1.164;5.282;175.3;21.9
1.171;5.214;176.4;21.9
1.179;5.151;177.6;21.9
1.187;5.090;178.7;21.9
1.194;5.122;179.9;21.9
1.202;5.131;181.0;21.9
1.210;5.238;182.1;21.9
1.217;5.265;183.3;21.9
1.225;5.221;184.4;21.9
1.232;5.203;185.6;21.9
1.237;5.053;186.3;21.9
1.239;5.100;186.7;21.9
1.239;5.100;186.7;21.9
1.241;5.129;187.1;21.9
1.246;5.138;187.8;21.9
1.253;5.039;189.0;21.9
1.255;4.853;189.4;21.9
1.255;5.052;199.4;22.2
1.255;5.052;199.4;22.2
1.255;5.073;199.6;22.2
1.262;5.094;200.8;22.2
1.264;5.067;201.1;22.2
1.266;5.074;201.5;22.2
1.268;5.080;201.9;22.2
1.268;5.080;201.9;22.2
1.270;5.078;202.3;22.2
1.272;5.087;202.7;22.2
1.274;5.032;203.0;22.2
1.274;5.032;203.1;22.2
1.276;5.027;203.4;22.2
1.278;5.044;203.8;22.2
1.280;5.050;204.2;22.2
1.280;5.050;204.2;22.2
1.282;5.008;204.6;22.2
1.284;4.984;204.9;22.2
1.286;4.991;205.3;22.2
1.286;4.991;205.3;22.2
1.288;5.004;205.7;22.2
1.290;5.006;206.1;22.2
1.292;4.974;206.5;22.2
1.292;4.974;206.5;22.2
1.294;4.896;206.8;22.2
1.304;4.711;228.5;22.2
1.314;4.756;240.1;22.2
1.324;4.773;251.7;22.2
1.334;4.563;263.3;22.2
1.344;4.403;274.9;22.2
1.354;4.497;286.5;22.2
1.364;4.383;298.1;22.2
1.374;4.171;309.7;22.2
1.384;4.265;321.3;22.2
1.394;4.109;332.9;22.2
1.404;3.959;344.5;22.2
1.414;3.940;356.0;22.2
1.424;4.009;367.6;22.2
1.434;4.002;379.2;22.2
1.444;3.914;390.8;22.2
1.454;3.817;402.4;22.2
1.464;3.676;414.0;22.2
1.474;3.839;425.6;22.2
1.484;3.664;437.2;22.2
1.494;3.728;448.8;22.2
1.504;3.670;460.4;22.2
1.514;3.550;472.0;22.2
1.524;3.681;483.6;22.2
1.534;3.472;495.2;22.2
1.534;3.657;495.4;22.2
1.544;3.432;507.0;22.2
1.544;3.620;507.1;22.2
1.554;3.406;518.7;22.2
1.554;3.624;518.9;22.2
1.564;3.413;530.5;22.2
1.564;3.576;530.7;22.2
1.574;3.415;542.3;22.1
1.574;3.545;542.5;22.1
1.584;3.370;554.1;22.1
1.584;3.539;554.3;22.1
1.594;3.464;565.9;22.1
1.594;3.511;568.0;22.1
1.604;3.342;579.6;22.1
1.604;3.521;580.1;22.1
1.614;3.288;591.7;22.1
1.614;3.508;591.9;22.1
1.624;3.295;603.5;22.1
1.624;3.500;604.5;22.1
1.634;3.420;616.1;22.1
1.634;3.499;621.9;22.1
1.644;3.442;633.5;22.1
1.644;3.419;643.6;22.1
