ml;pH;sec;°C
0.000;8.210;0.0;22.0
0.000;8.217;0.4;22.0
0.000;8.204;0.8;22.0
0.007;8.236;1.9;22.0
0.015;8.340;3.0;22.0
0.022;8.375;4.2;22.0
0.030;8.386;5.3;22.0
0.037;8.355;6.5;22.0
0.045;8.283;7.6;22.0
0.053;8.172;8.7;22.0
0.060;8.099;9.9;22.0
0.068;8.078;11.0;22.0
0.076;8.088;12.2;22.0
0.083;8.100;13.3;22.0
0.091;8.150;14.5;22.0
0.098;8.157;15.6;22.0
0.106;8.070;16.7;22.0
0.114;7.965;17.9;22.0
0.121;7.871;19.0;22.0
0.129;7.823;20.2;22.0
0.136;7.784;21.3;22.0
0.144;7.802;22.4;22.0
0.152;7.849;23.6;22.0
0.159;7.849;24.7;22.0
0.167;7.818;25.9;22.0
0.175;7.692;27.0;22.0
0.182;7.560;28.1;22.0
0.190;7.486;29.3;22.0
0.197;7.422;30.4;22.0
0.205;7.437;31.6;22.0
0.213;7.453;32.7;22.0
0.220;7.442;33.9;22.0
0.228;7.425;35.0;22.0
0.235;7.356;36.1;22.0
0.243;7.302;37.3;22.0
0.251;7.193;38.4;22.0
0.258;7.137;39.6;22.0
0.266;7.125;40.7;22.0
0.273;7.151;41.8;22.0
0.281;7.164;43.0;22.0
0.289;7.216;44.1;22.0
0.296;7.138;45.3;22.0
0.304;7.087;46.4;22.0
0.312;6.999;47.5;22.0
0.319;6.945;48.7;22.0
0.327;6.937;49.8;22.0
0.334;6.956;51.0;22.0
0.342;6.995;52.1;22.0
0.350;7.026;53.2;22.0
0.357;7.005;54.4;22.0
0.365;7.017;55.5;22.0
0.372;6.852;56.7;22.0
0.380;6.806;57.8;22.0
0.388;6.766;59.0;22.0
0.395;6.833;60.1;22.0
0.403;6.926;61.2;22.0
0.411;6.901;62.4;22.0
0.418;6.820;63.5;22.0
0.426;6.746;64.7;22.0
0.433;6.667;65.8;22.0
0.441;6.658;66.9;22.0
0.449;6.698;68.1;22.0
0.456;6.780;69.2;22.0
0.464;6.794;70.4;22.0
