ml;pH;sec;°C
0.000;8.247;0.0;21.4
0.000;8.285;0.4;21.4
0.000;8.298;0.8;21.4
0.007;8.355;1.9;21.4
0.015;8.440;3.0;21.4
0.022;8.418;4.2;21.4
0.030;8.342;5.3;21.4
0.038;8.293;6.5;21.4
0.045;8.193;7.6;21.4
0.053;8.152;8.7;21.4
0.060;8.139;9.9;21.4
0.068;8.187;11.0;21.4
0.076;8.249;12.2;21.4
0.083;8.255;13.3;21.4
0.091;8.212;14.5;21.4
0.098;8.145;15.6;21.4
0.106;8.032;16.7;21.4
0.114;7.923;17.9;21.4
0.121;7.901;19.0;21.4
0.129;7.961;20.2;21.4
0.136;7.993;21.3;21.4
0.144;7.946;22.4;21.4
0.152;7.832;23.6;21.4
0.159;7.718;24.7;21.4
0.167;7.608;25.9;21.4
0.175;7.595;27.0;21.4
0.182;7.605;28.1;21.4
0.190;7.643;29.3;21.4
0.197;7.597;30.4;21.4
0.205;7.444;31.6;21.4
0.213;7.238;32.7;21.4
0.220;7.333;33.9;21.4
0.228;7.350;35.0;21.4
0.236;7.375;36.1;21.4
0.243;7.290;37.3;21.4
0.251;7.149;38.4;21.4
0.258;7.068;39.6;21.4
0.266;7.095;40.7;21.4
0.274;7.162;41.9;21.4
0.281;7.169;43.0;21.4
0.289;7.162;44.1;21.4
0.296;7.079;45.3;21.4
0.304;7.017;46.4;21.4
0.312;6.927;47.6;21.4
0.319;6.882;48.7;21.4
0.327;6.936;49.8;21.4
0.335;7.021;51.0;21.4
0.342;6.986;52.1;21.4
0.350;6.933;53.3;21.4
0.357;6.862;54.4;21.4
0.365;6.703;55.5;21.4
0.373;6.684;56.7;21.4
0.380;6.714;57.8;21.4
0.388;6.816;59.0;21.4
0.395;6.824;60.1;21.4
0.403;6.781;61.2;21.4
0.411;6.673;62.4;21.4
0.418;6.622;63.5;21.4
0.426;6.574;64.7;21.4
0.433;6.613;65.8;21.4
0.441;6.664;67.0;21.4
0.449;6.706;68.1;21.4
0.456;6.695;69.2;21.4
0.464;6.625;70.4;21.4
0.472;6.543;71.5;21.4
0.479;6.449;72.7;21.4
0.487;6.488;73.8;21.4
0.494;6.608;74.9;21.4
0.502;6.601;76.1;21.4
0.510;6.528;77.2;21.4
0.517;6.377;78.4;21.4
0.525;6.339;79.5;21.4
0.532;6.351;80.6;21.4
0.540;6.449;81.8;21.4
0.548;6.505;82.9;21.4
0.555;6.420;84.1;21.4
0.563;6.291;85.2;21.4
0.571;6.254;86.4;21.4
0.578;6.257;87.5;21.4
0.586;6.347;88.6;21.4
0.593;6.400;89.8;21.4
0.601;6.398;90.9;21.4
0.609;6.320;92.1;21.4
0.616;6.260;93.2;21.4
0.624;6.163;94.3;21.4
0.631;6.122;95.5;21.4
0.639;6.200;96.6;21.4
0.647;6.248;97.8;21.4
0.654;6.293;98.9;21.4
0.662;6.246;100.0;21.4
0.670;6.182;101.2;21.4
0.677;6.088;102.3;21.4
0.685;6.017;103.5;21.4
0.692;6.020;104.6;21.4
0.700;6.084;105.8;21.4
0.708;6.112;106.9;21.4
0.715;6.161;108.0;21.4
0.723;6.116;109.2;21.4
0.730;6.057;110.3;21.4
0.738;5.909;111.5;21.4
0.746;5.892;112.6;21.4
0.753;5.909;113.7;21.4
0.761;6.039;114.9;21.4
0.769;6.019;116.0;21.4
0.776;5.936;117.2;21.4
0.784;5.866;118.3;21.4
0.791;5.789;119.4;21.4
0.799;5.784;120.6;21.4
0.807;5.841;121.7;21.4
0.814;5.876;122.9;21.4
0.822;5.928;124.0;21.4
0.829;5.884;125.2;21.4
0.837;5.764;126.3;21.4
0.845;5.638;127.4;21.4
0.852;5.647;128.6;21.4
0.860;5.716;129.7;21.4
0.867;5.782;130.9;21.4
0.875;5.767;132.0;21.4
0.883;5.663;133.1;21.4
0.890;5.537;134.3;21.4
0.898;5.547;135.4;21.4
0.906;5.657;136.6;21.4
0.913;5.670;137.7;21.4
0.921;5.630;138.8;21.4
0.928;5.482;140.0;21.4
0.936;5.409;141.1;21.4
0.944;5.385;142.3;21.4
0.951;5.386;143.4;21.4
0.959;5.461;144.6;21.4
