ml;pH;sec;°C
0.000;8.156;0.0;22.2
0.000;8.153;0.4;22.2
0.000;8.145;0.8;22.2
0.007;8.161;1.9;22.2
0.015;8.235;3.0;22.2
0.022;8.270;4.2;22.2
0.030;8.153;5.3;22.2
0.038;8.251;6.5;22.2
0.045;8.241;7.6;22.2
0.053;8.239;8.7;22.2
0.060;8.236;9.9;22.2
0.068;8.150;11.0;22.2
0.076;8.098;12.2;22.2
0.083;8.042;13.3;22.2
0.091;7.947;14.4;22.2
0.098;7.871;15.6;22.2
0.106;7.832;16.7;22.2
0.114;7.830;17.9;22.2
0.121;7.799;19.0;22.2
0.129;7.812;20.2;22.2
0.136;7.824;21.3;22.2
0.144;7.817;22.4;22.2
0.152;7.763;23.6;22.2
0.159;7.698;24.7;22.2
0.167;7.574;25.9;22.2
0.174;7.467;27.0;22.2
0.182;7.375;28.1;22.2
0.190;7.333;29.3;22.2
0.197;7.345;30.4;22.2
0.205;7.333;31.6;22.2
0.213;7.352;32.7;22.2
0.220;7.348;33.8;22.2
0.228;7.322;35.0;22.2
0.235;7.263;36.1;22.2
0.243;7.138;37.3;22.2
0.251;7.097;38.4;22.2
0.258;7.077;39.5;22.2
0.266;7.075;40.7;22.2
0.273;7.084;41.8;22.2
0.281;7.161;43.0;22.2
0.289;7.165;44.1;22.2
0.296;7.134;45.3;22.2
0.304;7.120;46.4;22.2
0.312;7.040;47.5;22.2
0.319;6.955;48.7;22.2
0.327;6.897;49.8;22.2
0.334;6.876;51.0;22.2
0.342;6.877;52.1;22.2
0.350;6.895;53.2;22.2
0.357;6.890;54.4;22.2
0.365;6.983;55.5;22.2
0.372;6.939;56.7;22.2
0.380;6.895;57.8;22.2
0.388;6.921;58.9;22.2
0.395;6.726;60.1;22.2
0.403;6.724;61.2;22.2
0.410;6.732;62.4;22.2
0.418;6.736;63.5;22.2
0.426;6.746;64.6;22.2
0.433;6.787;65.8;22.2
0.441;6.786;66.9;22.2
0.449;6.772;68.1;22.2
0.456;6.752;69.2;22.2
0.464;6.701;70.3;22.2
0.471;6.611;71.5;22.2
0.479;6.577;72.6;22.2
0.487;6.554;73.8;22.2
0.494;6.581;74.9;22.2
0.502;6.619;76.1;22.2
0.509;6.662;77.2;22.2
0.517;6.653;78.3;22.2
0.525;6.635;79.5;22.2
0.532;6.630;80.6;22.2
0.540;6.527;81.8;22.2
0.547;6.469;82.9;22.2
0.555;6.434;84.0;22.2
0.563;6.419;85.2;22.2
0.570;6.425;86.3;22.2
0.578;6.479;87.5;22.2
0.586;6.518;88.6;22.2
0.593;6.511;89.7;22.2
0.601;6.499;90.9;22.2
0.608;6.476;92.0;22.2
0.616;6.412;93.2;22.2
0.624;6.365;94.3;22.2
0.631;6.316;95.4;22.2
0.639;6.278;96.6;22.2
0.646;6.314;97.7;22.2
0.654;6.375;98.9;22.2
0.662;6.399;100.0;22.2
0.669;6.382;101.2;22.2
0.677;6.345;102.3;22.2
0.684;6.292;103.4;22.2
0.692;6.231;104.6;22.2
0.700;6.187;105.7;22.2
0.707;6.193;106.9;22.2
0.715;6.186;108.0;22.2
0.723;6.203;109.1;22.2
0.730;6.252;110.3;22.2
0.738;6.260;111.4;22.2
0.745;6.254;112.6;22.2
0.753;6.236;113.7;22.2
0.761;6.189;114.8;22.2
0.768;6.153;116.0;22.2
0.776;6.119;117.1;22.2
0.783;6.080;118.3;22.2
0.791;6.062;119.4;22.2
0.799;6.077;120.5;22.2
0.806;6.098;121.7;22.2
0.814;6.104;122.8;22.2
0.821;6.112;124.0;22.2
0.829;6.077;125.1;22.2
0.837;6.053;126.3;22.2
0.844;5.997;127.4;22.2
0.852;5.942;128.5;22.2
0.860;5.963;129.7;22.2
0.867;6.005;130.8;22.2
0.875;6.009;132.0;22.2
0.882;6.042;133.1;22.2
0.890;5.998;134.2;22.2
0.898;5.954;135.4;22.2
0.905;5.879;136.5;22.2
0.913;5.865;137.7;22.2
0.920;5.835;138.8;22.2
0.928;5.854;139.9;22.2
0.936;5.882;141.1;22.2
0.943;5.929;142.2;22.2
0.951;5.905;143.4;22.2
0.959;5.894;144.5;22.2
0.966;5.842;145.7;22.2
0.974;5.771;146.8;22.2
0.981;5.744;147.9;22.2
0.989;5.736;149.1;22.2
0.997;5.760;150.2;22.2
1.004;5.786;151.4;22.2
1.012;5.814;152.5;22.2
1.019;5.815;153.6;22.2
1.027;5.778;154.8;22.2
1.035;5.727;155.9;22.2
1.042;5.681;157.1;22.2
1.050;5.647;158.2;22.2
1.057;5.629;159.3;22.2
