ml;pH;sec;°C
0.000;8.350;0.0;21.7
0.000;8.335;0.4;21.7
0.000;8.327;0.8;21.7
0.007;8.298;1.9;21.7
0.015;8.185;3.0;21.7
0.022;8.162;4.2;21.7
0.030;8.150;5.3;21.7
0.038;8.191;6.5;21.7
0.045;8.237;7.6;21.7
0.053;8.227;8.7;21.7
0.060;8.202;9.9;21.7
0.068;8.228;11.0;21.7
0.076;8.159;12.2;21.7
0.083;8.090;13.3;21.7
0.091;7.951;14.5;21.7
0.098;8.004;15.6;21.7
0.106;7.891;16.7;21.7
0.114;7.937;17.9;21.7
0.121;8.006;19.0;21.7
0.129;7.928;20.2;21.7
0.137;7.789;21.3;21.7
0.144;7.652;22.4;21.7
0.152;7.598;23.6;21.7
0.159;7.582;24.7;21.7
0.167;7.581;25.9;21.7
0.175;7.605;27.0;21.7
0.182;7.561;28.1;21.7
0.190;7.556;29.3;21.7
0.197;7.489;30.4;21.7
0.205;7.380;31.6;21.7
0.213;7.265;32.7;21.7
0.220;7.195;33.9;21.7
0.228;7.150;35.0;21.7
0.235;7.125;36.1;21.7
0.243;7.154;37.3;21.7
0.251;7.212;38.4;21.7
0.258;7.263;39.6;21.7
0.266;7.242;40.7;21.7
0.274;7.152;41.8;21.7
0.281;6.986;43.0;21.7
0.289;6.943;44.1;21.7
0.296;6.910;45.3;21.7
0.304;6.988;46.4;21.7
0.312;7.054;47.5;21.7
0.319;7.083;48.7;21.7
0.327;7.042;49.8;21.7
0.334;7.024;51.0;21.7
0.342;6.947;52.1;21.7
0.350;6.805;53.3;21.7
0.357;6.751;54.4;21.7
0.365;6.758;55.5;21.7
0.373;6.789;56.7;21.7
0.380;6.856;57.8;21.7
0.388;6.910;59.0;21.7
0.395;6.933;60.1;21.7
0.403;6.699;61.2;21.7
0.411;6.663;62.4;21.7
0.418;6.603;63.5;21.7
0.426;6.725;64.7;21.7
0.433;6.624;65.8;21.7
0.441;6.497;66.9;21.7
0.449;6.626;68.1;21.7
0.456;6.649;69.2;21.7
0.464;6.698;70.4;21.7
0.471;6.681;71.5;21.7
0.479;6.624;72.6;21.7
0.487;6.504;73.8;21.7
0.494;6.406;74.9;21.7
0.502;6.394;76.1;21.7
0.510;6.422;77.2;21.7
0.517;6.469;78.4;21.7
0.525;6.493;79.5;21.7
0.532;6.466;80.6;21.7
0.540;6.464;81.8;21.7
0.548;6.415;82.9;21.7
0.555;6.332;84.1;21.7
0.563;6.254;85.2;21.7
0.570;6.234;86.3;21.7
0.578;6.234;87.5;21.7
0.586;6.228;88.6;21.7
0.593;6.298;89.8;21.7
0.601;6.312;90.9;21.7
0.609;6.320;92.0;21.7
0.616;6.320;93.2;21.7
0.624;6.215;94.3;21.7
0.631;6.190;95.5;21.7
0.639;6.105;96.6;21.7
0.647;6.144;97.8;21.7
0.654;6.160;98.9;21.7
0.662;6.245;100.0;21.7
