ml;pH;sec;°C
0.000;8.174;0.0;21.8
0.000;8.176;0.4;21.8
0.000;8.164;0.8;21.8
0.007;8.163;1.9;21.8
0.015;8.218;3.0;21.8
0.022;8.302;4.2;21.8
0.030;8.339;5.3;21.8
0.038;8.324;6.5;21.8
0.045;8.236;7.6;21.8
0.053;8.101;8.7;21.8
0.060;8.009;9.9;21.8
0.068;8.039;11.0;21.8
0.076;8.121;12.2;21.8
0.083;8.151;13.3;21.8
0.091;8.130;14.5;21.8
0.098;8.039;15.6;21.8
0.106;7.883;16.7;21.8
0.114;7.759;17.9;21.8
0.121;7.764;19.0;21.8
0.129;7.829;20.2;21.8
0.137;7.854;21.3;21.8
0.144;7.809;22.4;21.8
0.152;7.732;23.6;21.8
0.159;7.617;24.7;21.8
0.167;7.450;25.9;21.8
0.175;7.256;27.0;21.8
0.182;7.339;28.1;21.8
0.190;7.401;29.3;21.8
0.197;7.375;30.4;21.8
0.205;7.288;31.6;21.8
0.213;7.142;32.7;21.8
0.220;7.102;33.9;21.8
0.228;7.133;35.0;21.8
0.235;7.201;36.1;21.8
0.243;7.176;37.3;21.8
0.251;7.047;38.4;21.8
0.258;6.975;39.6;21.8
0.266;6.932;40.7;21.8
0.274;6.965;41.8;21.8
0.281;6.995;43.0;21.8
0.289;7.068;44.1;21.8
0.296;7.012;45.3;21.8
0.304;6.928;46.4;21.8
0.312;6.927;47.5;21.8
0.319;6.806;48.7;21.8
0.327;6.803;49.8;21.8
0.334;6.831;51.0;21.8
0.342;6.902;52.1;21.8
0.350;6.940;53.3;21.8
0.357;6.959;54.4;21.8
0.365;6.895;55.5;21.8
0.373;6.827;56.7;21.8
0.380;6.711;57.8;21.8
0.388;6.681;59.0;21.8
0.395;6.849;60.1;21.8
0.403;6.852;61.2;21.8
0.411;6.831;62.4;21.8
0.418;6.786;63.5;21.8
0.426;6.695;64.7;21.8
0.433;6.604;65.8;21.8
0.441;6.574;66.9;21.8
0.449;6.608;68.1;21.8
0.456;6.648;69.2;21.8
0.464;6.739;70.4;21.8
0.471;6.718;71.5;21.8
0.479;6.591;72.7;21.8
0.487;6.500;73.8;21.8
0.494;6.421;74.9;21.8
0.502;6.464;76.1;21.8
0.510;6.520;77.2;21.8
0.517;6.556;78.4;21.8
0.525;6.582;79.5;21.8
0.532;6.514;80.6;21.8
0.540;6.450;81.8;21.8
0.548;6.357;82.9;21.8
0.555;6.279;84.1;21.8
0.563;6.256;85.2;21.8
0.570;6.403;86.3;21.8
0.578;6.424;87.5;21.8
0.586;6.411;88.6;21.8
0.593;6.374;89.8;21.8
0.601;6.257;90.9;21.8
0.609;6.204;92.0;21.8
0.616;6.228;93.2;21.8
0.624;6.306;94.3;21.8
0.631;6.370;95.5;21.8
0.639;6.388;96.6;21.8
0.647;6.323;97.8;21.8
0.654;6.295;98.9;21.8
0.662;6.216;100.0;21.8
0.669;6.136;101.2;21.8
0.677;6.158;102.3;21.8
0.685;6.233;103.5;21.8
0.692;6.322;104.6;21.8
0.700;6.343;105.7;21.8
0.708;6.283;106.9;21.8
0.715;6.158;108.0;21.8
0.723;6.119;109.2;21.8
0.730;6.062;110.3;21.8
0.738;6.056;111.4;21.8
0.746;6.106;112.6;21.8
0.753;6.104;113.7;21.8
0.761;6.160;114.9;21.8
0.768;6.214;116.0;21.8
0.776;6.214;117.1;21.8
0.784;6.188;118.3;21.8
0.791;6.075;119.4;21.8
0.799;6.014;120.6;21.8
0.806;5.980;121.7;21.8
0.814;5.955;122.9;21.8
0.822;5.958;124.0;21.8
0.829;6.040;125.1;21.8
0.837;6.090;126.3;21.8
0.844;6.112;127.4;21.8
0.852;6.056;128.6;21.8
0.860;5.954;129.7;21.8
0.867;5.813;130.8;21.8
0.875;5.829;132.0;21.8
0.883;5.996;133.1;21.8
0.890;6.039;134.3;21.8
0.898;6.026;135.4;21.8
0.905;5.997;136.5;21.8
0.913;5.875;137.7;21.8
0.921;5.776;138.8;21.8
0.928;5.759;140.0;21.8
0.936;5.799;141.1;21.8
0.943;5.879;142.3;21.8
0.951;5.838;143.4;21.8
0.959;5.801;144.5;21.8
0.966;5.749;145.7;21.8
0.974;5.630;146.8;21.8
0.982;5.526;148.0;21.8
0.989;5.712;149.1;21.8
0.997;5.718;150.2;21.8
1.004;5.725;151.4;21.8
1.012;5.717;152.5;21.8
1.020;5.552;153.7;21.8
1.027;5.482;154.8;21.8
1.035;5.562;155.9;21.8
1.042;5.672;157.1;21.8
1.050;5.730;158.2;21.8
1.058;5.667;159.4;21.8
1.065;5.552;160.5;21.8
1.073;5.453;161.7;21.8
1.081;5.459;162.8;21.8
1.088;5.537;163.9;21.8
1.096;5.576;165.1;21.8
1.103;5.600;166.2;21.8
1.111;5.627;167.4;21.8
1.119;5.530;168.5;21.8
1.126;5.423;169.6;21.8
1.134;5.338;170.8;21.8
1.141;5.314;171.9;21.8
1.149;5.350;173.1;21.8
1.157;5.401;174.2;21.8
1.164;5.467;175.3;21.8
1.172;5.391;176.5;21.8
1.179;5.320;177.6;21.8
1.187;5.235;178.8;21.8
1.195;5.153;179.9;21.8
1.202;5.183;181.0;21.8
1.210;5.241;182.2;21.8
1.218;5.303;183.3;21.8
1.225;5.253;184.5;21.8
1.233;5.122;185.6;21.8
1.240;4.994;186.8;21.8
1.248;4.988;187.9;21.8
1.256;5.053;189.0;21.8
1.260;5.124;189.8;21.8
1.262;5.133;190.2;21.8
1.262;5.133;190.2;21.8
1.264;5.123;190.6;21.8
1.266;5.097;190.9;21.8
1.268;5.042;191.3;21.8
1.268;5.042;191.3;21.8
1.270;5.026;191.7;21.8
1.272;5.005;192.1;21.8
1.274;4.932;192.5;21.8
1.284;4.766;214.1;22.1
1.294;4.913;225.7;22.1
1.304;4.742;237.3;22.2
1.314;4.565;248.9;22.1
1.324;4.539;260.5;22.1
1.334;4.452;272.1;22.2
1.344;4.478;283.7;22.1
1.354;4.277;295.3;22.2
1.364;4.302;306.9;22.1
1.374;4.120;318.5;22.2
1.384;4.000;330.1;22.2
1.394;4.055;341.7;22.1
1.404;3.900;353.3;22.2
1.414;4.052;364.9;22.1
1.424;3.818;376.5;22.2
1.434;3.741;388.1;22.2
1.444;3.858;399.7;22.2
1.454;3.870;411.3;22.1
1.464;3.799;422.9;22.2
1.474;3.732;434.5;22.1
1.484;3.755;446.1;22.2
1.494;3.590;457.7;22.2
1.504;3.595;469.3;22.2
1.514;3.635;480.9;22.2
1.524;3.659;492.5;22.2
1.534;3.496;504.1;22.2
1.544;3.587;515.7;22.2
1.554;3.414;527.3;22.2
1.554;3.549;527.5;22.2
1.564;3.504;539.1;22.2
1.574;3.362;550.7;22.2
1.574;3.549;550.8;22.2
1.584;3.510;562.4;22.2
1.594;3.311;574.0;22.2
1.594;3.514;574.2;22.2
1.604;3.330;585.8;22.2
1.604;3.504;586.8;22.2
1.614;3.380;598.4;22.2
1.614;3.445;608.5;22.2
