ml;pH;sec;°C
0.000;8.208;0.0;22.4
0.000;8.191;0.4;22.4
0.000;8.187;0.8;22.4
0.007;8.177;1.9;22.4
0.015;8.106;3.0;22.4
0.022;8.124;4.2;22.4
0.030;8.115;5.3;22.4
0.038;8.175;6.5;22.4
0.045;8.228;7.6;22.4
0.053;8.196;8.8;22.4
0.060;8.098;9.9;22.4
0.068;8.032;11.0;22.4
0.076;7.999;12.2;22.4
0.083;7.969;13.3;22.4
0.091;8.080;14.5;22.4
0.098;8.026;15.6;22.4
0.106;8.011;16.7;22.4
0.114;7.951;17.9;22.4
0.121;7.839;19.0;22.4
0.129;7.740;20.2;22.4
0.137;7.722;21.3;22.4
0.144;7.701;22.5;22.4
0.152;7.709;23.6;22.4
0.159;7.778;24.7;22.4
0.167;7.726;25.9;22.4
0.175;7.663;27.0;22.4
0.182;7.558;28.2;22.4
0.190;7.457;29.3;22.4
0.197;7.392;30.4;22.4
0.205;7.342;31.6;22.4
0.213;7.327;32.7;22.4
0.220;7.410;33.9;22.4
0.228;7.390;35.0;22.4
0.236;7.359;36.1;22.4
0.243;7.310;37.3;22.4
0.251;7.262;38.4;22.4
0.258;7.152;39.6;22.4
0.266;7.074;40.7;22.4
0.274;7.056;41.9;22.4
0.281;7.103;43.0;22.4
0.289;7.158;44.1;22.4
0.296;7.154;45.3;22.4
0.304;7.129;46.4;22.4
0.312;7.062;47.6;22.4
0.319;6.984;48.7;22.4
0.327;6.918;49.8;22.4
0.334;6.910;51.0;22.4
0.342;6.912;52.1;22.4
0.350;6.915;53.3;22.4
0.357;6.928;54.4;22.4
0.365;7.007;55.5;22.4
0.373;6.925;56.7;22.4
0.380;6.905;57.8;22.4
0.388;6.855;59.0;22.4
0.395;6.762;60.1;22.4
0.403;6.733;61.2;22.4
0.411;6.734;62.4;22.4
0.418;6.755;63.5;22.4
0.426;6.806;64.7;22.4
0.433;6.832;65.8;22.4
0.441;6.808;67.0;22.4
0.449;6.737;68.1;22.4
0.456;6.655;69.2;22.4
0.464;6.626;70.4;22.4
0.472;6.639;71.5;22.4
0.479;6.692;72.7;22.4
