ml;pH;sec;°C
0.000;8.211;0.0;21.3
0.000;8.213;0.4;21.3
0.000;8.253;0.8;21.3
0.007;8.279;1.9;21.3
0.015;8.189;3.0;21.3
0.022;8.034;4.2;21.3
0.030;8.007;5.3;21.3
0.038;7.976;6.5;21.3
0.045;7.988;7.6;21.3
0.053;8.039;8.7;21.3
0.060;8.056;9.9;21.3
0.068;8.162;11.0;21.3
0.076;8.155;12.2;21.3
0.083;8.109;13.3;21.3
0.091;8.006;14.5;21.3
0.098;7.860;15.6;21.3
0.106;7.802;16.7;21.3
0.114;7.791;17.9;21.3
0.121;7.808;19.0;21.3
0.129;7.862;20.2;21.3
0.137;7.888;21.3;21.3
0.144;7.872;22.4;21.3
0.152;7.836;23.6;21.3
0.159;7.744;24.7;21.3
0.167;7.623;25.9;21.3
0.175;7.498;27.0;21.3
0.182;7.426;28.1;21.3
0.190;7.358;29.3;21.3
0.197;7.368;30.4;21.3
0.205;7.455;31.6;21.3
0.213;7.404;32.7;21.3
0.220;7.329;33.9;21.3
0.228;7.182;35.0;21.3
0.236;7.091;36.1;21.3
0.243;7.058;37.3;21.3
0.251;7.088;38.4;21.3
0.258;7.140;39.6;21.3
0.266;7.148;40.7;21.3
0.274;7.166;41.8;21.3
0.281;7.100;43.0;21.3
0.289;6.924;44.1;21.3
0.296;6.889;45.3;21.3
0.304;6.871;46.4;21.3
0.312;6.908;47.5;21.3
0.319;6.994;48.7;21.3
0.327;7.006;49.8;21.3
0.334;7.008;51.0;21.3
0.342;6.920;52.1;21.3
0.350;6.864;53.3;21.3
0.357;6.748;54.4;21.3
0.365;6.670;55.5;21.3
0.373;6.711;56.7;21.3
0.380;6.818;57.8;21.3
0.388;6.849;59.0;21.3
0.395;6.857;60.1;21.3
0.403;6.799;61.2;21.3
0.411;6.729;62.4;21.3
0.418;6.649;63.5;21.3
0.426;6.568;64.7;21.3
0.433;6.570;65.8;21.3
0.441;6.592;66.9;21.3
0.449;6.630;68.1;21.3
0.456;6.728;69.2;21.3
