ml;pH;sec;°C
0.000;8.273;0.0;22.7
0.000;8.221;0.4;22.7
0.000;8.190;0.8;22.7
0.007;8.113;1.9;22.7
0.015;8.065;3.0;22.7
0.022;8.095;4.2;22.7
0.030;8.184;5.3;22.7
0.038;8.225;6.5;22.7
0.045;8.277;7.6;22.7
0.053;8.206;8.7;22.7
0.060;8.120;9.9;22.7
0.068;7.991;11.0;22.7
0.076;7.954;12.2;22.7
0.083;7.964;13.3;22.7
0.091;8.078;14.4;22.7
0.098;8.098;15.6;22.7
0.106;8.092;16.7;22.7
0.114;8.019;17.9;22.7
0.121;7.891;19.0;22.7
0.129;7.799;20.2;22.7
0.136;7.727;21.3;22.7
0.144;7.761;22.4;22.7
0.152;7.785;23.6;22.7
0.159;7.839;24.7;22.7
0.167;7.801;25.9;22.7
0.175;7.682;27.0;22.7
0.182;7.546;28.1;22.7
0.190;7.465;29.3;22.7
0.197;7.480;30.4;22.7
0.205;7.540;31.6;22.7
0.213;7.560;32.7;22.7
0.220;7.489;33.8;22.7
0.228;7.373;35.0;22.7
0.235;7.243;36.1;22.7
0.243;7.187;37.3;22.7
0.251;7.220;38.4;22.7
0.258;7.272;39.5;22.7
0.266;7.321;40.7;22.7
0.273;7.263;41.8;22.7
0.281;7.188;43.0;22.7
0.289;7.073;44.1;22.7
0.296;7.004;45.3;22.7
0.304;7.024;46.4;22.7
0.312;7.065;47.5;22.7
0.319;7.143;48.7;22.7
0.327;7.145;49.8;22.7
0.334;7.101;51.0;22.7
0.342;6.955;52.1;22.7
0.350;6.866;53.2;22.7
0.357;6.901;54.4;22.7
0.365;7.003;55.5;22.7
0.372;7.023;56.7;22.7
0.380;6.966;57.8;22.7
0.388;6.851;58.9;22.7
0.395;6.757;60.1;22.7
0.403;6.751;61.2;22.7
0.410;6.794;62.4;22.7
0.418;6.851;63.5;22.7
0.426;6.884;64.6;22.7
0.433;6.887;65.8;22.7
0.441;6.849;66.9;22.7
0.449;6.796;68.1;22.7
0.456;6.670;69.2;22.7
0.464;6.630;70.3;22.7
0.471;6.615;71.5;22.7
0.479;6.713;72.6;22.7
0.487;6.754;73.8;22.7
0.494;6.749;74.9;22.7
0.502;6.730;76.1;22.7
0.509;6.692;77.2;22.7
0.517;6.606;78.3;22.7
0.525;6.545;79.5;22.7
0.532;6.505;80.6;22.7
0.540;6.559;81.8;22.7
0.547;6.604;82.9;22.7
0.555;6.658;84.0;22.7
0.563;6.641;85.2;22.7
0.570;6.596;86.3;22.7
0.578;6.511;87.5;22.7
0.586;6.427;88.6;22.7
0.593;6.399;89.7;22.7
0.601;6.388;90.9;22.7
0.608;6.439;92.0;22.7
0.616;6.484;93.2;22.7
0.624;6.533;94.3;22.7
0.631;6.525;95.4;22.7
0.639;6.470;96.6;22.7
0.646;6.407;97.7;22.7
0.654;6.344;98.9;22.7
0.662;6.282;100.0;22.7
0.669;6.292;101.1;22.7
0.677;6.340;102.3;22.7
0.684;6.403;103.4;22.7
0.692;6.438;104.6;22.7
0.700;6.422;105.7;22.7
0.707;6.340;106.8;22.7
0.715;6.246;108.0;22.7
0.722;6.213;109.1;22.7
0.730;6.262;110.3;22.7
0.738;6.361;111.4;22.7
0.745;6.370;112.6;22.7
0.753;6.296;113.7;22.7
0.761;6.205;114.8;22.7
0.768;6.159;116.0;22.7
0.776;6.138;117.1;22.7
0.783;6.183;118.3;22.7
0.791;6.239;119.4;22.7
0.799;6.282;120.5;22.7
0.806;6.256;121.7;22.7
0.814;6.172;122.8;22.7
0.821;6.097;124.0;22.7
0.829;6.064;125.1;22.7
0.837;6.067;126.2;22.7
0.844;6.096;127.4;22.7
0.852;6.168;128.5;22.7
0.859;6.193;129.7;22.7
0.867;6.153;130.8;22.7
0.875;6.091;131.9;22.7
0.882;6.044;133.1;22.7
0.890;5.980;134.2;22.7
0.898;5.954;135.4;22.7
0.905;5.998;136.5;22.7
0.913;6.055;137.6;22.7
0.920;6.105;138.8;22.7
0.928;6.080;139.9;22.7
0.936;6.052;141.1;22.7
0.943;5.979;142.2;22.7
0.951;5.908;143.4;22.7
0.958;5.878;144.5;22.7
0.966;5.919;145.6;22.7
