ml;pH;sec;°C
0.000;8.193;0.0;21.4
0.000;8.209;0.4;21.4
0.000;8.215;0.8;21.4
0.007;8.236;1.9;21.4
0.015;8.255;3.0;21.4
0.022;8.236;4.2;21.4
0.030;8.183;5.3;21.4
0.038;7.914;6.5;21.4
0.045;8.045;7.6;21.4
0.053;8.085;8.8;21.4
0.060;8.074;9.9;21.4
0.068;8.050;11.0;21.4
0.076;8.026;12.2;21.4
0.083;7.975;13.3;21.4
0.091;7.896;14.5;21.4
0.099;7.827;15.6;21.4
0.106;7.865;16.7;21.4
0.114;7.770;17.9;21.4
0.121;7.848;19.0;21.4
0.129;7.813;20.2;21.4
0.137;7.711;21.3;21.4
0.144;7.594;22.4;21.4
0.152;7.503;23.6;21.4
0.159;7.453;24.7;21.4
0.167;7.422;25.9;21.4
0.175;7.398;27.0;21.4
0.182;7.369;28.2;21.4
0.190;7.396;29.3;21.4
0.197;7.331;30.4;21.4
0.205;7.253;31.6;21.4
0.213;7.175;32.7;21.4
0.220;7.070;33.9;21.4
0.228;7.061;35.0;21.4
0.236;7.056;36.1;21.4
0.243;7.064;37.3;21.4
0.251;7.077;38.4;21.4
0.258;7.025;39.6;21.4
0.266;7.057;40.7;21.4
0.274;7.050;41.9;21.4
0.281;6.922;43.0;21.4
0.289;6.886;44.1;21.4
0.296;6.859;45.3;21.4
0.304;6.813;46.4;21.4
0.312;6.740;47.6;21.4
0.319;6.678;48.7;21.4
0.327;6.738;49.8;21.4
0.335;6.741;51.0;21.4
0.342;6.692;52.1;21.4
0.350;6.745;53.3;21.4
0.357;6.666;54.4;21.4
0.365;6.625;55.5;21.4
0.373;6.506;56.7;21.4
0.380;6.486;57.8;21.4
0.388;6.480;59.0;21.4
0.395;6.469;60.1;21.4
0.403;6.473;61.2;21.4
0.411;6.509;62.4;21.4
0.418;6.543;63.5;21.4
0.426;6.478;64.7;21.4
0.433;6.499;65.8;21.4
0.441;6.410;67.0;21.4
0.449;6.380;68.1;21.4
0.456;6.339;69.2;21.4
0.464;6.322;70.4;21.4
0.472;6.313;71.5;21.4
0.479;6.299;72.7;21.4
0.487;6.295;73.8;21.4
0.494;6.298;74.9;21.4
0.502;6.362;76.1;21.4
0.510;6.361;77.2;21.4
0.517;6.283;78.4;21.4
0.525;6.250;79.5;21.4
0.532;6.152;80.6;21.4
0.540;6.098;81.8;21.4
0.548;6.051;82.9;21.4
0.555;6.080;84.1;21.4
0.563;6.116;85.2;21.4
0.570;6.115;86.3;21.4
0.578;6.173;87.5;21.4
0.586;6.261;88.6;21.4
0.593;6.131;89.8;21.4
0.601;6.098;90.9;21.4
0.609;6.050;92.1;21.4
0.616;6.052;93.2;21.4
0.624;6.106;94.3;21.4
0.631;6.105;95.5;21.4
0.639;6.059;96.6;21.4
0.647;5.981;97.8;21.4
0.654;5.955;98.9;21.4
0.662;5.955;100.0;21.4
0.669;5.968;101.2;21.4
0.677;5.960;102.3;21.4
0.685;6.013;103.5;21.4
0.692;5.969;104.6;21.4
0.700;5.895;105.8;21.4
0.708;5.867;106.9;21.4
0.715;5.838;108.0;21.4
0.723;5.863;109.2;21.4
0.730;5.902;110.3;21.4
0.738;5.904;111.5;21.4
0.746;5.869;112.6;21.4
0.753;5.852;113.7;21.4
0.761;5.838;114.9;21.4
0.768;5.784;116.0;21.4
0.776;5.761;117.2;21.4
0.784;5.734;118.3;21.4
0.791;5.698;119.4;21.4
0.799;5.708;120.6;21.4
0.807;5.716;121.7;21.4
0.814;5.725;122.9;21.4
0.822;5.728;124.0;21.4
0.829;5.718;125.1;21.4
0.837;5.692;126.3;21.4
0.845;5.652;127.4;21.4
0.852;5.592;128.6;21.4
0.860;5.569;129.7;21.4
0.867;5.537;130.8;21.4
0.875;5.194;132.0;21.4
0.883;5.293;133.1;21.4
0.890;5.403;134.3;21.4
0.898;5.415;135.4;21.4
0.905;5.447;136.6;21.4
0.913;5.411;137.7;21.4
0.921;5.342;138.8;21.4
0.928;5.322;140.0;21.4
0.936;5.192;141.1;21.4
0.944;5.199;142.3;21.4
0.951;5.281;143.4;21.4
0.959;5.274;144.5;21.4
0.966;5.242;145.7;21.4
0.974;5.206;146.8;21.4
0.982;5.231;148.0;21.4
0.989;5.113;149.1;21.4
0.997;5.064;150.3;21.4
1.004;5.049;151.4;21.4
1.012;5.067;152.5;21.4
1.019;4.988;153.7;21.4
1.019;4.988;153.7;21.4
1.021;4.984;154.1;21.4
1.023;4.974;154.4;21.4
1.025;4.963;154.8;21.4
1.025;4.963;154.8;21.4
1.027;4.942;155.2;21.4
1.037;4.834;176.9;21.9
1.047;4.790;188.5;21.8
1.057;4.667;200.1;21.9
1.067;4.644;211.7;21.9
1.077;4.483;223.3;21.9
1.087;4.421;234.9;21.9
1.097;4.390;246.5;21.9
1.107;4.228;258.1;21.9
1.117;4.206;269.7;21.9
1.127;4.075;281.2;21.9
1.137;3.991;292.8;22.0
1.147;3.906;304.4;22.0
1.157;3.900;316.0;22.0
1.167;3.878;327.6;21.9
1.177;3.763;339.2;22.0
1.187;3.779;350.8;22.0
1.197;3.692;362.4;22.0
1.207;3.639;374.0;22.0
1.217;3.615;385.6;22.0
1.227;3.643;397.2;22.0
1.237;3.612;408.8;22.0
1.247;3.510;420.4;22.0
1.257;3.525;432.0;22.0
1.267;3.504;443.6;22.0
1.277;3.430;455.2;22.0
1.277;3.508;455.4;22.0
1.287;3.414;467.0;22.0
1.287;3.501;474.2;22.0
1.297;3.426;485.8;22.0
1.297;3.396;495.9;22.0
