ml;pH;sec;°C
0.000;8.053;0.0;22.6
0.000;8.040;0.4;22.6
0.000;8.035;0.8;22.6
0.007;8.054;1.9;22.6
0.015;8.105;3.0;22.6
0.022;8.192;4.2;22.6
0.030;8.187;5.3;22.6
0.038;8.244;6.5;22.6
0.045;8.097;7.6;22.6
0.053;8.002;8.8;22.6
0.060;7.945;9.9;22.6
0.068;7.967;11.0;22.6
0.076;8.012;12.2;22.6
0.083;8.082;13.3;22.6
0.091;8.059;14.5;22.6
0.098;8.023;15.6;22.6
0.106;7.933;16.7;22.6
0.114;7.760;17.9;22.6
0.121;7.622;19.0;22.6
0.129;7.687;20.2;22.6
0.137;7.697;21.3;22.6
0.144;7.760;22.4;22.6
0.152;7.813;23.6;22.6
0.159;7.770;24.7;22.6
0.167;7.679;25.9;22.6
0.175;7.582;27.0;22.6
0.182;7.457;28.1;22.6
0.190;7.351;29.3;22.6
0.197;7.349;30.4;22.6
0.205;7.398;31.6;22.6
0.213;7.421;32.7;22.6
0.220;7.429;33.9;22.6
0.228;7.385;35.0;22.6
0.236;7.297;36.1;22.6
0.243;7.190;37.3;22.6
0.251;7.076;38.4;22.6
0.258;7.034;39.6;22.6
0.266;6.991;40.7;22.6
0.274;6.964;41.8;22.6
0.281;6.999;43.0;22.6
0.289;6.998;44.1;22.6
0.296;7.027;45.3;22.6
0.304;6.987;46.4;22.6
0.312;6.883;47.5;22.6
0.319;6.725;48.7;22.6
0.327;6.710;49.8;22.6
0.334;6.711;51.0;22.6
0.342;6.754;52.1;22.6
0.350;6.826;53.3;22.6
0.357;6.843;54.4;22.6
0.365;6.774;55.5;22.6
0.373;6.644;56.7;22.6
0.380;6.619;57.8;22.6
0.388;6.629;59.0;22.6
0.395;6.756;60.1;22.6
0.403;6.738;61.2;22.6
0.411;6.665;62.4;22.6
0.418;6.581;63.5;22.6
0.426;6.517;64.7;22.6
0.433;6.503;65.8;22.6
0.441;6.591;66.9;22.6
0.449;6.553;68.1;22.6
0.456;6.455;69.2;22.6
0.464;6.458;70.4;22.6
0.472;6.446;71.5;22.6
0.479;6.369;72.7;22.6
0.487;6.395;73.8;22.6
0.494;6.353;74.9;22.6
0.502;6.537;76.1;22.6
0.510;6.568;77.2;22.6
0.517;6.553;78.4;22.6
0.525;6.485;79.5;22.6
0.532;6.429;80.6;22.6
0.540;6.367;81.8;22.6
0.548;6.343;82.9;22.6
0.555;6.389;84.1;22.6
0.563;6.416;85.2;22.6
0.570;6.484;86.3;22.6
0.578;6.519;87.5;22.6
0.586;6.480;88.6;22.6
0.593;6.421;89.8;22.6
0.601;6.295;90.9;22.6
0.609;6.243;92.0;22.6
0.616;6.188;93.2;22.6
0.624;6.254;94.3;22.6
0.631;6.346;95.5;22.6
0.639;6.327;96.6;22.6
0.647;6.249;97.8;22.6
0.654;6.199;98.9;22.6
0.662;6.103;100.0;22.6
0.669;6.139;101.2;22.6
0.677;6.249;102.3;22.6
0.685;6.304;103.5;22.6
0.692;6.256;104.6;22.6
0.700;6.171;105.7;22.6
0.708;6.028;106.9;22.6
0.715;6.019;108.0;22.6
0.723;6.036;109.2;22.6
0.730;6.080;110.3;22.6
0.738;6.135;111.4;22.6
0.746;6.169;112.6;22.6
0.753;6.111;113.7;22.6
0.761;6.023;114.9;22.6
0.768;5.994;116.0;22.6
0.776;6.016;117.2;22.6
0.784;6.002;118.3;22.6
0.791;6.042;119.4;22.6
0.799;6.128;120.6;22.6
0.807;5.980;121.7;22.6
0.814;5.848;122.9;22.6
0.822;5.871;124.0;22.6
0.829;5.912;125.1;22.6
0.837;5.894;126.3;22.6
0.845;5.977;127.4;22.6
0.852;6.026;128.6;22.6
0.860;5.983;129.7;22.6
0.867;5.988;130.8;22.6
0.875;5.986;132.0;22.6
0.883;5.882;133.1;22.6
0.890;5.681;134.3;22.6
0.898;5.728;135.4;22.6
0.905;5.786;136.6;22.6
0.913;5.840;137.7;22.6
0.921;5.913;138.8;22.6
0.928;5.916;140.0;22.6
0.936;5.851;141.1;22.6
0.944;5.803;142.3;22.6
0.951;5.778;143.4;22.6
0.959;5.756;144.5;22.6
0.966;5.704;145.7;22.6
0.974;5.764;146.8;22.6
0.982;5.822;148.0;22.6
0.989;5.880;149.1;22.6
0.997;5.853;150.2;22.6
1.004;5.836;151.4;22.6
1.012;5.769;152.5;22.6
1.020;5.748;153.7;22.6
1.027;5.686;154.8;22.6
1.035;5.672;155.9;22.6
1.042;5.692;157.1;22.6
1.050;5.786;158.2;22.6
1.058;5.771;159.4;22.6
1.065;5.676;160.5;22.6
1.073;5.638;161.7;22.6
1.081;5.605;162.8;22.6
1.088;5.613;163.9;22.6
1.096;5.581;165.1;22.6
1.103;5.612;166.2;22.6
1.111;5.663;167.4;22.6
1.119;5.651;168.5;22.6
1.126;5.562;169.6;22.6
1.134;5.423;170.8;22.6
1.141;5.435;171.9;22.6
1.149;5.472;173.1;22.6
1.157;5.561;174.2;22.6
1.164;5.593;175.3;22.6
1.172;5.571;176.5;22.6
1.180;5.544;177.6;22.6
1.187;5.463;178.8;22.6
1.195;5.380;179.9;22.6
1.202;5.360;181.1;22.6
1.210;5.395;182.2;22.6
1.218;5.426;183.3;22.6
1.225;5.361;184.5;22.6
1.233;5.422;185.6;22.6
1.240;5.392;186.8;22.6
1.248;5.376;187.9;22.6
1.256;5.241;189.0;22.6
