ml;pH;sec;°C
0.000;8.149;0.0;21.7
0.000;8.142;0.4;21.7
0.000;8.143;0.8;21.7
0.007;8.098;1.9;21.7
0.015;8.187;3.0;21.7
0.022;8.219;4.2;21.7
0.030;8.287;5.3;21.7
0.038;8.256;6.5;21.7
0.045;8.192;7.6;21.7
0.053;8.137;8.7;21.7
0.060;8.074;9.9;21.7
0.068;7.998;11.0;21.7
0.076;7.959;12.2;21.7
0.083;7.954;13.3;21.7
0.091;7.958;14.5;21.7
0.098;7.915;15.6;21.7
0.106;7.968;16.7;21.7
0.114;7.883;17.9;21.7
0.121;7.829;19.0;21.7
0.129;7.731;20.2;21.7
0.136;7.625;21.3;21.7
0.144;7.571;22.4;21.7
0.152;7.529;23.6;21.7
0.159;7.470;24.7;21.7
0.167;7.418;25.9;21.7
0.175;7.467;27.0;21.7
0.182;7.416;28.2;21.7
0.190;7.471;29.3;21.7
0.197;7.282;30.4;21.7
0.205;7.221;31.6;21.7
0.213;7.047;32.7;21.7
0.220;7.115;33.9;21.7
0.228;7.090;35.0;21.7
0.235;7.128;36.1;21.7
0.243;7.064;37.3;21.7
0.251;7.047;38.4;21.7
0.258;7.053;39.6;21.7
0.266;7.048;40.7;21.7
0.274;7.071;41.8;21.7
0.281;6.961;43.0;21.7
0.289;6.887;44.1;21.7
0.296;6.884;45.3;21.7
0.304;6.821;46.4;21.7
0.312;6.683;47.6;21.7
0.319;6.613;48.7;21.7
0.327;6.875;49.8;21.7
0.334;6.840;51.0;21.7
0.342;6.863;52.1;21.7
0.350;6.924;53.3;21.7
0.357;6.901;54.4;21.7
0.365;6.691;55.5;21.7
0.373;6.700;56.7;21.7
0.380;6.660;57.8;21.7
0.388;6.696;59.0;21.7
0.395;6.679;60.1;21.7
0.403;6.665;61.3;21.7
0.411;6.663;62.4;21.7
0.418;6.641;63.5;21.7
0.426;6.641;64.7;21.7
0.433;6.595;65.8;21.7
0.441;6.544;67.0;21.7
0.449;6.518;68.1;21.7
0.456;6.468;69.2;21.7
0.464;6.453;70.4;21.7
0.472;6.453;71.5;21.7
0.479;6.492;72.7;21.7
0.487;6.488;73.8;21.7
0.494;6.490;74.9;21.7
0.502;6.471;76.1;21.7
0.510;6.447;77.2;21.7
0.517;6.387;78.4;21.7
0.525;6.330;79.5;21.7
0.532;6.303;80.6;21.7
0.540;6.324;81.8;21.7
0.548;6.336;82.9;21.7
0.555;6.351;84.1;21.7
0.563;6.326;85.2;21.7
0.571;6.317;86.4;21.7
0.578;6.290;87.5;21.7
0.586;6.298;88.6;21.7
0.593;6.183;89.8;21.7
0.601;6.181;90.9;21.7
0.609;6.224;92.1;21.7
0.616;6.222;93.2;21.7
0.624;6.200;94.3;21.7
0.631;6.144;95.5;21.7
0.639;6.094;96.6;21.7
0.647;6.058;97.8;21.7
0.654;6.042;98.9;21.7
0.662;6.007;100.1;21.7
0.670;6.058;101.2;21.7
0.677;6.087;102.3;21.7
0.685;6.060;103.5;21.7
0.692;6.029;104.6;21.7
0.700;5.982;105.8;21.7
0.708;5.953;106.9;21.7
0.715;5.922;108.0;21.7
0.723;5.899;109.2;21.7
0.730;5.889;110.3;21.7
0.738;5.884;111.5;21.7
0.746;5.968;112.6;21.7
0.753;5.913;113.7;21.7
0.761;5.997;114.9;21.7
0.768;5.906;116.0;21.7
0.776;5.867;117.2;21.7
0.784;5.836;118.3;21.7
0.791;5.775;119.5;21.7
0.799;5.731;120.6;21.7
0.807;5.719;121.7;21.7
0.814;5.694;122.9;21.7
0.822;5.654;124.0;21.7
0.829;5.714;125.2;21.7
0.837;5.706;126.3;21.7
0.845;5.692;127.4;21.7
0.852;5.698;128.6;21.7
0.860;5.668;129.7;21.7
0.867;5.636;130.9;21.7
0.875;5.580;132.0;21.7
0.883;5.568;133.1;21.7
0.890;5.489;134.3;21.7
0.898;5.445;135.4;21.7
0.906;5.449;136.6;21.7
0.913;5.498;137.7;21.7
0.921;5.462;138.8;21.7
0.928;5.453;140.0;21.7
0.936;5.416;141.1;21.7
0.944;5.374;142.3;21.7
0.951;5.353;143.4;21.7
0.959;5.322;144.6;21.7
0.966;5.277;145.7;21.7
0.974;5.161;146.8;21.7
0.982;5.150;148.0;21.7
0.989;5.216;149.1;21.7
0.997;5.190;150.3;21.7
1.004;5.135;151.4;21.7
1.012;5.126;152.5;21.7
1.020;5.079;153.7;21.7
1.027;5.013;154.8;21.7
1.030;4.996;155.2;21.7
1.032;4.940;155.6;21.7
1.042;4.784;177.3;22.1
1.052;4.722;188.9;22.1
1.062;4.609;200.5;22.1
1.072;4.589;212.0;22.1
1.082;4.487;223.6;22.1
1.092;4.398;235.2;22.1
1.102;4.245;246.8;22.2
1.112;4.222;258.4;22.2
1.122;4.150;270.0;22.1
1.132;3.998;281.6;22.2
1.142;3.939;293.2;22.2
1.152;3.892;304.8;22.2
1.162;3.884;316.4;22.1
1.172;3.844;328.0;22.1
1.182;3.717;339.6;22.2
1.192;3.752;351.2;22.2
1.202;3.670;362.8;22.2
1.212;3.595;374.4;22.2
1.222;3.648;386.0;22.2
1.232;3.574;397.6;22.2
1.242;3.522;409.2;22.2
1.252;3.550;420.8;22.2
1.262;3.462;432.4;22.2
1.262;3.540;432.6;22.2
1.272;3.519;444.2;22.2
1.282;3.399;455.8;22.2
1.282;3.498;456.0;22.2
1.292;3.456;467.6;22.2
1.292;3.396;477.6;22.2
