ml;pH;sec;°C
0.000;8.297;0.0;21.8
0.000;8.293;0.4;21.8
0.000;8.287;0.8;21.8
0.007;8.165;1.9;21.8
0.015;8.222;3.0;21.8
0.022;8.209;4.2;21.8
0.030;8.215;5.3;21.8
0.038;8.236;6.5;21.8
0.045;8.259;7.6;21.8
0.053;8.218;8.7;21.8
0.060;8.166;9.9;21.8
0.068;8.111;11.0;21.8
0.076;8.076;12.2;21.8
0.083;8.086;13.3;21.8
0.091;8.077;14.4;21.8
0.098;8.096;15.6;21.8
0.106;8.100;16.7;21.8
0.114;8.026;17.9;21.8
0.121;7.964;19.0;21.8
0.129;7.881;20.2;21.8
0.136;7.855;21.3;21.8
0.144;7.886;22.4;21.8
0.152;7.918;23.6;21.8
0.159;7.858;24.7;21.8
0.167;7.819;25.9;21.8
0.175;7.804;27.0;21.8
0.182;7.699;28.1;21.8
0.190;7.631;29.3;21.8
0.197;7.560;30.4;21.8
0.205;7.498;31.6;21.8
0.213;7.487;32.7;21.8
0.220;7.452;33.8;21.8
0.228;7.442;35.0;21.8
0.235;7.426;36.1;21.8
0.243;7.422;37.3;21.8
0.251;7.318;38.4;21.8
0.258;7.261;39.5;21.8
0.266;7.191;40.7;21.8
0.273;7.157;41.8;21.8
0.281;7.174;43.0;21.8
0.289;7.190;44.1;21.8
0.296;7.188;45.2;21.8
0.304;7.167;46.4;21.8
0.311;7.121;47.5;21.8
0.319;7.047;48.7;21.8
0.327;7.004;49.8;21.8
0.334;6.973;50.9;21.8
0.342;6.906;52.1;21.8
0.350;7.010;53.2;21.8
0.357;6.991;54.4;21.8
0.365;6.999;55.5;21.8
0.372;6.962;56.7;21.8
0.380;6.939;57.8;21.8
0.388;6.874;58.9;21.8
0.395;6.831;60.1;21.8
0.403;6.803;61.2;21.8
0.410;6.803;62.4;21.8
0.418;6.812;63.5;21.8
0.426;6.803;64.6;21.8
0.433;6.834;65.8;21.8
0.441;6.824;66.9;21.8
0.448;6.817;68.1;21.8
0.456;6.742;69.2;21.8
0.464;6.681;70.3;21.8
0.471;6.674;71.5;21.8
0.479;6.657;72.6;21.8
0.487;6.671;73.8;21.8
0.494;6.689;74.9;21.8
0.502;6.667;76.0;21.8
0.509;6.700;77.2;21.8
0.517;6.671;78.3;21.8
0.525;6.644;79.5;21.8
0.532;6.602;80.6;21.8
0.540;6.552;81.7;21.8
0.547;6.520;82.9;21.8
0.555;6.529;84.0;21.8
0.563;6.526;85.2;21.8
0.570;6.546;86.3;21.8
0.578;6.558;87.5;21.8
0.585;6.597;88.6;21.8
0.593;6.554;89.7;21.8
0.601;6.523;90.9;21.8
0.608;6.484;92.0;21.8
0.616;6.424;93.2;21.8
0.624;6.395;94.3;21.8
0.631;6.400;95.4;21.8
0.639;6.441;96.6;21.8
0.646;6.457;97.7;21.8
0.654;6.408;98.9;21.8
0.662;6.396;100.0;21.8
0.669;6.333;101.1;21.8
0.677;6.307;102.3;21.8
0.684;6.355;103.4;21.8
0.692;6.382;104.6;21.8
0.700;6.397;105.7;21.8
0.707;6.368;106.8;21.8
0.715;6.279;108.0;21.8
0.722;6.267;109.1;21.8
0.730;6.228;110.3;21.8
0.738;6.222;111.4;21.8
0.745;6.408;112.6;21.8
0.753;6.368;113.7;21.8
0.761;6.313;114.8;21.8
0.768;6.284;116.0;21.8
0.776;6.229;117.1;21.8
0.783;6.185;118.3;21.8
0.791;6.164;119.4;21.8
0.799;6.186;120.5;21.8
0.806;6.199;121.7;21.8
0.814;6.229;122.8;21.8
0.821;6.196;124.0;21.8
0.829;6.163;125.1;21.8
0.837;6.120;126.2;21.8
0.844;6.084;127.4;21.8
0.852;6.093;128.5;21.8
0.859;6.129;129.7;21.8
0.867;6.119;130.8;21.8
0.875;6.120;131.9;21.8
0.882;6.087;133.1;21.8
0.890;6.084;134.2;21.8
0.898;5.977;135.4;21.8
0.905;6.014;136.5;21.8
0.913;6.010;137.7;21.8
0.920;6.066;138.8;21.8
0.928;6.048;139.9;21.8
0.936;6.060;141.1;21.8
0.943;5.973;142.2;21.8
0.951;5.941;143.4;21.8
0.958;5.946;144.5;21.8
0.966;5.930;145.6;21.8
0.974;5.949;146.8;21.8
0.981;5.971;147.9;21.8
0.989;5.970;149.1;21.8
0.997;5.941;150.2;21.8
1.004;5.881;151.3;21.8
1.012;5.837;152.5;21.8
1.019;5.847;153.6;21.8
1.027;5.835;154.8;21.8
1.035;5.851;155.9;21.8
1.042;5.892;157.0;21.8
1.050;5.901;158.2;21.8
1.057;5.823;159.3;21.8
1.065;5.795;160.5;21.8
1.073;5.751;161.6;21.8
1.080;5.736;162.8;21.8
1.088;5.739;163.9;21.8
1.095;5.771;165.0;21.8
1.103;5.801;166.2;21.8
1.111;5.784;167.3;21.8
1.118;5.717;168.5;21.8
1.126;5.681;169.6;21.8
1.134;5.645;170.7;21.8
1.141;5.653;171.9;21.8
1.149;5.670;173.0;21.8
1.156;5.687;174.2;21.8
1.164;5.705;175.3;21.8
1.172;5.679;176.4;21.8
1.179;5.613;177.6;21.8
1.187;5.564;178.7;21.8
1.194;5.555;179.9;21.8
1.202;5.532;181.0;21.8
1.210;5.548;182.2;21.8
1.217;5.569;183.3;21.8
1.225;5.543;184.4;21.8
1.232;5.519;185.6;21.8
1.240;5.474;186.7;21.8
1.248;5.445;187.9;21.8
1.255;5.435;189.0;21.8
1.263;5.445;190.1;21.8
1.271;5.462;191.3;21.8
1.278;5.442;192.4;21.8
1.286;5.441;193.6;21.8
1.293;5.377;194.7;21.8
1.301;5.348;195.8;21.8
1.309;5.313;197.0;21.8
1.316;5.295;198.1;21.8
1.324;5.302;199.3;21.8
1.331;5.294;200.4;21.8
1.339;5.310;201.5;21.8
1.347;5.268;202.7;21.8
1.354;5.231;203.8;21.8
1.362;5.200;205.0;21.8
1.369;5.135;206.1;21.8
1.377;5.110;207.2;21.8
1.385;5.092;208.4;21.8
1.392;5.071;209.5;21.8
1.400;5.076;210.7;21.8
1.408;5.055;211.8;21.8
1.415;5.017;213.0;21.8
1.424;4.964;214.3;21.8
1.424;4.964;214.3;21.8
1.426;4.960;214.7;21.8
1.428;4.954;215.0;21.8
1.430;4.920;215.4;21.8
1.440;4.739;237.1;22.2
1.450;4.695;248.7;22.2
1.460;4.672;260.3;22.1
1.470;4.560;271.9;22.1
1.480;4.455;283.5;22.2
1.490;4.428;295.1;22.2
1.500;4.347;306.6;22.2
1.510;4.279;318.2;22.2
1.520;4.219;329.8;22.2
1.530;4.100;341.4;22.2
1.540;4.035;353.0;22.2
1.550;4.017;364.6;22.2
1.560;3.907;376.2;22.2
1.570;3.910;387.8;22.2
1.580;3.783;399.4;22.2
1.590;3.820;411.0;22.2
1.600;3.701;422.6;22.2
1.610;3.680;434.2;22.2
1.620;3.705;445.8;22.2
1.630;3.628;457.4;22.2
1.640;3.620;468.9;22.2
1.650;3.602;480.5;22.2
1.660;3.505;492.1;22.2
1.670;3.547;503.7;22.2
1.680;3.470;515.3;22.3
1.680;3.500;515.5;22.3
1.690;3.458;527.1;22.2
1.690;3.499;528.6;22.2
1.700;3.401;540.2;22.2
1.700;3.502;540.4;22.2
1.710;3.414;552.0;22.3
1.710;3.460;562.1;22.3
