ml;pH;sec;°C
0.000;8.294;0.0;22.6
0.000;8.299;0.4;22.6
0.000;8.276;0.8;22.6
0.007;8.188;1.9;22.6
0.015;8.107;3.0;22.6
0.022;8.065;4.2;22.6
0.030;8.137;5.3;22.6
0.037;8.221;6.5;22.6
0.045;8.269;7.6;22.6
0.053;8.247;8.7;22.6
0.060;8.127;9.9;22.6
0.068;8.032;11.0;22.6
0.076;7.954;12.2;22.6
0.083;7.966;13.3;22.6
0.091;8.036;14.5;22.6
0.098;8.107;15.6;22.6
0.106;8.044;16.7;22.6
0.114;7.814;17.9;22.6
0.121;7.768;19.0;22.6
0.129;7.851;20.2;22.6
0.136;7.929;21.3;22.6
0.144;7.849;22.4;22.6
0.152;7.701;23.6;22.6
0.159;7.581;24.7;22.6
0.167;7.539;25.9;22.6
0.175;7.655;27.0;22.6
0.182;7.661;28.2;22.6
0.190;7.604;29.3;22.6
0.197;7.467;30.4;22.6
0.205;7.334;31.6;22.6
0.213;7.256;32.7;22.6
0.220;7.257;33.9;22.6
0.228;7.326;35.0;22.6
0.235;7.370;36.1;22.6
0.243;7.293;37.3;22.6
0.251;7.175;38.4;22.6
0.258;7.073;39.6;22.6
0.266;7.041;40.7;22.6
0.274;7.068;41.8;22.6
0.281;7.156;43.0;22.6
0.289;7.190;44.1;22.6
0.296;7.155;45.3;22.6
0.304;7.065;46.4;22.6
0.312;6.955;47.5;22.6
0.319;6.900;48.7;22.6
0.327;6.902;49.8;22.6
0.334;6.994;51.0;22.6
0.342;7.043;52.1;22.6
0.350;6.989;53.3;22.6
0.357;6.803;54.4;22.6
0.365;6.812;55.5;22.6
0.373;6.876;56.7;22.6
0.380;6.963;57.8;22.6
0.388;6.937;59.0;22.6
0.395;6.872;60.1;22.6
0.403;6.774;61.2;22.6
0.411;6.710;62.4;22.6
0.418;6.695;63.5;22.6
0.426;6.748;64.7;22.6
0.433;6.849;65.8;22.6
0.441;6.816;67.0;22.6
0.449;6.668;68.1;22.6
0.456;6.614;69.2;22.6
0.464;6.611;70.4;22.6
0.471;6.687;71.5;22.6
0.479;6.734;72.7;22.6
0.487;6.750;73.8;22.6
