ml;pH;sec;°C
0.000;8.162;0.0;22.6
0.000;8.162;0.4;22.6
0.000;8.170;0.8;22.6
0.007;8.127;1.9;22.6
0.015;8.229;3.0;22.6
0.022;8.264;4.2;22.6
0.030;8.229;5.3;22.6
0.037;8.091;6.5;22.6
0.045;8.087;7.6;22.6
0.053;8.075;8.7;22.6
0.060;8.082;9.9;22.6
0.068;8.109;11.0;22.6
0.076;8.092;12.2;22.6
0.083;8.048;13.3;22.6
0.091;7.956;14.5;22.6
0.098;7.913;15.6;22.6
0.106;7.961;16.7;22.6
0.114;8.060;17.9;22.6
0.121;7.913;19.0;22.6
0.129;7.854;20.2;22.6
0.136;7.753;21.3;22.6
0.144;7.716;22.4;22.6
0.152;7.714;23.6;22.6
0.159;7.714;24.7;22.6
0.167;7.668;25.9;22.6
0.175;7.586;27.0;22.6
0.182;7.502;28.1;22.6
0.190;7.310;29.3;22.6
0.197;7.402;30.4;22.6
0.205;7.385;31.6;22.6
0.213;7.391;32.7;22.6
0.220;7.345;33.8;22.6
0.228;7.272;35.0;22.6
0.235;7.199;36.1;22.6
0.243;7.163;37.3;22.6
0.251;7.174;38.4;22.6
0.258;7.199;39.6;22.6
0.266;7.196;40.7;22.6
0.273;7.147;41.8;22.6
0.281;7.094;43.0;22.6
0.289;7.037;44.1;22.6
0.296;6.986;45.3;22.6
0.304;7.006;46.4;22.6
0.311;7.004;47.5;22.6
0.319;7.024;48.7;22.6
0.327;7.020;49.8;22.6
0.334;6.982;51.0;22.6
0.342;7.001;52.1;22.6
0.350;6.870;53.2;22.6
0.357;6.854;54.4;22.6
0.365;6.858;55.5;22.6
0.372;6.853;56.7;22.6
0.380;6.898;57.8;22.6
0.388;6.850;58.9;22.6
0.395;6.797;60.1;22.6
0.403;6.773;61.2;22.6
0.410;6.793;62.4;22.6
0.418;6.832;63.5;22.6
0.426;6.800;64.7;22.6
0.433;6.788;65.8;22.6
0.441;6.729;66.9;22.6
0.449;6.684;68.1;22.6
0.456;6.660;69.2;22.6
0.464;6.637;70.4;22.6
0.471;6.719;71.5;22.6
0.479;6.708;72.6;22.6
0.487;6.625;73.8;22.6
0.494;6.592;74.9;22.6
0.502;6.609;76.1;22.6
0.509;6.615;77.2;22.6
0.517;6.636;78.3;22.6
0.525;6.631;79.5;22.6
0.532;6.581;80.6;22.6
0.540;6.539;81.8;22.6
0.548;6.489;82.9;22.6
0.555;6.515;84.1;22.6
0.563;6.524;85.2;22.6
0.570;6.530;86.3;22.6
0.578;6.535;87.5;22.6
0.586;6.487;88.6;22.6
0.593;6.466;89.8;22.6
0.601;6.411;90.9;22.6
0.608;6.390;92.0;22.6
0.616;6.394;93.2;22.6
0.624;6.412;94.3;22.6
0.631;6.452;95.5;22.6
0.639;6.413;96.6;22.6
0.646;6.399;97.7;22.6
0.654;6.339;98.9;22.6
0.662;6.256;100.0;22.6
0.669;6.342;101.2;22.6
0.677;6.380;102.3;22.6
0.685;6.376;103.4;22.6
0.692;6.328;104.6;22.6
0.700;6.249;105.7;22.6
0.707;6.267;106.9;22.6
0.715;6.256;108.0;22.6
0.723;6.311;109.2;22.6
0.730;6.292;110.3;22.6
0.738;6.350;111.4;22.6
0.745;6.220;112.6;22.6
0.753;6.195;113.7;22.6
0.761;6.183;114.9;22.6
0.768;6.199;116.0;22.6
0.776;6.237;117.1;22.6
0.783;6.219;118.3;22.6
0.791;6.168;119.4;22.6
0.799;6.136;120.6;22.6
0.806;6.107;121.7;22.6
0.814;6.125;122.8;22.6
0.822;6.146;124.0;22.6
0.829;6.158;125.1;22.6
0.837;6.145;126.3;22.6
0.844;6.128;127.4;22.6
0.852;6.092;128.5;22.6
0.860;6.052;129.7;22.6
0.867;6.028;130.8;22.6
0.875;6.054;132.0;22.6
0.882;6.075;133.1;22.6
0.890;6.099;134.3;22.6
0.898;6.103;135.4;22.6
0.905;5.980;136.5;22.6
0.913;5.959;137.7;22.6
0.921;5.970;138.8;22.6
0.928;5.997;140.0;22.6
0.936;6.011;141.1;22.6
0.943;5.991;142.2;22.6
0.951;5.934;143.4;22.6
0.959;5.900;144.5;22.6
0.966;5.904;145.7;22.6
0.974;5.963;146.8;22.6
0.981;5.953;147.9;22.6
0.989;5.905;149.1;22.6
0.997;5.864;150.2;22.6
1.004;5.840;151.4;22.6
1.012;5.829;152.5;22.6
1.019;5.857;153.7;22.6
1.027;5.870;154.8;22.6
1.035;5.846;155.9;22.6
1.042;5.764;157.1;22.6
1.050;5.683;158.2;22.6
1.058;5.831;159.4;22.6
1.065;5.816;160.5;22.6
1.073;5.785;161.6;22.6
1.080;5.731;162.8;22.6
1.088;5.717;163.9;22.6
1.096;5.710;165.1;22.6
1.103;5.709;166.2;22.6
