ml;pH;sec;°C
0.000;8.266;0.0;22.3
0.000;8.235;0.4;22.3
0.000;8.234;0.8;22.3
0.007;8.267;1.9;22.3
0.015;8.184;3.0;22.3
0.022;8.229;4.2;22.3
0.030;8.340;5.3;22.3
0.038;8.255;6.5;22.3
0.045;8.210;7.6;22.3
0.053;8.136;8.8;22.3
0.060;8.115;9.9;22.3
0.068;8.098;11.0;22.3
0.076;8.121;12.2;22.3
0.083;8.128;13.3;22.3
0.091;8.103;14.5;22.3
0.098;8.040;15.6;22.3
0.106;7.995;16.7;22.3
0.114;8.003;17.9;22.3
0.121;7.923;19.0;22.3
0.129;7.942;20.2;22.3
0.136;7.944;21.3;22.3
0.144;7.910;22.4;22.3
0.152;7.860;23.6;22.3
0.159;7.772;24.7;22.3
0.167;7.724;25.9;22.3
0.175;7.678;27.0;22.3
0.182;7.694;28.1;22.3
0.190;7.689;29.3;22.3
0.197;7.628;30.4;22.3
0.205;7.539;31.6;22.3
0.213;7.486;32.7;22.3
0.220;7.411;33.9;22.3
0.228;7.368;35.0;22.3
0.235;7.326;36.1;22.3
0.243;7.350;37.3;22.3
0.251;7.349;38.4;22.3
0.258;7.286;39.6;22.3
0.266;7.254;40.7;22.3
0.274;7.113;41.8;22.3
0.281;7.120;43.0;22.3
0.289;7.114;44.1;22.3
0.296;7.111;45.3;22.3
0.304;7.113;46.4;22.3
0.312;7.119;47.5;22.3
0.319;7.094;48.7;22.3
0.327;7.027;49.8;22.3
0.334;6.953;51.0;22.3
0.342;6.906;52.1;22.3
0.350;6.967;53.2;22.3
0.357;6.945;54.4;22.3
0.365;6.957;55.5;22.3
0.372;6.949;56.7;22.3
0.380;6.897;57.8;22.3
0.388;6.840;59.0;22.3
0.395;6.804;60.1;22.3
0.403;6.798;61.2;22.3
0.411;6.836;62.4;22.3
0.418;6.870;63.5;22.3
0.426;6.876;64.7;22.3
0.433;6.797;65.8;22.3
0.441;6.744;66.9;22.3
0.449;6.698;68.1;22.3
0.456;6.688;69.2;22.3
0.464;6.725;70.4;22.3
0.471;6.696;71.5;22.3
0.479;6.751;72.6;22.3
0.487;6.709;73.8;22.3
0.494;6.683;74.9;22.3
0.502;6.693;76.1;22.3
0.510;6.617;77.2;22.3
0.517;6.600;78.4;22.3
0.525;6.645;79.5;22.3
0.532;6.636;80.6;22.3
0.540;6.615;81.8;22.3
0.548;6.565;82.9;22.3
0.555;6.534;84.1;22.3
0.563;6.489;85.2;22.3
0.570;6.490;86.3;22.3
0.578;6.477;87.5;22.3
0.586;6.547;88.6;22.3
0.593;6.523;89.8;22.3
0.601;6.529;90.9;22.3
0.608;6.493;92.0;22.3
0.616;6.478;93.2;22.3
0.624;6.438;94.3;22.3
0.631;6.402;95.5;22.3
0.639;6.370;96.6;22.3
0.647;6.349;97.7;22.3
0.654;6.359;98.9;22.3
