ml;pH;sec;°C
0.000;8.239;0.0;22.4
0.000;8.210;0.4;22.4
0.000;8.179;0.8;22.4
0.007;8.100;1.9;22.4
0.015;8.078;3.0;22.4
0.022;8.178;4.2;22.4
0.030;8.235;5.3;22.4
0.038;8.285;6.5;22.4
0.045;8.225;7.6;22.4
0.053;8.049;8.8;22.4
0.060;7.984;9.9;22.4
0.068;8.014;11.0;22.4
0.076;8.043;12.2;22.4
0.083;8.085;13.3;22.4
0.091;8.145;14.5;22.4
0.098;8.090;15.6;22.4
0.106;7.988;16.7;22.4
0.114;7.826;17.9;22.4
0.121;7.818;19.0;22.4
0.129;7.852;20.2;22.4
0.137;7.954;21.3;22.4
0.144;7.914;22.4;22.4
0.152;7.849;23.6;22.4
0.159;7.706;24.7;22.4
0.167;7.610;25.9;22.4
0.175;7.530;27.0;22.4
0.182;7.632;28.1;22.4
0.190;7.685;29.3;22.4
0.197;7.594;30.4;22.4
0.205;7.438;31.6;22.4
0.213;7.320;32.7;22.4
0.220;7.269;33.9;22.4
0.228;7.286;35.0;22.4
0.235;7.319;36.1;22.4
0.243;7.399;37.3;22.4
0.251;7.270;38.4;22.4
0.258;7.126;39.6;22.4
0.266;7.049;40.7;22.4
0.274;7.114;41.8;22.4
0.281;7.179;43.0;22.4
0.289;7.221;44.1;22.4
0.296;7.162;45.3;22.4
0.304;7.079;46.4;22.4
0.312;6.934;47.5;22.4
0.319;6.916;48.7;22.4
0.327;6.995;49.8;22.4
0.334;7.071;51.0;22.4
0.342;7.068;52.1;22.4
0.350;7.004;53.3;22.4
0.357;6.884;54.4;22.4
0.365;6.799;55.5;22.4
0.373;6.834;56.7;22.4
0.380;6.913;57.8;22.4
0.388;6.954;59.0;22.4
0.395;6.959;60.1;22.4
0.403;6.913;61.2;22.4
0.411;6.810;62.4;22.4
0.418;6.714;63.5;22.4
0.426;6.671;64.7;22.4
0.433;6.730;65.8;22.4
0.441;6.772;66.9;22.4
0.449;6.837;68.1;22.4
0.456;6.756;69.2;22.4
0.464;6.653;70.4;22.4
0.471;6.581;71.5;22.4
0.479;6.633;72.6;22.4
0.487;6.742;73.8;22.4
0.494;6.761;74.9;22.4
0.502;6.683;76.1;22.4
0.510;6.585;77.2;22.4
0.517;6.530;78.4;22.4
0.525;6.524;79.5;22.4
0.532;6.591;80.6;22.4
0.540;6.647;81.8;22.4
0.548;6.665;82.9;22.4
0.555;6.622;84.1;22.4
0.563;6.539;85.2;22.4
0.570;6.484;86.3;22.4
0.578;6.403;87.5;22.4
0.586;6.404;88.6;22.4
0.593;6.464;89.8;22.4
0.601;6.497;90.9;22.4
0.608;6.558;92.0;22.4
0.616;6.500;93.2;22.4
0.624;6.410;94.3;22.4
0.631;6.330;95.5;22.4
0.639;6.318;96.6;22.4
0.647;6.377;97.7;22.4
0.654;6.412;98.9;22.4
0.662;6.471;100.0;22.4
0.669;6.420;101.2;22.4
0.677;6.364;102.3;22.4
0.685;6.299;103.5;22.4
0.692;6.243;104.6;22.4
0.700;6.233;105.7;22.4
0.707;6.278;106.9;22.4
0.715;6.394;108.0;22.4
0.723;6.368;109.2;22.4
0.730;6.281;110.3;22.4
0.738;6.214;111.4;22.4
0.745;6.161;112.6;22.4
0.753;6.250;113.7;22.4
0.761;6.296;114.9;22.4
0.768;6.314;116.0;22.4
0.776;6.257;117.1;22.4
0.784;6.152;118.3;22.4
0.791;6.100;119.4;22.4
