ml;pH;sec;°C
0.000;8.219;0.0;20.4
0.000;8.201;0.4;20.4
0.000;8.179;0.8;20.4
0.007;8.095;1.9;20.4
0.015;8.033;3.0;20.4
0.022;8.106;4.2;20.4
0.030;8.192;5.3;20.4
0.038;8.244;6.5;20.4
0.045;8.215;7.6;20.4
0.053;8.118;8.8;20.4
0.060;7.784;9.9;20.4
0.068;7.750;11.0;20.4
0.076;7.316;12.2;20.4
0.083;8.057;13.3;20.4
0.091;8.064;14.5;20.4
0.098;8.002;15.6;20.4
0.106;7.843;16.7;20.4
0.114;7.796;17.9;20.4
0.121;7.817;19.0;20.4
0.129;7.859;20.2;20.4
0.137;7.839;21.3;20.4
0.144;7.781;22.4;20.4
0.152;7.622;23.6;20.4
0.159;7.516;24.7;20.4
0.167;7.434;25.9;20.4
0.175;7.417;27.0;20.4
0.182;7.476;28.1;20.4
0.190;7.492;29.3;20.4
0.197;7.402;30.4;20.4
0.205;7.273;31.6;20.4
0.213;7.166;32.7;20.4
0.220;7.215;33.9;20.4
0.228;7.299;35.0;20.4
0.236;7.256;36.1;20.4
0.243;7.071;37.3;20.4
0.251;6.977;38.4;20.4
0.258;6.983;39.6;20.4
0.266;7.014;40.7;20.4
0.274;7.083;41.8;20.4
0.281;7.087;43.0;20.4
0.289;7.060;44.1;20.4
0.296;6.961;45.3;20.4
0.304;6.884;46.4;20.4
0.312;6.807;47.5;20.4
0.319;6.816;48.7;20.4
0.327;6.905;49.8;20.4
0.334;6.945;51.0;20.4
0.342;6.909;52.1;20.4
0.350;6.850;53.3;20.4
0.357;6.757;54.4;20.4
0.365;6.694;55.5;20.4
0.373;6.646;56.7;20.4
0.380;6.662;57.8;20.4
0.388;6.703;59.0;20.4
0.395;6.769;60.1;20.4
0.403;6.757;61.2;20.4
0.411;6.671;62.4;20.4
0.418;6.588;63.5;20.4
0.426;6.535;64.7;20.4
0.433;6.504;65.8;20.4
0.441;6.559;66.9;20.4
0.449;6.616;68.1;20.4
0.456;6.624;69.2;20.4
0.464;6.611;70.4;20.4
0.472;6.569;71.5;20.4
0.479;6.458;72.7;20.4
0.487;6.408;73.8;20.4
0.494;6.374;74.9;20.4
0.502;6.448;76.1;20.4
0.510;6.486;77.2;20.4
0.517;6.491;78.4;20.4
0.525;6.386;79.5;20.4
0.532;6.296;80.6;20.4
0.540;6.278;81.8;20.4
0.548;6.278;82.9;20.4
0.555;6.320;84.1;20.4
0.563;6.340;85.2;20.4
0.570;6.368;86.3;20.4
0.578;6.362;87.5;20.4
0.586;6.305;88.6;20.4
0.593;6.200;89.8;20.4
0.601;6.142;90.9;20.4
0.609;6.190;92.1;20.4
0.616;6.220;93.2;20.4
0.624;6.239;94.3;20.4
0.631;6.246;95.5;20.4
0.639;6.216;96.6;20.4
0.647;6.134;97.8;20.4
0.654;6.076;98.9;20.4
0.662;6.024;100.0;20.4
0.669;6.039;101.2;20.4
0.677;6.103;102.3;20.4
0.685;6.124;103.5;20.4
0.692;6.112;104.6;20.4
0.700;6.038;105.7;20.4
0.708;5.931;106.9;20.4
0.715;5.935;108.0;20.4
0.723;5.981;109.2;20.4
0.730;6.022;110.3;20.4
0.738;6.013;111.4;20.4
0.746;5.949;112.6;20.4
0.753;5.865;113.7;20.4
0.761;5.815;114.9;20.4
0.768;5.853;116.0;20.4
0.776;5.925;117.2;20.4
0.784;5.912;118.3;20.4
0.791;5.851;119.4;20.4
0.799;5.752;120.6;20.4
0.807;5.703;121.7;20.4
0.814;5.697;122.9;20.4
0.822;5.745;124.0;20.4
0.829;5.761;125.1;20.4
0.837;5.779;126.3;20.4
0.845;5.745;127.4;20.4
0.852;5.711;128.6;20.4
0.860;5.612;129.7;20.4
0.867;5.557;130.8;20.4
0.875;5.534;132.0;20.4
0.883;5.570;133.1;20.4
0.890;5.609;134.3;20.4
0.898;5.632;135.4;20.4
0.905;5.578;136.6;20.4
0.913;5.479;137.7;20.4
0.921;5.416;138.8;20.4
0.928;5.381;140.0;20.4
0.936;5.395;141.1;20.4
0.944;5.466;142.3;20.4
0.951;5.462;143.4;20.4
0.959;5.376;144.5;20.4
0.966;5.259;145.7;20.4
0.974;5.230;146.8;20.4
0.982;5.227;148.0;20.4
0.989;5.272;149.1;20.4
0.997;5.257;150.3;20.4
1.004;5.219;151.4;20.4
1.012;5.145;152.5;20.4
1.020;5.007;153.7;20.4
1.027;4.954;154.8;20.4
1.035;4.980;156.0;20.4
1.042;4.960;157.1;20.4
1.042;4.960;157.1;20.4
1.044;4.969;157.5;20.4
1.046;4.974;157.9;20.4
1.048;4.961;158.2;20.4
1.048;4.961;158.2;20.4
1.050;4.942;158.6;20.4
1.060;4.606;180.3;20.7
1.070;4.516;191.9;20.6
1.080;4.553;203.5;20.7
1.090;4.393;215.1;20.7
1.100;4.270;226.7;20.7
1.110;4.156;238.3;20.7
1.120;4.073;249.9;20.7
1.130;4.033;261.5;20.7
1.140;3.996;273.1;20.7
1.150;3.989;284.7;20.7
1.160;3.828;296.3;20.7
1.170;3.838;307.9;20.7
1.180;3.831;319.5;20.7
1.190;3.709;331.1;20.8
1.200;3.665;342.7;20.8
1.210;3.577;354.3;20.7
1.220;3.556;365.9;20.7
1.230;3.570;377.5;20.7
1.240;3.615;389.1;20.7
1.250;3.519;400.6;20.7
1.260;3.442;412.2;20.8
1.260;3.567;412.4;20.8
1.270;3.541;424.0;20.7
1.280;3.502;435.6;20.8
1.290;3.466;447.2;20.8
1.290;3.499;448.4;20.8
1.300;3.469;460.0;20.8
1.300;3.387;470.0;20.8
