ml;pH;sec;°C
0.000;8.224;0.0;21.9
0.000;8.218;0.4;21.9
0.000;8.206;0.8;21.9
0.007;8.424;1.9;21.9
0.015;8.296;3.0;21.9
0.022;8.323;4.2;21.9
0.030;8.258;5.3;21.9
0.038;8.097;6.5;21.9
0.045;8.136;7.6;21.9
0.053;8.222;8.8;21.9
0.060;8.177;9.9;21.9
0.068;8.103;11.0;21.9
0.076;8.145;12.2;21.9
0.083;8.166;13.3;21.9
0.091;8.155;14.5;21.9
0.098;8.092;15.6;21.9
0.106;8.032;16.7;21.9
0.114;8.000;17.9;21.9
0.121;8.053;19.0;21.9
0.129;8.000;20.2;21.9
0.137;7.926;21.3;21.9
0.144;7.803;22.5;21.9
0.152;7.671;23.6;21.9
0.159;7.721;24.7;21.9
0.167;7.732;25.9;21.9
0.175;7.643;27.0;21.9
0.182;7.562;28.2;21.9
0.190;7.493;29.3;21.9
0.197;7.598;30.4;21.9
0.205;7.585;31.6;21.9
0.213;7.510;32.7;21.9
0.220;7.442;33.9;21.9
0.228;7.378;35.0;21.9
0.236;7.393;36.1;21.9
0.243;7.380;37.3;21.9
0.251;7.314;38.4;21.9
0.258;7.239;39.6;21.9
0.266;7.189;40.7;21.9
0.274;7.332;41.9;21.9
0.281;7.234;43.0;21.9
0.289;7.177;44.1;21.9
0.296;7.106;45.3;21.9
0.304;7.075;46.4;21.9
0.312;7.079;47.6;21.9
0.319;7.086;48.7;21.9
0.327;7.094;49.8;21.9
0.335;7.035;51.0;21.9
0.342;6.949;52.1;21.9
0.350;6.892;53.3;21.9
0.357;6.940;54.4;21.9
0.365;6.958;55.5;21.9
0.373;6.965;56.7;21.9
0.380;6.967;57.8;21.9
0.388;6.911;59.0;21.9
0.395;6.838;60.1;21.9
0.403;6.804;61.2;21.9
0.411;6.815;62.4;21.9
0.418;6.869;63.5;21.9
0.426;6.902;64.7;21.9
0.433;6.795;65.8;21.9
0.441;6.752;66.9;21.9
0.449;6.700;68.1;21.9
0.456;6.671;69.2;21.9
0.464;6.716;70.4;21.9
0.471;6.744;71.5;21.9
0.479;6.892;72.7;21.9
0.487;6.680;73.8;21.9
0.494;6.561;74.9;21.9
0.502;6.571;76.1;21.9
0.510;6.631;77.2;21.9
0.517;6.664;78.4;21.9
0.525;6.632;79.5;21.9
0.532;6.564;80.6;21.9
0.540;6.503;81.8;21.9
0.548;6.520;82.9;21.9
0.555;6.548;84.1;21.9
0.563;6.529;85.2;21.9
0.570;6.484;86.3;21.9
0.578;6.474;87.5;21.9
0.586;6.454;88.6;21.9
0.593;6.473;89.8;21.9
0.601;6.492;90.9;21.9
0.609;6.460;92.0;21.9
0.616;6.403;93.2;21.9
0.624;6.380;94.3;21.9
0.631;6.416;95.5;21.9
0.639;6.444;96.6;21.9
0.647;6.425;97.8;21.9
0.654;6.404;98.9;21.9
0.662;6.339;100.0;21.9
0.669;6.348;101.2;21.9
0.677;6.364;102.3;21.9
0.685;6.357;103.5;21.9
0.692;6.291;104.6;21.9
0.700;6.266;105.7;21.9
0.707;6.262;106.9;21.9
0.715;6.293;108.0;21.9
0.723;6.298;109.2;21.9
0.730;6.298;110.3;21.9
0.738;6.242;111.4;21.9
0.746;6.176;112.6;21.9
0.753;6.208;113.7;21.9
0.761;6.266;114.9;21.9
0.768;6.262;116.0;21.9
0.776;6.218;117.2;21.9
0.784;6.162;118.3;21.9
0.791;6.194;119.4;21.9
0.799;6.206;120.6;21.9
0.806;6.194;121.7;21.9
0.814;6.138;122.9;21.9
0.822;6.123;124.0;21.9
0.829;6.104;125.1;21.9
0.837;6.177;126.3;21.9
0.845;6.140;127.4;21.9
0.852;6.090;128.6;21.9
0.860;6.056;129.7;21.9
0.867;6.075;130.8;21.9
0.875;6.088;132.0;21.9
0.883;6.081;133.1;21.9
0.890;6.039;134.3;21.9
0.898;5.975;135.4;21.9
0.905;5.997;136.6;21.9
0.913;6.064;137.7;21.9
0.921;6.052;138.8;21.9
0.928;5.971;140.0;21.9
0.936;5.923;141.1;21.9
0.944;5.958;142.3;21.9
0.951;5.979;143.4;21.9
0.959;5.959;144.6;21.9
0.966;5.911;145.7;21.9
0.974;5.872;146.8;21.9
0.982;5.881;148.0;21.9
0.989;5.911;149.1;21.9
0.997;5.922;150.3;21.9
1.004;5.908;151.4;21.9
1.012;5.856;152.5;21.9
1.020;5.782;153.7;21.9
1.027;5.803;154.8;21.9
1.035;5.840;156.0;21.9
1.043;5.854;157.1;21.9
1.050;5.819;158.2;21.9
1.058;5.857;159.4;21.9
1.065;5.733;160.5;21.9
1.073;5.707;161.7;21.9
1.081;5.711;162.8;21.9
1.088;5.751;163.9;21.9
1.096;5.769;165.1;21.9
1.103;5.742;166.2;21.9
1.111;5.681;167.4;21.9
1.119;5.676;168.5;21.9
1.126;5.663;169.6;21.9
1.134;5.673;170.8;21.9
1.141;5.753;171.9;21.9
1.149;5.672;173.1;21.9
1.157;5.619;174.2;21.9
1.164;5.588;175.3;21.9
1.172;5.576;176.5;21.9
1.180;5.614;177.6;21.9
1.187;5.589;178.8;21.9
1.195;5.536;179.9;21.9
1.202;5.513;181.1;21.9
1.210;5.474;182.2;21.9
1.218;5.531;183.3;21.9
1.225;5.533;184.5;21.9
1.233;5.493;185.6;21.9
1.240;5.427;186.8;21.9
1.248;5.413;187.9;21.9
1.256;5.402;189.0;21.9
1.263;5.419;190.2;21.9
1.271;5.430;191.3;21.9
1.278;5.406;192.5;21.9
1.286;5.343;193.6;21.9
1.294;5.282;194.7;21.9
1.301;5.289;195.9;21.9
1.309;5.312;197.0;21.9
1.317;5.311;198.2;21.9
1.324;5.288;199.3;21.9
1.332;5.242;200.5;21.9
1.339;5.181;201.6;21.9
1.347;5.163;202.7;21.9
1.355;5.160;203.9;21.9
1.362;5.147;205.0;21.9
1.370;5.158;206.2;21.9
1.377;5.069;207.3;21.9
1.385;5.003;208.4;21.9
1.393;4.975;209.6;21.9
1.400;4.997;210.7;21.9
1.403;4.992;211.1;21.9
1.405;4.987;211.5;21.9
1.407;4.985;211.9;21.9
1.407;4.985;211.9;21.9
1.409;4.961;212.2;21.9
1.411;4.938;212.6;21.9
1.421;4.771;234.3;22.3
1.431;4.725;245.9;22.2
1.441;4.696;257.5;22.2
1.451;4.599;269.1;22.2
1.461;4.545;280.7;22.2
1.471;4.455;292.3;22.3
1.481;4.360;303.9;22.3
1.491;4.252;315.5;22.3
1.501;4.171;327.1;22.3
1.511;4.136;338.7;22.2
1.521;4.044;350.3;22.3
1.531;3.989;361.9;22.3
1.541;3.979;373.5;22.2
1.551;3.930;385.0;22.3
1.561;3.810;396.6;22.3
1.571;3.741;408.2;22.3
1.581;3.706;419.8;22.3
1.591;3.730;431.4;22.3
1.601;3.722;443.0;22.3
1.611;3.589;454.6;22.3
1.621;3.600;466.2;22.3
1.631;3.614;477.8;22.3
1.641;3.583;489.4;22.3
1.651;3.530;501.0;22.3
1.661;3.495;512.6;22.3
1.671;3.522;524.2;22.3
1.681;3.410;535.8;22.3
1.681;3.496;540.0;22.3
1.691;3.441;551.6;22.3
1.691;3.374;561.7;22.3
