ml;pH;sec;°C
0.000;8.258;0.0;22.8
0.000;8.258;0.4;22.8
0.000;8.250;0.8;22.8
0.007;8.206;1.9;22.8
0.015;8.120;3.0;22.8
0.022;8.049;4.2;22.8
0.030;8.023;5.3;22.8
0.037;8.023;6.5;22.8
0.045;8.077;7.6;22.8
0.053;8.146;8.7;22.8
0.060;8.175;9.9;22.8
0.068;8.172;11.0;22.8
0.075;8.091;12.2;22.8
0.083;8.010;13.3;22.8
0.091;7.953;14.4;22.8
0.098;7.883;15.6;22.8
0.106;7.820;16.7;22.8
0.114;7.785;17.9;22.8
0.121;7.812;19.0;22.8
0.129;7.878;20.2;22.8
0.136;7.886;21.3;22.8
0.144;7.894;22.4;22.8
0.152;7.850;23.6;22.8
0.159;7.789;24.7;22.8
0.167;7.748;25.9;22.8
0.174;7.533;27.0;22.8
0.182;7.438;28.1;22.8
0.190;7.399;29.3;22.8
0.197;7.407;30.4;22.8
0.205;7.397;31.6;22.8
0.212;7.440;32.7;22.8
0.220;7.433;33.8;22.8
0.228;7.417;35.0;22.8
0.235;7.384;36.1;22.8
0.243;7.283;37.3;22.8
0.251;7.228;38.4;22.8
0.258;7.158;39.5;22.8
0.266;7.057;40.7;22.8
0.273;7.015;41.8;22.8
0.281;7.102;43.0;22.8
0.289;7.177;44.1;22.8
0.296;7.176;45.3;22.8
0.304;7.101;46.4;22.8
0.311;7.012;47.5;22.8
0.319;6.904;48.7;22.8
0.327;6.874;49.8;22.8
0.334;6.879;51.0;22.8
0.342;6.884;52.1;22.8
0.349;6.927;53.2;22.8
0.357;6.944;54.4;22.8
0.365;6.968;55.5;22.8
0.372;6.982;56.7;22.8
0.380;6.923;57.8;22.8
0.388;6.808;58.9;22.8
0.395;6.741;60.1;22.8
0.403;6.720;61.2;22.8
0.410;6.710;62.4;22.8
0.418;6.779;63.5;22.8
0.426;6.793;64.6;22.8
0.433;6.832;65.8;22.8
0.441;6.833;66.9;22.8
0.448;6.820;68.1;22.8
0.456;6.770;69.2;22.8
0.464;6.721;70.4;22.8
0.471;6.638;71.5;22.8
0.479;6.610;72.6;22.8
0.487;6.580;73.8;22.8
0.494;6.545;74.9;22.8
0.502;6.528;76.1;22.8
0.509;6.557;77.2;22.8
0.517;6.581;78.3;22.8
0.525;6.632;79.5;22.8
0.532;6.683;80.6;22.8
0.540;6.664;81.8;22.8
0.547;6.659;82.9;22.8
0.555;6.635;84.0;22.8
0.563;6.512;85.2;22.8
0.570;6.422;86.3;22.8
0.578;6.401;87.5;22.8
0.585;6.417;88.6;22.8
0.593;6.463;89.7;22.8
0.601;6.482;90.9;22.8
0.608;6.520;92.0;22.8
0.616;6.528;93.2;22.8
0.624;6.521;94.3;22.8
0.631;6.486;95.4;22.8
0.639;6.414;96.6;22.8
0.646;6.337;97.7;22.8
0.654;6.305;98.9;22.8
0.662;6.281;100.0;22.8
0.669;6.279;101.2;22.8
0.677;6.302;102.3;22.8
0.684;6.356;103.4;22.8
0.692;6.388;104.6;22.8
0.700;6.403;105.7;22.8
0.707;6.395;106.9;22.8
0.715;6.352;108.0;22.8
0.722;6.287;109.1;22.8
0.730;6.238;110.3;22.8
0.738;6.186;111.4;22.8
0.745;6.155;112.6;22.8
0.753;6.180;113.7;22.8
0.760;6.194;114.8;22.8
0.768;6.219;116.0;22.8
0.776;6.281;117.1;22.8
0.783;6.291;118.3;22.8
0.791;6.273;119.4;22.8
0.799;6.212;120.5;22.8
0.806;6.188;121.7;22.8
0.814;6.119;122.8;22.8
0.821;6.076;124.0;22.8
0.829;6.038;125.1;22.8
0.837;6.055;126.2;22.8
0.844;6.068;127.4;22.8
0.852;6.112;128.5;22.8
0.859;6.125;129.7;22.8
0.867;6.156;130.8;22.8
0.875;6.164;131.9;22.8
0.882;6.122;133.1;22.8
0.890;6.098;134.2;22.8
0.897;6.027;135.4;22.8
0.905;5.982;136.5;22.8
0.913;5.958;137.7;22.8
0.920;5.927;138.8;22.8
0.928;5.918;139.9;22.8
0.936;5.930;141.1;22.8
0.943;5.981;142.2;22.8
0.951;6.003;143.4;22.8
0.958;6.033;144.5;22.8
0.966;6.024;145.6;22.8
0.974;5.981;146.8;22.8
0.981;5.959;147.9;22.8
0.989;5.852;149.1;22.8
0.996;5.828;150.2;22.8
1.004;5.819;151.3;22.8
1.012;5.823;152.5;22.8
1.019;5.873;153.6;22.8
1.027;5.900;154.8;22.8
1.034;5.917;155.9;22.8
1.042;5.901;157.0;22.8
1.050;5.893;158.2;22.8
1.057;5.834;159.3;22.8
1.065;5.788;160.5;22.8
1.072;5.734;161.6;22.8
1.080;5.711;162.7;22.8
1.088;5.699;163.9;22.8
1.095;5.705;165.0;22.8
1.103;5.742;166.2;22.8
1.111;5.780;167.3;22.8
1.118;5.797;168.4;22.8
1.126;5.740;169.6;22.8
1.133;5.630;170.7;22.8
1.141;5.606;171.9;22.8
1.149;5.604;173.0;22.8
1.156;5.677;174.2;22.8
1.164;5.693;175.3;22.8
1.171;5.693;176.4;22.8
1.179;5.667;177.6;22.8
1.187;5.619;178.7;22.8
1.194;5.555;179.9;22.8
1.202;5.510;181.0;22.8
1.210;5.465;182.1;22.8
1.217;5.474;183.3;22.8
1.225;5.496;184.4;22.8
1.232;5.503;185.6;22.8
1.240;5.515;186.7;22.8
1.248;5.530;187.8;22.8
1.255;5.516;189.0;22.8
1.263;5.493;190.1;22.8
1.270;5.430;191.3;22.8
1.278;5.353;192.4;22.8
1.286;5.311;193.5;22.8
1.293;5.311;194.7;22.8
1.301;5.306;195.8;22.8
1.308;5.335;197.0;22.8
1.316;5.337;198.1;22.8
1.324;5.366;199.3;22.8
1.331;5.347;200.4;22.8
1.339;5.314;201.5;22.8
1.346;5.259;202.7;22.8
1.354;5.185;203.8;22.8
1.362;5.125;205.0;22.8
1.369;5.087;206.1;22.8
1.377;5.076;207.2;22.8
1.385;5.070;208.4;22.8
1.392;5.119;209.5;22.8
1.400;5.111;210.7;22.8
1.407;5.075;211.8;22.8
1.407;5.075;211.8;22.8
1.409;5.063;212.2;22.8
1.411;5.027;212.6;22.8
1.413;4.982;212.9;22.8
1.419;4.974;213.9;22.8
1.421;4.981;214.3;22.8
1.421;4.981;214.3;22.8
1.423;4.981;214.6;22.8
1.425;4.976;215.0;22.8
1.427;4.971;215.4;22.8
1.427;4.971;215.4;22.8
1.429;4.962;215.8;22.8
1.431;4.954;216.2;22.8
1.433;4.945;216.5;22.8
1.443;4.683;238.2;23.0
1.453;4.734;249.8;23.0
1.463;4.688;261.4;23.0
1.473;4.488;273.0;23.0
1.483;4.559;284.6;23.0
1.493;4.331;296.2;23.0
1.503;4.414;307.8;23.0
1.513;4.395;319.4;22.9
1.523;4.102;331.0;22.9
1.533;4.022;342.6;23.0
1.543;4.138;354.2;22.9
1.553;4.098;365.8;22.9
1.563;3.901;377.3;22.9
1.573;3.778;388.9;22.9
1.583;3.939;400.5;22.9
1.593;3.657;412.1;22.9
1.603;3.826;423.7;22.9
1.613;3.578;435.3;22.9
1.623;3.735;446.9;22.9
1.633;3.526;458.5;22.9
1.643;3.661;470.1;22.9
1.653;3.456;481.7;22.9
1.653;3.686;481.9;22.9
1.663;3.425;493.5;22.9
1.663;3.672;493.7;22.9
1.673;3.451;505.3;22.9
1.673;3.597;505.4;22.9
1.683;3.405;517.0;22.9
1.683;3.589;517.2;22.9
1.693;3.340;528.8;22.9
1.693;3.601;529.0;22.9
1.703;3.367;540.6;22.9
1.703;3.524;540.8;22.9
1.713;3.369;552.4;22.9
