ml;pH;sec;°C
0.000;8.146;0.0;22.3
0.000;8.145;0.4;22.3
0.000;8.137;0.8;22.3
0.007;8.179;1.9;22.3
0.015;8.200;3.0;22.3
0.022;8.228;4.2;22.3
0.030;8.235;5.3;22.3
0.038;8.181;6.5;22.3
0.045;8.086;7.6;22.3
0.053;8.044;8.8;22.3
0.060;8.049;9.9;22.3
0.068;8.055;11.0;22.3
0.076;8.062;12.2;22.3
0.083;8.062;13.3;22.3
0.091;8.016;14.5;22.3
0.098;7.945;15.6;22.3
0.106;7.895;16.7;22.3
0.114;7.839;17.9;22.3
0.121;7.853;19.0;22.3
0.129;7.842;20.2;22.3
0.137;7.819;21.3;22.3
0.144;7.739;22.4;22.3
0.152;7.641;23.6;22.3
0.159;7.626;24.7;22.3
0.167;7.667;25.9;22.3
0.175;7.628;27.0;22.3
0.182;7.592;28.1;22.3
0.190;7.585;29.3;22.3
0.197;7.416;30.4;22.3
0.205;7.340;31.6;22.3
0.213;7.308;32.7;22.3
0.220;7.332;33.9;22.3
0.228;7.334;35.0;22.3
0.236;7.259;36.1;22.3
0.243;7.173;37.3;22.3
0.251;7.104;38.4;22.3
0.258;7.086;39.6;22.3
0.266;7.050;40.7;22.3
0.274;7.160;41.8;22.3
0.281;7.132;43.0;22.3
0.289;7.082;44.1;22.3
0.296;6.969;45.3;22.3
0.304;6.977;46.4;22.3
0.312;6.929;47.5;22.3
0.319;6.977;48.7;22.3
0.327;6.996;49.8;22.3
0.334;6.963;51.0;22.3
0.342;6.938;52.1;22.3
0.350;6.828;53.3;22.3
0.357;6.828;54.4;22.3
0.365;6.808;55.5;22.3
0.373;6.818;56.7;22.3
0.380;6.825;57.8;22.3
0.388;6.846;59.0;22.3
0.395;6.850;60.1;22.3
0.403;6.822;61.2;22.3
0.411;6.766;62.4;22.3
0.418;6.698;63.5;22.3
0.426;6.627;64.7;22.3
0.433;6.670;65.8;22.3
0.441;6.642;66.9;22.3
0.449;6.674;68.1;22.3
0.456;6.703;69.2;22.3
0.464;6.665;70.4;22.3
0.471;6.632;71.5;22.3
0.479;6.616;72.6;22.3
0.487;6.556;73.8;22.3
0.494;6.550;74.9;22.3
0.502;6.485;76.1;22.3
0.510;6.586;77.2;22.3
0.517;6.590;78.4;22.3
0.525;6.562;79.5;22.3
0.532;6.539;80.6;22.3
0.540;6.495;81.8;22.3
0.548;6.459;82.9;22.3
0.555;6.430;84.1;22.3
0.563;6.408;85.2;22.3
0.570;6.409;86.3;22.3
0.578;6.419;87.5;22.3
0.586;6.539;88.6;22.3
0.593;6.415;89.8;22.3
0.601;6.390;90.9;22.3
0.609;6.351;92.0;22.3
0.616;6.330;93.2;22.3
0.624;6.340;94.3;22.3
0.631;6.351;95.5;22.3
0.639;6.339;96.6;22.3
0.647;6.352;97.8;22.3
0.654;6.348;98.9;22.3
0.662;6.333;100.0;22.3
0.669;6.274;101.2;22.3
0.677;6.266;102.3;22.3
0.685;6.235;103.5;22.3
0.692;6.213;104.6;22.3
0.700;6.224;105.7;22.3
0.707;6.223;106.9;22.3
0.715;6.253;108.0;22.3
0.723;6.272;109.2;22.3
0.730;6.250;110.3;22.3
0.738;6.303;111.4;22.3
0.746;6.128;112.6;22.3
0.753;6.095;113.7;22.3
0.761;6.114;114.9;22.3
0.768;6.160;116.0;22.3
0.776;6.184;117.1;22.3
0.784;6.197;118.3;22.3
0.791;6.205;119.4;22.3
0.799;6.131;120.6;22.3
0.806;6.077;121.7;22.3
0.814;6.023;122.9;22.3
0.822;6.057;124.0;22.3
0.829;6.055;125.1;22.3
0.837;6.120;126.3;22.3
0.844;6.131;127.4;22.3
0.852;6.121;128.6;22.3
0.860;6.085;129.7;22.3
0.867;6.055;130.8;22.3
0.875;6.011;132.0;22.3
0.883;5.985;133.1;22.3
0.890;5.982;134.3;22.3
0.898;5.965;135.4;22.3
0.905;6.008;136.5;22.3
0.913;6.023;137.7;22.3
0.921;6.025;138.8;22.3
0.928;6.003;140.0;22.3
0.936;5.983;141.1;22.3
0.943;5.952;142.2;22.3
0.951;5.922;143.4;22.3
0.959;5.896;144.5;22.3
0.966;5.908;145.7;22.3
0.974;5.938;146.8;22.3
0.982;6.019;148.0;22.3
0.989;5.939;149.1;22.3
0.997;5.885;150.2;22.3
1.004;5.860;151.4;22.3
1.012;5.841;152.5;22.3
1.020;5.803;153.7;22.3
1.027;5.804;154.8;22.3
1.035;5.818;155.9;22.3
1.042;5.828;157.1;22.3
1.050;5.865;158.2;22.3
1.058;5.906;159.4;22.3
1.065;5.801;160.5;22.3
1.073;5.758;161.6;22.3
1.080;5.741;162.8;22.3
1.088;5.715;163.9;22.3
1.096;5.700;165.1;22.3
1.103;5.700;166.2;22.3
